word,onsets,offsets
on,0.0808,0.2458
the,0.2458,0.3558
fifth,0.3558,0.7558
day,0.7558,0.9858
again,0.9858,1.5758
thanks,1.5758,1.9658
to,1.9658,2.0758
the,2.0758,2.1458
sheep,2.1458,2.54
this,2.8642,3.1492
secret,3.1492,3.6492
of,3.6492,3.7392
the,3.7392,3.8292
little,3.8292,4.0792
prince,4.0792,4.5492
s,4.5492,4.7292
life,4.7292,5.0592
was,5.0592,5.2592
revealed,5.2592,5.6492
to,5.6492,5.8292
me,5.8292,5.9927
he,6.9256,7.1006
asked,7.1006,7.4406
abruptly,7.4406,8.0106
without,8.0106,8.6206
anything,8.6206,9.0506
leading,9.0506,9.4406
up,9.4406,9.6306
to,9.6306,9.8306
it,9.8306,10.1306
as,10.1306,10.3906
if,10.3906,10.5306
it,10.5306,10.6306
was,10.6306,10.8606
the,10.8606,10.9406
result,10.9406,11.4406
of,11.4406,12.0106
a,12.0106,12.0406
long,12.0406,12.1506
silent,12.1506,12.7406
meditation,12.7406,13.4706
on,13.4706,13.5906
a,13.5906,13.6206
problem,13.6206,14.148
if,15.2006,15.3656
a,15.3656,15.4456
sheep,15.4456,15.8656
eats,15.8656,16.0856
shrubs,16.0856,16.895
then,17.1494,17.3244
does,17.3244,17.4844
it,17.4844,17.6044
eat,17.6044,17.7744
flowers,17.7744,18.4744
too,18.4744,18.9087
a,19.8116,19.8866
sheep,19.8866,20.2566
eats,20.2566,20.4766
everything,20.4766,20.8566
it,20.8566,20.9766
finds,20.9766,21.5712
even,22.4941,22.8491
flowers,22.8491,23.3591
that,23.3591,23.4691
have,23.4691,23.6791
thorns,23.6791,24.3789
yes,24.9626,25.4976
even,25.4976,25.8476
flowers,25.8476,26.2476
that,26.2476,26.3576
have,26.3576,26.5476
thorns,26.5476,27.0821
what,28.0947,28.2797
are,28.2797,28.3297
the,28.3297,28.4497
thorns,28.4497,28.9797
for,28.9797,29.3697
then,29.3697,29.8046
i,30.7174,30.8224
didn,30.8224,31.1024
t,31.1024,31.1824
know,31.1824,31.2424
the,31.2424,31.4024
answer,31.4024,31.9074
i,32.1069,32.2019
was,32.2019,32.3919
very,32.3919,32.7019
busy,32.7019,33.0619
trying,33.0619,33.4219
to,33.4219,33.5419
unscrew,33.5419,34.0519
a,34.0519,34.1619
bolt,34.1619,34.5419
in,34.5419,34.6119
my,34.6119,34.8119
engine,34.8119,35.2619
that,35.2619,35.4219
had,35.4219,35.5219
got,35.5219,35.7819
stuck,35.7819,36.2606
i,36.7245,37.0595
was,37.0595,37.2695
very,37.2695,37.5995
worried,37.5995,38.1495
because,38.1495,38.4995
my,38.4995,38.6895
breakdown,38.6895,39.2695
was,39.2695,39.4495
beginning,39.4495,39.7795
to,39.7795,39.8495
appear,39.8495,40.3495
to,40.3495,40.5095
be,40.5095,40.6695
very,40.6695,41.0095
serious,41.0095,41.7727
and,41.9721,42.1071
i,42.1071,42.2271
had,42.2271,42.3971
so,42.3971,42.6971
little,42.6971,42.9471
drinking,42.9471,43.4171
water,43.4171,43.8371
left,43.8371,44.1516
that,44.6055,44.7305
i,44.7305,44.8305
had,44.8305,45.0405
to,45.0405,45.1305
fear,45.1305,45.3705
the,45.3705,45.4705
worst,45.4705,46.0149
what,47.1123,47.3773
are,47.3773,47.4473
the,47.4473,47.5473
thorns,47.5473,48.1073
for,48.1073,48.5773
then,48.5773,48.9771
the,49.7901,49.8551
little,49.8551,50.1151
prince,50.1151,50.5551
never,50.5551,50.8051
let,50.8051,50.9651
go,50.9651,51.1851
of,51.1851,51.3151
a,51.3151,51.3651
question,51.3651,51.9151
once,51.9151,52.1451
he,52.1451,52.2851
had,52.2851,52.4051
asked,52.4051,52.6551
it,52.6551,52.8793
i,53.2634,53.6684
was,53.6684,53.8584
upset,53.8584,54.3284
over,54.3284,54.5684
the,54.5684,54.6784
bolt,54.6784,55.3084
and,55.3084,55.5084
i,55.5084,55.6084
said,55.6084,55.8184
the,55.8184,55.8984
first,55.8984,56.3784
thing,56.3784,56.5984
that,56.5984,56.7984
came,56.7984,56.9984
into,56.9984,57.1984
my,57.1984,57.3584
head,57.3584,57.7069
the,58.3603,58.4253
thorns,58.4253,58.9453
are,58.9453,59.0053
of,59.0053,59.1453
no,59.1453,59.3053
use,59.3053,59.5953
at,59.5953,59.7953
all,59.7953,60.1249
flowers,60.3393,60.7743
have,60.7743,60.9543
thorns,60.9543,61.4243
just,61.4243,61.7043
for,61.7043,61.7743
spite,61.7743,62.2935
oh,63.3011,63.7461
but,65.0331,65.1681
after,65.1681,65.4981
a,65.4981,65.5281
moment,65.5281,65.9281
of,65.9281,65.9881
silence,65.9881,66.5581
he,66.5581,66.6781
exclaimed,66.6781,67.2881
with,67.2881,67.4081
a,67.4081,67.4481
sort,67.4481,67.7581
of,67.7581,67.8981
resentment,67.8981,68.5624
i,69.1809,69.3159
don,69.3159,69.5559
t,69.5559,69.6659
believe,69.6659,69.9759
you,69.9759,70.2058
flowers,70.53,71.025
are,71.025,71.145
weak,71.145,71.485
creatures,71.485,72.295
they,72.405,72.465
re,72.465,72.925
naive,72.925,73.1643
they,73.3637,73.7187
reassure,73.7187,74.3287
themselves,74.3287,74.8687
as,74.8687,75.0187
best,75.0187,75.3687
they,75.3687,75.5087
can,75.5087,76.0027
they,76.5714,76.7264
think,76.7264,77.0264
themselves,77.0264,77.5664
frightful,77.5664,78.1664
with,78.1664,78.3164
their,78.3164,78.5064
thorns,78.5064,79.16
i,80.1726,80.2876
made,80.2876,80.5276
no,80.5276,80.6576
reply,80.6576,81.2424
at,81.9257,82.0907
that,82.0907,82.3707
moment,82.3707,82.8107
i,82.8107,82.8807
was,82.8807,83.1007
thinking,83.1007,83.4307
to,83.4307,83.5607
myself,83.5607,84.1406
if,84.6593,84.8443
this,84.8443,85.2643
bolt,85.2643,85.5843
won,85.5843,85.8643
t,85.8643,85.9643
budge,85.9643,86.3543
i,86.3543,86.4343
ll,86.4343,86.5343
knock,86.5343,86.7643
it,86.7643,86.9043
out,86.9043,87.0443
with,87.0443,87.1643
a,87.1643,87.1943
hammer,87.1943,87.6331
the,88.7605,88.8755
little,88.8755,89.0755
prince,89.0755,89.4955
interrupted,89.4955,90.0555
my,90.0555,90.2155
thoughts,90.2155,90.6555
again,90.6555,91.0547
and,91.9376,92.2126
you,92.2126,92.2926
actually,92.2926,92.9626
believe,92.9626,93.5226
that,93.5226,94.1626
flowers,94.1626,94.1826
no,94.1826,95.0826
no,95.0826,95.3926
i,95.3926,95.5326
don,95.5326,95.7426
t,95.7426,95.7726
believe,95.7726,96.0526
it,96.0526,96.1426
at,96.1426,96.3626
all,96.3626,96.6716
i,97.1104,97.2354
answered,97.2354,97.6754
the,97.6754,97.7554
first,97.7554,98.2654
thing,98.2654,98.4054
that,98.4054,98.6354
came,98.6354,98.8254
to,98.8254,98.9654
my,98.9654,99.1354
mind,99.1354,99.5749
i,100.0288,100.2538
myself,100.2538,100.9338
am,100.9338,101.0638
busy,101.0638,101.3538
with,101.3538,101.4838
matters,101.4838,101.8538
of,101.8538,101.9438
consequence,101.9438,102.8232
he,103.6114,103.7564
looked,103.7564,104.0564
at,104.0564,104.2564
me,104.2564,104.3264
dumbfounded,104.3264,105.2109
matters,105.7845,106.2695
of,106.2695,106.4195
consequence,106.4195,107.4191
he,108.1224,108.2274
watched,108.2274,108.6474
me,108.6474,108.8323
hammer,109.0767,109.4117
in,109.4117,109.5517
hand,109.5517,110.0617
and,110.0617,110.1917
my,110.1917,110.3217
fingers,110.3217,110.9317
black,110.9317,111.2517
with,111.2517,111.4117
grease,111.4117,111.8907
leaning,112.2249,112.6199
on,112.6199,112.7599
an,112.7599,112.8599
object,112.8599,113.3399
that,113.3399,113.4499
would,113.4499,113.5499
have,113.5499,113.6399
seemed,113.6399,114.0199
to,114.0199,114.0999
him,114.0999,114.4399
very,114.4399,114.8599
ugly,114.8599,115.2441
you,115.9325,116.0775
talk,116.0775,116.3875
just,116.3875,116.7075
like,116.7075,116.9075
the,116.9075,116.9775
grownups,116.9775,117.6866
that,118.3999,118.5949
made,118.5949,118.8049
me,118.8049,118.9249
feel,118.9249,119.1949
a,119.1949,119.2349
little,119.2349,119.5049
ashamed,119.5049,120.1344
but,120.5784,120.6734
he,120.6734,120.7934
went,120.7934,121.1334
on,121.1334,121.3334
relentlessly,121.3334,122.2531
you,122.9763,123.0613
confuse,123.0613,123.6413
everything,123.6413,124.2612
you,124.5953,124.7003
mix,124.7003,124.9803
everything,124.9803,125.4003
up,125.4003,125.8247
he,126.4183,126.4833
was,126.4833,126.6433
really,126.6433,127.0533
very,127.0533,127.4733
angry,127.4733,127.9732
he,128.2325,128.5175
shook,128.5175,128.8175
his,128.8175,129.0275
golden,129.0275,129.5075
curls,129.5075,129.9475
in,129.9475,130.0375
the,130.0375,130.1075
breeze,130.1075,130.6266
i,131.5295,131.6945
know,131.6945,131.9245
a,131.9245,132.0145
planet,132.0145,132.5045
where,132.5045,132.6345
there,132.6345,132.7745
