word,onsets,offsets
never,89.9065,90.1765
ask,90.1765,90.4765
you,90.4765,90.5565
about,90.5565,90.6765
any,90.6765,90.7665
of,90.7665,90.8365
the,90.8365,90.9165
important,90.9165,91.5965
things,91.5965,91.9906
they,92.3298,92.4348
never,92.4348,92.6848
ask,92.6848,93.0348
you,93.0348,93.2348
how,93.2348,93.6948
does,93.6948,93.8348
his,93.8348,94.0448
voice,94.0448,94.3148
sound,94.3148,94.8388
what,95.0732,95.2182
games,95.2182,95.7082
does,95.7082,95.8382
he,95.8382,95.9382
like,95.9382,96.2582
best,96.2582,96.6725
does,96.9468,97.0518
he,97.0518,97.1318
collect,97.1318,97.5118
butterflies,97.5118,98.3161
they,98.9297,99.0247
ask,99.0247,99.4096
how,99.7138,99.9188
old,99.9188,100.0988
is,100.0988,100.2188
he,100.2188,100.4087
how,100.7978,100.9228
many,100.9228,101.1128
brothers,101.1128,101.5028
does,101.5028,101.6428
he,101.6428,101.7928
have,101.7928,102.0276
how,102.26700000000001,102.37200000000001
much,102.37200000000001,102.59200000000001
does,102.59200000000001,102.742
he,102.742,102.83200000000001
weigh,102.83200000000001,103.2019
how,103.6309,103.7359
much,103.7359,103.9359
money,103.9359,104.2059
does,104.2059,104.3459
his,104.3459,104.5259
father,104.5259,104.8559
make,104.8559,105.1706
only,105.8041,106.2991
then,106.2991,106.5491
do,106.5491,106.6891
they,106.6891,106.8391
think,106.8391,107.2191
they,107.2191,107.3291
know,107.3291,107.4091
him,107.4091,107.8636
if,108.7714,108.8864
you,108.8864,109.0164
said,109.0164,109.2864
to,109.2864,109.3764
the,109.3764,109.4664
grownups,109.4664,110.0961
i,110.5998,110.8348
saw,110.8348,111.1548
a,111.1548,111.2848
beautiful,111.2848,112.0048
red,112.0048,112.3148
brick,112.3148,112.6948
house,112.6948,113.1248
with,113.1248,113.2948
geraniums,113.2948,114.0448
by,114.0448,114.2348
the,114.2348,114.3348
windows,114.3348,114.8148
and,114.8148,114.9748
doves,114.9748,115.4348
on,115.4348,115.5848
the,115.5848,115.6748
roof,115.6748,116.0229
they,116.6214,116.7264
wouldn,116.7264,116.9964
t,116.9964,117.0264
be,117.0264,117.1764
able,117.1764,117.4064
to,117.4064,117.5064
picture,117.5064,117.9964
this,117.9964,118.2664
house,118.2664,118.5464
in,118.5464,118.6064
their,118.6064,118.7664
minds,118.7664,119.3105
you,119.6148,119.8598
d,119.8598,119.8898
have,119.8898,120.1398
to,120.1398,120.2198
tell,120.2198,120.5198
them,120.5198,120.7442
i,121.258,121.443
saw,121.443,121.67299999999999
a,121.67299999999999,121.743
hundred,121.743,122.273
thousand,122.273,122.743
franc,122.743,123.12299999999999
house,123.12299999999999,123.6573
and,124.0014,124.2164
they,124.2164,124.3464
d,124.3464,124.4164
cry,124.4164,124.7913
how,125.0407,125.3657
pretty,125.3657,125.9002
so,126.7981,126.9731
if,126.9731,127.1131
you,127.1131,127.2031
were,127.2031,127.3031
to,127.3031,127.4131
say,127.4131,127.6931
to,127.6931,127.8631
them,127.8631,128.13299999999998
the,128.6168,128.6818
proof,128.6818,129.0918
that,129.0918,129.2418
the,129.2418,129.3218
little,129.3218,129.6418
prince,129.6418,129.9518
existed,129.9518,130.591
is,130.8953,131.0103
that,131.0103,131.1303
he,131.1303,131.2403
was,131.2403,131.4703
charming,131.4703,132.0
he,132.2194,132.3844
laughed,132.3844,133.0344
and,133.0344,133.1444
he,133.1444,133.2344
wanted,133.2344,133.5644
a,133.5644,133.6144
sheep,133.6144,133.9589
if,134.5076,134.6526
someone,134.6526,135.1026
wants,135.1026,135.4726
a,135.4726,135.5226
sheep,135.5226,136.0326
that,136.0326,136.2226
proves,136.2226,136.7226
they,136.7226,136.8826
exist,136.8826,137.4414
they,137.9102,138.0852
d,138.0852,138.1952
shrug,138.1952,138.5452
their,138.5452,138.7352
shoulders,138.7352,139.3352
and,139.3352,139.4752
treat,139.4752,139.7552
you,139.7552,139.9252
like,139.9252,140.0952
a,140.0952,140.1352
child,140.1352,140.6994
but,141.2881,141.4231
if,141.4231,141.5631
you,141.5631,141.7031
were,141.7031,141.8131
to,141.8131,141.9231
say,141.9231,142.4829
the,142.7173,142.7823
planet,142.7823,143.2423
he,143.2423,143.3723
came,143.3723,143.7223
from,143.7223,144.0123
is,144.0123,144.1623
the,144.1623,144.2623
asteroid,144.2623,144.9723
b,144.9723,145.1823
six,145.1823,145.48
hundred,145.48,145.78
and,145.78,145.78
twelve,145.78,146.2013
they,146.5056,146.6006
d,146.6006,146.6506
be,146.6506,146.7806
convinced,146.7806,147.4204
and,147.6997,147.8747
leave,147.8747,148.1247
you,148.1247,148.2247
in,148.2247,148.3647
peace,148.3647,148.8647
and,148.8647,149.0347
spare,149.0347,149.3647
you,149.3647,149.5447
their,149.5447,149.7447
questions,149.7447,150.489
they,150.9129,151.0179
re,151.0179,151.1079
like,151.1079,151.3579
that,151.3579,151.6674
don,151.8619,152.0269
t,152.0269,152.0769
blame,152.0769,152.3069
them,152.3069,152.5768
children,153.1254,153.5604
should,153.5604,153.7404
be,153.7404,153.8704
forgiving,153.8704,154.3904
towards,154.3904,154.7504
the,154.7504,154.8104
grownups,154.8104,155.4091
but,156.0027,156.4377
of,156.4377,156.5277
course,156.5277,156.9877
those,156.9877,157.4577
of,157.4577,157.5477
us,157.5477,157.7277
who,157.7277,157.8277
understand,157.8277,158.5777
life,158.5777,158.9418
we,159.3458,159.4608
don,159.4608,159.6408
t,159.6408,159.6708
much,159.6708,159.8908
care,159.8908,160.1608
for,160.1608,160.2908
numbers,160.2908,160.8605
i,161.5489,161.6539
d,161.6539,161.7739
have,161.7739,161.8739
liked,161.8739,162.0539
to,162.0539,162.1539
begin,162.1539,162.4939
this,162.4939,162.6639
story,162.6639,163.1139
in,163.1139,163.2539
the,163.2539,163.3139
same,163.3139,163.7039
way,163.7039,163.8339
as,163.8339,163.9639
a,163.9639,163.9939
fairy,163.9939,164.4239
tale,164.4239,164.7484
i,165.2572,165.3522
d,165.3522,165.3822
have,165.3822,165.4922
liked,165.4922,165.7622
to,165.7622,165.8522
say,165.8522,166.2871
once,166.5913,166.9563
upon,166.9563,167.1663
a,167.1663,167.2063
time,167.2063,167.7263
there,167.7263,167.9063
was,167.9063,168.0763
a,168.0763,168.1263
little,168.1263,168.3663
prince,168.3663,168.8863
who,168.8863,168.9663
lived,168.9663,169.2763
on,169.2763,169.3863
a,169.3863,169.4363
planet,169.4363,169.9463
not,169.9463,170.1963
much,170.1963,170.4963
bigger,170.4963,170.7863
than,170.7863,170.9063
himself,170.9063,171.46900000000005
and,171.7833,171.9383
who,171.9383,172.0283
needed,172.0283,172.3383
a,172.3383,172.3783
friend,172.3783,172.9127
for,173.5662,173.7112
those,173.7112,174.1712
who,174.1712,174.2712
understand,174.2712,174.9712
life,174.9712,175.4307
it,175.7698,175.8748
would,175.8748,175.9848
have,175.9848,176.0748
