word,onsets,offsets
he,0.2101,0.3151
found,0.3151,0.6551
himself,0.6551,1.1951
in,1.1951,1.2851
the,1.2851,1.3951
neighborhood,1.3951,1.9051
of,1.9051,2.0151
the,2.0151,2.1251
asteroids,2.1251,2.8851
three,2.8851,3.0951
two,3.0951,3.2851
five,3.2851,3.7444
three,4.0137,4.2287
two,4.2287,4.3987
six,4.3987,4.9687
three,4.9687,5.2687
two,5.2687,5.4287
seven,5.4287,5.9279
three,6.2222,6.4272
two,6.4272,6.7772
eight,6.7772,7.037000000000001
three,7.2664,7.4814
two,7.4814,7.6614
nine,7.6614,8.0414
and,8.0414,8.1514
three,8.1514,8.7414
three,8.7414,8.9814
zero,8.9814,9.3757
so,9.8596,10.3146
he,10.3146,10.4646
began,10.4646,10.9146
by,10.9146,11.1446
visiting,11.1446,11.6546
them,11.6546,11.8646
to,11.8646,12.0546
learn,12.0546,12.3446
more,12.3446,12.699000000000002
the,13.532,13.927
first,13.927,14.347000000000001
one,14.347000000000001,14.547
was,14.547,14.767000000000001
inhabited,14.767000000000001,15.277000000000001
by,15.277000000000001,15.507
a,15.507,15.547
king,15.547,15.985999999999999
the,16.7043,16.7993
king,16.7993,16.9793
was,16.9793,17.2993
sitting,17.2993,17.7093
dressed,17.7093,18.2793
in,18.2793,18.4093
purple,18.4093,18.8393
and,18.8393,19.0393
ermine,19.0393,19.1793
on,19.1793,19.3193
a,19.3193,19.3993
very,19.3993,20.3293
simple,20.3293,21.0893
yet,21.0893,21.2793
majestic,21.2793,21.9293
throne,21.9293,22.3017
ah,23.0299,23.3799
here,23.8488,23.9838
comes,23.9838,24.2538
a,24.2538,24.3038
subject,24.3038,24.9338
exclaimed,24.9838,25.5538
the,25.5538,25.6338
king,25.6338,25.9838
when,25.9838,26.0938
he,26.0938,26.2138
caught,26.2138,26.5138
sight,26.5138,26.8438
of,26.8438,26.9438
the,26.9438,27.0338
little,27.0338,27.2338
prince,27.2338,27.7019
and,28.2955,28.4805
the,28.4805,28.5405
little,28.5405,28.7805
prince,28.7805,29.1605
asked,29.1605,29.4205
himself,29.4205,29.9551
how,30.5886,30.7436
could,30.7436,31.2136
he,31.2136,31.2836
recognise,31.2836,31.7836
me,31.7836,31.8836
when,31.8836,32.0136
he,32.0136,32.1036
s,32.1036,32.1636
never,32.1636,32.3836
seen,32.3836,32.7036
me,32.7036,32.8736
before,32.8736,33.3626
he,34.0609,34.3859
didn,34.3859,34.6159
t,34.6159,34.6759
know,34.6759,34.9659
that,34.9659,35.2259
for,35.2259,35.3259
kings,35.3259,35.9403
the,36.2645,36.3395
world,36.3395,36.6895
is,36.6895,36.8695
very,36.8695,37.1695
much,37.1695,37.4395
simplified,37.4395,38.2539
to,38.5033,38.6183
them,38.6183,39.0283
all,39.0283,39.2783
men,39.2783,39.5583
are,39.5583,39.6583
subjects,39.6583,40.3825
approach,41.1557,41.6807
so,41.6807,41.8107
that,41.8107,41.9707
i,41.9707,42.0707
may,42.0707,42.2307
see,42.2307,42.5507
you,42.5507,42.7007
better,42.7007,43.1253
said,43.3347,43.5497
the,43.5497,43.6497
king,43.6497,43.9697
who,43.9697,44.4197
was,44.4197,44.6197
very,44.6197,44.9397
proud,44.9397,45.3197
to,45.3197,45.4097
finally,45.4097,45.9397
be,45.9397,46.1497
king,46.1497,46.4197
over,46.4197,46.5997
somebody,46.5997,47.308
the,48.4004,48.5454
little,48.5454,48.7854
prince,48.7854,49.2054
looked,49.2054,49.4554
around,49.4554,49.8154
him,49.8154,49.9554
for,49.9554,50.0954
a,50.0954,50.1254
place,50.1254,50.5154
to,50.5154,50.6154
sit,50.6154,51.0347
but,51.3689,51.4739
the,51.4739,51.5639
planet,51.5639,52.0739
was,52.0739,52.2439
completely,52.2439,52.8839
taken,52.8839,53.2739
over,53.2739,53.5939
by,53.5939,53.7639
the,53.7639,53.8939
magnificent,53.8939,54.7839
ermine,54.7839,55.0939
robe,55.0939,55.5771
so,56.04600000000001,56.201
he,56.201,56.341
remained,56.341,56.881
standing,56.881,57.451
and,57.451,58.131
since,58.131,58.471000000000004
he,58.471000000000004,58.581
was,58.581,58.78100000000001
tired,58.78100000000001,59.381
he,59.381,59.53100000000001
