word,onsets,offsets
but,0.045,0.19
it,0.19,0.3
happened,0.3,0.79
that,0.79,0.93
the,0.93,1.01
little,1.01,1.28
prince,1.28,1.9143
having,2.1188,2.5338
walked,2.5338,2.9238
for,2.9238,3.2138
a,3.2138,3.3038
long,3.3038,3.4938
time,3.4938,3.8938
through,3.8938,4.0938
the,4.0938,4.1838
sands,4.1838,4.9738
rocks,4.9738,5.5738
and,5.5738,5.6938
snow,5.6938,6.1638
at,6.1638,6.9338
last,6.9338,7.4038
came,7.4038,7.6338
across,7.6338,7.9838
a,7.9838,8.0738
road,8.0738,8.4214
and,8.9052,9.4402
all,9.4402,9.7002
roads,9.7002,10.1402
lead,10.1402,10.3902
to,10.3902,10.5002
the,10.5002,10.5902
dwellings,10.5902,11.0602
of,11.0602,11.1802
men,11.1802,11.4841
good,12.5267,12.6817
morning,12.6817,13.1667
he,13.3911,13.4761
said,13.4761,13.870999999999999
it,14.3897,14.5247
was,14.5247,14.6647
a,14.6647,14.7147
garden,14.7147,15.1947
covered,15.1947,15.5347
in,15.5347,15.6047
roses,15.6047,16.2142
good,16.7929,16.9379
morning,16.9379,17.4828
said,17.7971,18.0221
the,18.0221,18.1621
roses,18.1621,18.7369
good,19.5749,19.7199
morning,19.7199,20.2399
good,21.0729,21.1879
morning,21.1879,21.7279
good,22.4113,22.6263
morning,22.6263,23.0262
the,24.6275,24.7025
little,24.7025,24.9525
prince,24.9525,25.4525
gazed,25.4525,25.8125
at,25.8125,25.9025
them,25.9025,26.156999999999996
they,26.7157,26.9207
all,26.9207,27.1207
looked,27.1207,27.5307
just,27.5307,27.9207
like,27.9207,28.1307
his,28.1307,28.3307
flower,28.3307,28.7299
who,29.5281,29.7231
are,29.7231,29.9531
you,29.9531,30.2681
he,30.5324,30.6674
asked,30.6674,30.9874
them,30.9874,31.1374
stunned,31.1374,31.677
we,32.2706,32.3756
re,32.3756,32.4356
roses,32.4356,33.3606
the,33.6798,33.7948
roses,33.7948,34.2548
said,34.2548,34.6197
we,35.1235,35.1885
re,35.1885,35.2485
roses,35.2485,36.0984
we,36.5373,36.6523
re,36.6523,36.7423
roses,36.7423,37.4523
we,37.9361,38.1011
re,38.1011,38.2711
roses,38.2711,38.9161
oh,40.1383,40.5133
said,40.8175,41.0125
the,41.0125,41.1025
little,41.1025,41.3525
prince,41.3525,41.8522
and,42.5106,42.6556
he,42.6556,42.7556
suddenly,42.7556,43.2756
felt,43.2756,43.6056
very,43.6056,44.0556
unhappy,44.0556,44.6751
his,45.4732,45.7682
flower,45.7682,46.1582
had,46.1582,46.3982
told,46.3982,46.7082
him,46.7082,46.8082
that,46.8082,46.9982
she,46.9982,47.3282
was,47.3282,47.5382
the,47.5382,47.6782
only,47.6782,48.0282
one,48.0282,48.2682
of,48.2682,48.3882
her,48.3882,48.5482
kind,48.5482,49.0282
in,49.0282,49.1282
the,49.1282,49.2182
universe,49.2182,49.5982
and,49.6982,49.7982
here,49.7982,50.8682
were,50.8682,51.0082
five,51.0082,51.4482
thousand,51.4482,52.0682
of,52.0682,52.1582
them,52.1582,52.4982
all,52.4982,52.5982
alike,52.5982,53.1682
in,53.1682,53.2582
one,53.2582,53.7082
single,53.7082,54.3182
garden,54.3182,54.8607
she,55.7486,55.8936
d,55.8936,55.9236
be,55.9236,56.0736
very,56.0736,56.4436
upset,56.4436,57.0329
he,57.2424,57.3174
said,57.3174,57.5774
to,57.5774,57.6774
himself,57.6774,58.4074
if,58.4074,58.5074
she,58.5074,58.8474
saw,58.8474,59.1274
this,59.1274,59.5164
she,60.1149,60.2899
d,60.2899,60.3499
cough,60.3499,60.8399
and,60.8399,61.0399
cough,61.0399,61.4743
and,61.8085,61.9135
pretend,61.9135,62.3735
to,62.3735,62.4535
die,62.4535,62.8435
to,62.8435,62.9935
avoid,62.9935,63.3635
being,63.3635,63.5235
laughed,63.5235,64.0135
at,64.0135,64.2924
and,64.8611,65.0261
i,65.0261,65.1761
d,65.1761,65.2361
have,65.2361,65.4061
to,65.4061,65.5661
pretend,65.5661,65.9861
to,65.9861,66.0961
nurse,66.0961,66.4061
her,66.4061,66.5361
back,66.5361,66.7761
to,66.7761,66.9761
life,66.9761,67.3952
to,67.6296,67.6946
humble,67.6946,68.0846
myself,68.0846,68.6346
also,68.6346,69.0746
because,69.0746,69.3546
if,69.3546,69.5046
i,69.5046,69.6246
didn,69.6246,69.9846
t,69.9846,70.0841
she,70.4632,70.7182
really,70.7182,70.9882
would,70.9882,71.1882
allow,71.1882,71.4882
herself,71.4882,71.9482
to,71.9482,72.0682
die,72.0682,72.4328
then,73.3606,73.5756
he,73.5756,73.7156
said,73.7156,73.9556
to,73.9556,74.0956
himself,74.0956,74.6056
i,75.2839,75.4189
thought,75.4189,75.6689
i,75.6689,75.7789
was,75.7789,76.0389
rich,76.0389,76.5789
with,76.5789,76.8089
a,76.8089,76.8489
flower,76.8489,77.3789
that,77.3789,77.4789
was,77.4789,77.6589
one,77.6589,77.8289
of,77.8289,77.9289
a,77.9289,77.9789
kind,77.9789,78.5181
and,78.957,79.102
all,79.102,79.332
i,79.332,79.502
have,79.502,79.832
is,79.832,79.962
a,79.962,80.032
common,80.032,80.502
rose,80.502,81.0768
that,81.6703,81.9953
and,81.9953,82.1153
my,82.1153,82.3253
three,82.3253,82.6353
volcanoes,82.6353,83.3153
that,83.3153,83.4353
come,83.4353,83.6553
up,83.6553,83.7953
to,83.7953,83.9353
my,83.9353,84.0653
knees,84.0653,84.8253
of,84.8253,84.8253
one,84.8253,85.0253
which,85.0253,85.4053
is,85.4053,85.5353
perhaps,85.5353,86.0253
forever,86.0253,86.4853
extinct,86.4853,87.1326
that,87.8159,87.9509
doesn,87.9509,88.2409
t,88.2409,88.2709
make,88.2709,88.5509
me,88.5509,88.7009
a,88.7009,88.7309
very,88.7309,89.0509
great,89.0509,89.4409
prince,89.4409,90.0499
and,91.0326,91.2076
lying,91.2076,91.6176
in,91.6176,91.7776
the,91.7776,91.8476
grass,91.8476,92.4576
he,92.4576,92.5476
started,92.5476,92.9676
to,92.9676,93.0576
cry,93.0576,93.50200000000001
it,94.7303,94.9053
was,94.9053,95.0653
then,95.0653,95.5553
that,95.5553,95.7553
the,95.7553,95.8453
fox,95.8453,96.2153
appeared,96.2153,96.6444
good,97.2879,97.4129
morning,97.4129,97.8479
said,98.1072,98.2922
the,98.2922,98.3722
fox,98.3722,98.8518
good,99.6699,99.8049
morning,99.8049,100.2799
responded,100.5991,101.1441
the,101.1441,101.2541
little,101.2541,101.5041
prince,101.5041,101.9141
politely,101.9141,102.5583
who,102.8874,102.9724
then,102.9724,103.3124
turned,103.3124,103.6524
around,103.6524,104.1624
but,104.1624,104.3924
saw,104.3924,104.5724
nothing,104.5724,105.0419
i,105.6155,105.7205
m,105.7205,105.7905
right,105.7905,106.1005
here,106.1005,106.2954
the,106.6994,106.7644
voice,106.7644,107.0844
said,107.0844,107.3444
under,107.6586,107.8836
the,107.8836,107.9936
apple,107.9936,108.2936
tree,108.2936,108.5683
who,109.5411,109.7161
are,109.7161,109.8861
you,109.8861,110.1711
asked,110.5401,110.8351
the,110.8351,110.9151
little,110.9151,111.1151
prince,111.1151,111.5299
you,111.9588,112.0538
re,112.0538,112.1138
very,112.1138,112.3838
pretty,112.3838,112.8886
i,113.6718,113.7568
m,113.7568,113.8168
a,113.8168,113.8868
fox,113.8868,114.3815
the,114.7306,114.7956
fox,114.7956,115.1356
said,115.1356,115.4353
come,116.2135,116.4085
and,116.4085,116.5585
play,116.5585,116.8285
with,116.8285,117.0085
me,117.0085,117.2534
proposed,117.4779,117.9329
the,117.9329,118.0129
little,118.0129,118.2529
prince,118.2529,118.6729
i,118.6729,118.7229
m,118.7229,119.2429
so,119.2429,119.5329
unhappy,119.5329,120.1764
i,120.8299,120.8749
can,120.8749,121.1549
t,121.1549,121.2549
play,121.2549,121.3549
with,121.3549,121.5149
you,121.5149,121.7095
