word,onsets,offsets
la,3.13,3.24
sixième,3.3,3.78
planète,3.9,4.43
était,4.61,4.81
une,4.87,5.09
planète,5.09,5.59
dix,5.59,5.95
fois,5.95,6.31
plus,6.31,6.58
vaste,6.58,7.16
Elle,7.72,7.92
était,7.92,8.22
habitée,8.22,8.66
par,8.66,8.82
un,8.82,8.99
vieux,8.99,9.18
monsieur,9.18,9.73
qui,9.89,10.06
écrivait,10.06,10.58
d',10.58,10.7
énormes,10.7,11.53
livres,11.53,12.06
Tiens,13.03,13.32
voilà,13.64,13.93
un,13.93,13.96
explorateur,14.1,14.99
s',15.49,15.63
écria,15.63,15.99
t,15.99,16.23
il,16.23,16.42
quand,16.51,16.74
il,16.74,16.86
aperçut,16.86,17.27
le,17.27,17.39
petit,17.39,17.7
prince,17.7,18.31
Le,19.22,19.36
petit,19.36,19.68
prince,19.68,20.15
s',20.15,20.17
assit,20.17,20.52
sur,20.52,20.67
la,20.67,20.83
table,20.83,21.26
et,21.43,21.52
souffla,21.52,21.98
un,21.98,22.24
peu,22.24,22.51
Il,23.04,23.23
avait,23.23,23.48
déjà,23.48,23.9
tant,24.07,24.35
voyagé,24.35,24.98
D',25.74,25.83
où,25.83,25.96
viens,25.96,26.17
tu,26.17,26.57
lui,26.86,27.08
dit,27.08,27.24
le,27.24,27.36
vieux,27.36,27.54
monsieur,27.54,28.02
Quel,29.01,29.21
est,29.21,29.3
ce,29.3,29.46
gros,29.46,29.68
livre,29.68,30.11
dit,30.38,30.6
le,30.6,30.68
petit,30.68,30.96
prince,30.96,31.51
Que,31.86,32.01
faites,32.01,32.25
vous,32.25,32.5
ici,32.5,32.97
Je,33.98,34.05
suis,34.05,34.34
géographe,34.34,35.2
dit,35.61,35.95
le,35.95,36.06
vieux,36.06,36.25
monsieur,36.25,36.78
Qu',37.59,37.67
est,37.67,37.75
ce,37.75,37.84
qu',37.84,37.9
un,37.9,38.02
géographe,38.02,38.73
c',39.423058000000005,39.534943
est,39.534943,39.71
un,39.81,39.87
savant,39.98,40.38
qui,40.38,40.62
connaît,40.62,41.08
où,41.23,41.42
se,41.42,41.59
trouvent,41.59,41.96
les,41.96,42.15
mers,42.15,42.6
les,42.67,42.84
fleuves,42.84,43.42
les,43.57,43.77
villes,43.77,44.15
les,44.25,44.46
montagnes,44.46,45.03
et,45.03,45.17
les,45.32,45.56
déserts,45.56,46.22
Ça,47.13,47.37
c',47.37,47.46
est,47.46,47.57
bien,47.57,47.77
intéressant,47.77,48.51
dit,48.79,48.93
le,48.93,49.05
petit,49.05,49.33
prince,49.33,49.81
Ça,50.27,50.58
c',50.58,50.69
est,50.69,50.84
enfin,50.84,51.35
un,51.35,51.37
véritable,51.37,52.08
métier,52.08,52.61
Et,53.4,53.55
il,53.55,53.67
jeta,53.67,54.03
un,54.11,54.2
coup,54.2,54.33
d',54.33,54.39
oeil,54.39,54.58
autour,54.58,54.79
de,54.79,54.93
lui,54.93,55.16
sur,55.16,55.34
la,55.34,55.45
planète,55.45,55.93
du,55.93,56.06
géographe,56.06,56.84
Il,57.47,57.65
n',57.65,57.73
avait,57.73,58.04
jamais,58.04,58.57
vu,58.57,58.73
encore,58.73,59.2
une,59.2,59.45
planète,59.51,60.07
aussi,60.16,60.77
majestueuse,60.77,61.87
Elle,62.79,62.88
est,62.88,62.98
bien,62.98,63.18
belle,63.18,63.44
votre,63.44,63.7
planète,63.7,64.32
Est,64.68,64.82
ce,64.82,64.93
qu',64.93,65.01
il,65.01,65.1
y,65.1,65.2
a,65.2,65.28
des,65.28,65.5
océans,65.5,65.93
Je,66.66,66.83
ne,66.83,67.01
puis,67.01,67.19
pas,67.19,67.36
le,67.36,67.42
savoir,67.42,68.22
dit,68.6,68.9
le,68.9,68.95
géographe,68.95,69.68
Ah,70.46,70.8
Le,71.33,71.44
petit,71.44,71.82
prince,71.82,72.21
était,72.21,72.45
déçu,72.45,72.81
et,73.553821,73.657099
des,73.657099,73.76
montagnes,73.76,74.48
Je,75.27,75.43
ne,75.43,75.47
puis,75.47,75.76
pas,75.76,75.92
le,75.92,75.95
savoir,75.99,76.72
dit,77.05,77.26
le,77.26,77.32
géographe,77.32,78.11
Et,79.0,79.06
des,79.06,79.23
villes,79.23,79.36
et,79.36,79.63
des,79.8,79.96
fleuves,79.96,80.38
et,80.58,80.65
des,80.65,80.77
déserts,80.77,81.37
Je,82.09,82.24
ne,82.28,82.32
puis,82.4,82.57
pas,82.57,82.75
le,82.75,82.79
savoir,82.79,83.24
non,83.24,83.4
plus,83.4,83.75
dit,84.23,84.44
le,84.44,84.47
géographe,84.47,85.19
Mais,85.92,86.12
vous,86.12,86.18
êtes,86.18,86.44
géographe,86.44,87.14
C',88.01,88.15
est,88.15,88.37
exact,88.37,88.9
dit,89.23,89.5
le,89.5,89.55
géographe,89.55,90.29
mais,90.65,91.01
je,91.01,91.17
ne,91.17,91.25
suis,91.25,91.49
pas,91.49,91.7
explorateur,91.7,92.52
Je,92.94,93.2
manque,93.2,93.56
absolument,93.56,94.29
d',94.29,94.35
explorateurs,94.35,95.19
Ce,95.82,96.02
n',96.02,96.06
est,96.06,96.2
pas,96.2,96.34
le,96.34,96.45
géographe,96.45,97.0
qui,97.0,97.15
va,97.15,97.29
faire,97.29,97.47
