onsets,offsets,word
93.89,94.26,...
94.26,94.42,je
94.42,94.53,ne
94.53,94.69,peux
94.69,95.0,plus
95.0,95.59,...
95.59,95.59,","
95.59,95.83,fit
95.83,95.86,le
95.86,96.16,petit
96.16,96.54,prince
96.54,96.73,tout
96.73,97.37,rougissant
97.37,98.18,.
98.18,98.18,-
98.18,98.49,hum
98.49,98.62,!
98.62,98.86,hum
98.86,99.45,!
99.45,99.86,répondit
99.91,100.02,le
100.02,100.35,roi
100.35,101.04,.
101.04,101.67,alors
101.67,102.01,je
102.01,102.37,...
102.37,102.53,je
102.53,102.58,t'
102.58,103.08,ordonne
103.12,103.41,tantôt
103.41,103.53,de
103.53,104.31,bâiller
104.31,104.33,et
104.33,104.69,tantôt
104.69,105.25,de
105.25,105.91,...
105.91,105.91,""""
105.91,106.05,il
106.05,106.63,bredouillait
106.63,106.78,un
106.82,106.98,peu
107.27,107.38,et
107.38,107.91,paraissait
107.91,108.45,vexé
108.45,109.35,.
109.35,109.57,car
109.57,109.69,le
109.69,109.96,roi
109.96,110.32,tenait
110.32,111.08,essentiellement
111.22,111.34,à
111.34,111.49,ce
111.49,111.61,que
111.61,111.87,son
111.87,112.41,autorité
112.41,112.63,fût
112.63,113.52,respectée
113.52,114.12,.
114.12,114.34,il
114.34,114.54,ne
114.64,115.16,tolérait
115.16,115.38,pas
115.38,115.55,la
115.55,116.71,désobéissance
116.71,117.28,.
117.28,117.38,c'
117.38,117.64,était
117.64,117.75,un
117.75,118.2,monarque
118.3,118.91,absolu
118.91,119.72,.
119.72,119.96,mais
119.96,119.96,","
119.96,120.19,comme
120.19,120.32,il
120.32,120.54,était
120.54,120.82,très
120.82,121.05,bon
121.05,121.33,","
121.33,121.52,il
121.52,121.76,donnait
121.76,121.98,des
121.98,122.36,ordres
122.36,123.02,raisonnables
123.02,124.52,.
124.52,124.52,""""
124.52,124.76,si
124.76,124.79,j'
124.79,125.31,ordonnais
125.31,125.6,","
125.6,126.04,disait
126.04,126.04,-
126.04,126.24,il
126.24,126.83,couramment
126.83,127.32,","
127.32,127.47,si
127.47,127.56,j'
127.56,127.95,ordonnais
127.95,128.07,à
128.07,128.1,un
128.1,128.66,général
128.66,128.76,de
128.76,128.91,se
128.91,129.34,changer
129.34,129.48,en
129.48,129.72,oiseau
129.72,129.84,de
129.84,130.21,mer
130.21,130.4,","
130.4,130.48,et
130.48,130.67,si
130.67,130.73,le
130.73,131.26,général
131.26,131.32,n'
131.32,131.9,obéissait
131.9,132.08,pas
132.08,132.51,","
132.51,132.66,ce
132.66,132.79,ne
132.79,133.04,serait
133.04,133.16,pas
133.16,133.25,la
133.25,133.43,faute
133.43,133.54,du
133.54,134.06,général
134.06,134.49,.
134.49,134.65,ce
134.65,134.91,serait
134.91,135.14,ma
135.14,135.56,faute
135.56,136.14499999999998,.
136.14499999999998,136.73,""""
136.73,136.73,""""
136.73,137.0,puis
137.0,137.0,-
137.0,137.03,je
137.03,137.09,m'
137.09,137.67,asseoir
137.67,137.97,?
137.97,138.12,s'
138.12,138.47,enquit
138.47,138.99,timidement
138.99,139.12,le
139.12,139.38,petit
139.38,139.95,prince
139.95,140.6,.
140.6,140.6,-
140.6,140.7,je
140.77,140.8,t'
140.8,141.27,ordonne
141.27,141.32,de
141.32,141.39,t'
141.39,141.98,asseoir
141.98,142.3,""""
142.3,142.3,","
142.3,142.46,lui
142.46,142.94,répondit
142.94,143.06,le
143.06,143.31,roi
143.31,143.66,","
143.66,143.82,qui
143.82,144.32,ramena
144.32,145.46,majestueusement
145.46,145.66,un
145.72,145.89,pan
145.89,145.99,de
145.99,146.2,son
146.2,146.5,manteau
146.5,146.56,d'
146.56,147.06,hermine
147.06,147.98,.
147.98,148.26,mais
148.26,148.29,le
148.29,148.59,petit
148.59,149.11,prince
149.11,149.13,s'
149.13,149.58,étonnait
149.58,150.36,.
150.36,150.53,la
150.53,150.91,planète
150.91,151.12,était
151.12,151.91,minuscule
151.91,152.48,.
152.48,152.85,sur
152.85,153.17,quoi
153.17,153.35,le
153.35,153.65,roi
153.65,154.07,pouvait
154.07,154.07,-
154.07,154.29,il
154.29,154.45,bien
154.45,155.0,régner
155.0,155.78,?
155.78,155.78,""""
155.78,156.35,sire
156.35,156.55,","
156.55,156.77,lui
156.77,157.0,dit
157.0,157.0,-
157.0,157.34,il
157.34,157.86,...
157.86,158.0,je
158.0,158.17,vous
158.17,158.42,demande
158.42,158.8,pardon
158.8,158.89,de
158.89,159.08,vous
159.08,159.73,interroger
159.73,160.29,...
160.29,160.29,-
160.29,160.44,je
160.44,160.49,t'
160.49,161.04,ordonne
161.04,161.12,de
161.12,161.19,m'
161.19,161.82,interroger
161.82,162.13,","
162.13,162.31,se
162.31,162.69,hâta
162.69,162.8,de
162.8,163.03,dire
163.03,163.14,le
163.14,163.45,roi
163.45,164.22,.
164.22,164.22,-
164.22,164.8,sire
164.8,165.06,...
165.06,165.27,sur
165.27,165.48,quoi
165.48,165.81,régnez
165.81,165.81,-
165.81,166.1,vous
166.1,166.96,?
166.96,166.96,-
166.96,167.28,sur
167.35,167.68,tout
167.68,168.14,","
168.14,168.68,répondit
168.68,168.74,le
168.74,169.04,roi
169.04,169.3,","
169.3,169.6,avec
169.6,169.78,une
169.78,170.18,grande
170.18,171.09,simplicité
171.09,171.86,.
171.86,171.86,-
171.86,172.27,sur
172.31,172.57,tout
172.57,173.68,?
173.68,173.68,""""
173.68,173.73,le
173.86,174.16,roi
174.16,174.19,d'
174.19,174.34,un
174.34,174.76,geste
174.76,175.27,discret
175.27,175.84,désigna
175.84,176.04,sa
176.04,176.61,planète
176.61,176.7,","
176.7,177.01,les
177.01,177.26,autres
177.26,177.85,planètes
178.13,178.2,et
178.2,178.43,les
178.43,178.94,étoiles
178.94,179.86,.
179.86,179.86,""""
179.86,180.13,sur
180.13,180.31,tout
180.31,180.52,ça
180.52,180.96,?
180.96,181.1,dit
181.1,181.25,le
181.25,181.52,petit
181.52,182.06,prince
182.06,182.59,.
182.59,182.85,sur
182.85,183.1,tout
183.1,183.42,ça
183.42,183.57999999999998,...
183.57999999999998,183.74,""""
183.74,183.74,","
183.74,184.21,répondit
184.21,184.34,le
184.34,184.64,roi
184.64,185.75,.
185.75,186.03,car
186.03,186.21,non
186.29,186.58,seulement
186.58,186.69,c'
186.69,186.95,était
186.95,187.06,un
187.06,187.53,monarque
187.62,188.18,absolu
188.41,188.57,mais
188.57,188.67,c'
188.67,188.94,était
188.94,189.0,un
189.0,189.51,monarque
189.64,190.78,universel
190.78,191.84,.
191.84,191.84,""""
191.84,191.87,et
191.92,192.16,les
192.16,192.48,étoiles
192.48,192.66,vous
192.66,193.23,obéissent
193.23,193.91,?
193.91,193.91,-
193.91,194.14,bien
194.14,194.56,sûr
194.56,194.91,","
194.91,195.12,lui
195.12,195.25,dit
195.25,195.37,le
195.37,195.65,roi
195.65,196.14,.
196.14,196.44,elles
196.44,196.84,obéissent
196.84,197.34,aussitôt
197.34,197.58,.
197.58,197.73,je
197.73,197.91,ne
197.95,198.31,tolère
198.31,198.44,pas
198.44,198.48,l'
198.48,199.28,indiscipline
199.28,200.49,.
200.49,200.49,""""
200.49,200.78,un
200.84,201.14,tel
201.14,201.64,pouvoir
201.87,202.62,émerveilla
202.62,202.74,le
202.74,203.02,petit
203.02,203.59,prince
203.59,204.0,.
204.0,204.15,s'
204.15,204.38,il
204.38,204.4,l'
204.46,204.67,avait
204.67,205.19,détenu
205.19,205.37,lui
205.37,205.37,-
205.37,205.73,même
205.73,206.1,","
206.1,206.28,il
206.28,206.56,aurait
206.56,206.65,pu
206.65,207.36,assister
207.36,207.66,","
207.66,207.89,non
207.89,208.14,pas
208.14,208.22,à
208.22,208.58,quarante
208.58,208.58,-
208.58,208.98,quatre
208.98,209.4,","
209.4,209.63,mais
209.63,209.71,à
209.71,210.17,soixante
210.17,210.17,-
210.17,210.62,douze
210.62,210.72,","
210.72,210.86,ou
210.86,211.09,même
211.09,211.2,à
211.2,211.59,cent
211.59,211.97,","
211.97,212.1,ou
212.1,212.31,même
212.31,212.42,à
212.42,212.73,deux
212.73,213.05,cents
213.05,213.38,couchers
213.38,213.5,de
213.5,213.91,soleil
213.91,214.03,dans
214.03,214.16,la
214.16,214.5,même
214.5,214.97,journée
214.97,215.35,","
215.35,215.76,sans
215.76,216.13,avoir
216.13,216.79,jamais
216.79,216.87,à
216.87,217.19,tirer
217.19,217.36,sa
217.36,217.88,chaise
217.88,219.18,!
219.18,219.24,et
219.24,219.5,comme
219.5,219.57,il
219.57,219.85,se
219.85,220.16,sentait
220.16,220.27,un
220.27,220.39,peu
220.39,220.88,triste
220.88,221.08,à
221.08,221.34,cause
221.34,221.46,du
221.46,221.97,souvenir
221.97,222.08,de
222.08,222.26,sa
222.26,222.61,petite
222.61,223.14,planète
223.14,223.8,abandonnée
223.8,224.15,","
224.15,224.31,il
224.31,224.47,s'
224.47,225.0,enhardit
225.0,225.08,à
225.08,225.88,solliciter
225.88,226.06,une
226.06,226.55,grâce
226.55,226.69,du
226.69,226.96,roi
226.96,228.08,:
228.08,228.08,""""
228.08,228.25,je
228.25,228.59,voudrais
228.59,228.76,voir
228.76,228.83,un
228.83,229.13,coucher
229.13,229.22,de
229.22,229.8,soleil
229.8,230.23,...
230.23,230.4,faites
230.4,230.4,-
230.4,230.54,moi
230.54,231.16,plaisir
231.16,231.51,...
231.51,231.95,ordonnez
231.95,231.98,au
231.98,232.33,soleil
232.33,232.43,de
232.43,232.59,se
232.59,233.13,coucher
233.13,234.08,...
234.08,234.08,-
234.08,234.22,si
234.22,234.25,j'
234.25,234.78,ordonnais
234.78,234.83,à
234.83,234.93,un
234.93,235.52,général
235.52,235.64,de
235.64,235.91,voler
235.91,235.96,d'
235.96,236.1,une
236.1,236.52,fleur
236.52,236.57,à
236.57,236.63,l'
236.63,236.87,autre
236.87,236.9,à
236.9,237.02,la
237.02,237.35,façon
237.35,237.42,d'
237.42,237.54,un
237.54,238.07,papillon
238.07,238.41,","
238.41,238.52,ou
238.52,238.58,d'
238.58,238.97,écrire
238.97,239.12,une
