onsets,offsets,word
3.13,3.24,la
3.3,3.78,sixième
3.9,4.43,planète
4.61,4.81,était
4.87,5.09,une
5.09,5.59,planète
5.59,5.95,dix
5.95,6.31,fois
6.31,6.58,plus
6.58,7.16,vaste
7.16,7.72,.
7.72,7.92,Elle
7.92,8.22,était
8.22,8.66,habitée
8.66,8.82,par
8.82,8.99,un
8.99,9.18,vieux
9.18,9.73,monsieur
9.89,10.06,qui
10.06,10.58,écrivait
10.58,10.7,d'
10.7,11.53,énormes
11.53,12.06,livres
12.06,13.03,.
13.03,13.03,«
13.03,13.32,Tiens
13.32,13.64,!
13.64,13.93,voilà
13.93,13.96,un
14.1,14.99,explorateur
14.99,15.49,!
15.49,15.49,»
15.49,15.63,s'
15.63,15.99,écria
15.99,15.99,-
15.99,16.23,t
16.23,16.23,-
16.23,16.42,il
16.42,16.51,","
16.51,16.74,quand
16.74,16.86,il
16.86,17.27,aperçut
17.27,17.39,le
17.39,17.7,petit
17.7,18.31,prince
18.31,19.22,.
19.22,19.36,Le
19.36,19.68,petit
19.68,20.15,prince
20.15,20.17,s'
20.17,20.52,assit
20.52,20.67,sur
20.67,20.83,la
20.83,21.26,table
21.43,21.52,et
21.52,21.98,souffla
21.98,22.24,un
22.24,22.51,peu
22.51,23.04,.
23.04,23.23,Il
23.23,23.48,avait
23.48,23.9,déjà
24.07,24.35,tant
24.35,24.98,voyagé
24.98,25.74,!
25.74,25.74,«
25.74,25.83,D'
25.83,25.96,où
25.96,26.17,viens
26.17,26.17,-
26.17,26.57,tu
26.57,26.86,?
26.86,27.08,lui
27.08,27.24,dit
27.24,27.36,le
27.36,27.54,vieux
27.54,28.02,monsieur
28.02,29.01,.
29.01,29.21,Quel
29.21,29.3,est
29.3,29.46,ce
29.46,29.68,gros
29.68,30.11,livre
30.11,30.38,?
30.38,30.6,dit
30.6,30.68,le
30.68,30.96,petit
30.96,31.51,prince
31.51,31.86,.
31.86,32.01,Que
32.01,32.25,faites
32.25,32.25,-
32.25,32.5,vous
32.5,32.97,ici
32.97,33.98,?
33.98,34.05,Je
34.05,34.34,suis
34.34,35.2,géographe
35.2,35.61,","
35.61,35.95,dit
35.95,36.06,le
36.06,36.25,vieux
36.25,36.78,monsieur
36.78,37.59,.
37.59,37.67,Qu'
37.67,37.75,est
37.75,37.75,-
37.75,37.84,ce
37.84,37.9,qu'
37.9,38.02,un
38.02,38.73,géographe
38.73,39.42305800000001,?
39.42305800000001,39.534943,c'
39.534943,39.71,est
39.81,39.87,un
39.98,40.38,savant
40.38,40.62,qui
40.62,41.08,connaît
41.23,41.42,où
41.42,41.59,se
41.59,41.96,trouvent
41.96,42.15,les
42.15,42.6,mers
42.6,42.67,","
42.67,42.84,les
42.84,43.42,fleuves
43.42,43.57,","
43.57,43.77,les
43.77,44.15,villes
44.15,44.25,","
44.25,44.46,les
44.46,45.03,montagnes
45.03,45.17,et
45.32,45.56,les
45.56,46.22,déserts
46.22,47.13,.
47.13,47.37,Ça
47.37,47.46,c'
47.46,47.57,est
47.57,47.77,bien
47.77,48.51,intéressant
48.51,48.79,","
48.79,48.93,dit
48.93,49.05,le
49.05,49.33,petit
49.33,49.81,prince
49.81,50.27,.
50.27,50.58,Ça
50.58,50.69,c'
50.69,50.84,est
50.84,51.35,enfin
51.35,51.37,un
51.37,52.08,véritable
52.08,52.61,métier
52.61,53.4,!
53.4,53.4,»
53.4,53.55,Et
53.55,53.67,il
53.67,54.03,jeta
54.11,54.2,un
54.2,54.33,coup
54.33,54.39,d'
54.39,54.58,oeil
54.58,54.79,autour
54.79,54.93,de
54.93,55.16,lui
55.16,55.34,sur
55.34,55.45,la
55.45,55.93,planète
55.93,56.06,du
56.06,56.84,géographe
56.84,57.47,.
57.47,57.65,Il
57.65,57.73,n'
57.73,58.04,avait
58.04,58.57,jamais
58.57,58.73,vu
58.73,59.2,encore
59.2,59.45,une
59.51,60.07,planète
60.16,60.77,aussi
60.77,61.87,majestueuse
61.87,62.79,.
62.79,62.79,«
62.79,62.88,Elle
62.88,62.98,est
62.98,63.18,bien
63.18,63.44,belle
63.44,63.44,","
63.44,63.7,votre
63.7,64.32,planète
64.32,64.68,.
64.68,64.82,Est
64.82,64.82,-
64.82,64.93,ce
64.93,65.01,qu'
65.01,65.1,il
65.1,65.2,y
65.2,65.28,a
65.28,65.5,des
65.5,65.93,océans
65.93,66.66,?
66.66,66.83,Je
66.83,67.01,ne
67.01,67.19,puis
67.19,67.36,pas
67.36,67.42,le
67.42,68.22,savoir
68.22,68.6,","
68.6,68.9,dit
68.9,68.95,le
68.95,69.68,géographe
69.68,70.46,.
70.46,70.8,Ah
70.8,71.33,!
71.33,71.44,Le
71.44,71.82,petit
71.82,72.21,prince
72.21,72.45,était
72.45,72.81,déçu
72.81,73.553821,.
73.553821,73.657099,et
73.657099,73.76,des
73.76,74.48,montagnes
74.48,75.27,?
75.27,75.43,Je
75.43,75.47,ne
75.47,75.76,puis
75.76,75.92,pas
75.92,75.95,le
75.99,76.72,savoir
76.72,77.05,","
77.05,77.26,dit
77.26,77.32,le
77.32,78.11,géographe
78.11,79.0,.
79.0,79.06,Et
79.06,79.23,des
79.23,79.36,villes
79.36,79.63,et
79.8,79.96,des
79.96,80.38,fleuves
80.58,80.65,et
80.65,80.77,des
80.77,81.37,déserts
81.37,82.09,?
82.09,82.24,Je
82.28,82.32,ne
82.4,82.57,puis
82.57,82.75,pas
82.75,82.79,le
82.79,83.24,savoir
83.24,83.4,non
83.4,83.75,plus
83.75,84.23,","
84.23,84.44,dit
84.44,84.47,le
84.47,85.19,géographe
85.19,85.92,.
85.92,86.12,Mais
86.12,86.18,vous
86.18,86.44,êtes
86.44,87.14,géographe
87.14,88.01,!
88.01,88.15,C'
88.15,88.37,est
88.37,88.9,exact
88.9,89.23,","
89.23,89.5,dit
89.5,89.55,le
89.55,90.29,géographe
90.29,90.65,","
90.65,91.01,mais
91.01,91.17,je
91.17,91.25,ne
91.25,91.49,suis
91.49,91.7,pas
91.7,92.52,explorateur
92.52,92.94,.
92.94,93.2,Je
93.2,93.56,manque
93.56,94.29,absolument
94.29,94.35,d'
94.35,95.19,explorateurs
95.19,95.82,.
95.82,96.02,Ce
96.02,96.06,n'
96.06,96.2,est
96.2,96.34,pas
96.34,96.45,le
96.45,97.0,géographe
97.0,97.15,qui
97.15,97.29,va
97.29,97.47,faire
97.47,97.57,le
97.57,97.91,compte
97.91,98.07,des
98.07,98.47,villes
98.47,98.76,","
98.76,98.86,des
98.86,99.41,fleuves
99.41,99.68,","
99.68,99.77,des
99.77,100.46,montagnes
100.46,100.57,","
100.57,100.79,des
100.79,101.24,mers
101.24,101.48,","
101.48,101.73,des
101.73,102.26,océans
102.37,102.46,et
102.46,102.56,des
102.56,103.18,déserts
103.18,103.85,.
103.85,104.03,Le
104.03,104.6,géographe
104.6,104.75,est
104.75,105.05,trop
105.09,105.54,important
105.54,105.66,pour
105.66,106.15,flâner
106.15,106.52,.
106.52,106.73,Il
106.73,106.83,ne
106.83,107.02,quitte
107.02,107.2,pas
107.2,107.41,son
107.41,107.8,bureau
107.8,108.41,.
108.41,108.52,Mais
108.52,108.71,il
108.71,108.81,y
108.81,109.19,reçoit
109.19,109.36,les
109.36,110.19,explorateurs
110.19,110.86,.
110.86,111.09,Il
111.09,111.23,les
111.23,112.02,interroge
112.02,112.14,","
112.14,112.19,et
112.19,112.36,il
112.36,112.83,prend
112.83,112.85,en
112.85,113.11,note
113.11,113.28,leurs
113.28,114.0,souvenirs
114.0,114.69,.
114.69,114.79,Et
114.79,114.85,si
114.94,115.18,les
115.25,115.77,souvenirs
115.77,115.91,de
115.91,116.03,l'
116.03,116.16,un
116.16,116.21,d'
116.21,116.49,entre
116.49,116.54,eux
116.54,116.72,lui
116.72,117.17,paraissent
117.17,117.9,intéressants
