onsets,offsets,word
3.08,3.14,la
3.31,3.8,quatrième
3.91,4.45,planète
4.51,4.82,était
4.88,5.27,celle
5.27,5.44,du
5.44,6.44,businessman
6.44,7.15,.
7.15,7.391941,cet
7.423483999999998,7.61,homme
7.61,7.84,était
7.84,8.14,si
8.14,8.78,occupé
8.87,8.95,qu'
8.95,9.04,il
9.04,9.17,ne
9.17,9.5,leva
9.5,9.89,même
9.89,10.07,pas
10.07,10.21,la
10.21,10.59,tête
10.66,10.76,à
10.76,10.81,l'
10.81,11.15,arrivée
11.15,11.27,du
11.27,11.56,petit
11.56,12.19,prince
12.19,12.98,.
12.98,12.98,""""
12.98,13.5,bonjour
13.5,13.79,","
13.79,13.99,lui
13.99,14.16,dit
14.2,14.46,celui
14.46,14.46,-
14.46,14.77,ci
14.77,15.39,.
15.39,15.6,votre
15.6,16.15,cigarette
16.15,16.27,est
16.27,16.82,éteinte
16.82,17.99,.
17.99,17.99,-
17.99,18.16,trois
18.42,18.51,et
18.51,18.59,deux
18.74,18.95,font
18.95,19.61,cinq
19.61,19.8,.
19.8,20.22,cinq
20.22,20.32,et
20.32,20.7,sept
20.7,21.39,douze
21.39,21.73,.
21.73,22.03,douze
22.03,22.15,et
22.15,22.61,trois
22.67,23.45,quinze
23.45,23.88,.
23.88,24.68,bonjour
24.68,25.15,.
25.15,25.51,quinze
25.51,25.6,et
25.6,26.01,sept
26.01,26.32,vingt
26.32,26.32,-
26.32,26.68,deux
26.68,27.12,.
27.12,27.4,vingt
27.4,27.4,-
27.4,27.63,deux
27.68,27.76,et
27.76,28.25,six
28.25,28.58,vingt
28.58,28.58,-
28.58,28.99,huit
28.99,29.22,.
29.22,29.44,pas
29.44,29.66,le
29.66,29.88,temps
29.88,29.99,de
29.99,30.17,la
30.17,30.76,rallumer
30.76,31.18,.
31.18,31.38,vingt
31.38,31.38,-
31.38,31.81,six
31.87,31.97,et
31.97,32.47,cinq
32.47,32.85,trente
32.85,32.98,et
32.98,33.13,un
33.13,33.6,.
33.6,33.97,ouf
33.97,34.43,!
34.43,34.65,ça
34.65,34.82,fait
34.82,35.19,donc
35.19,35.48,cinq
35.48,35.78,cent
35.78,35.94,un
35.94,36.46,millions
36.46,36.86,six
36.86,36.98,cent
36.98,37.31,vingt
37.31,37.31,-
37.31,37.46,deux
37.46,37.82,mille
37.82,38.16,sept
38.16,38.4,cent
38.4,38.74,trente
38.74,38.88,et
38.88,39.04,un
39.04,40.09,.
40.09,40.09,-
40.09,40.33,cinq
40.33,40.5,cents
40.55,40.85,millions
40.85,41.01,de
41.01,41.31,quoi
41.31,42.37,?
42.37,42.37,-
42.37,42.75,hein
42.75,42.95,?
42.95,43.07,tu
43.07,43.19,es
43.25,43.51,toujours
43.51,43.74,là
43.74,44.35,?
44.35,44.61,cinq
44.61,44.84,cent
44.84,44.93,un
44.93,45.27,millions
45.27,45.74,de
45.74,46.3,...
46.3,46.45,je
46.45,46.53,ne
46.53,46.74,sais
46.74,47.06,plus
47.06,47.41,...
47.41,47.52,j'
47.52,47.64,ai
47.64,48.07,tellement
48.07,48.17,de
48.17,48.81,travail
48.81,49.33,!
49.33,49.44,je
49.44,49.68,suis
49.68,50.17,sérieux
50.17,50.17,","
50.17,50.38,moi
50.38,50.76,","
50.76,50.91,je
50.91,51.0,ne
51.0,51.06,m'
51.06,51.42,amuse
51.42,51.7,pas
51.7,51.72,à
51.72,51.86,des
51.86,52.6,balivernes
52.6,53.45,!
53.45,53.74,deux
53.74,53.91,et
53.91,54.38,cinq
54.38,54.97,sept
54.97,56.2,...
56.2,56.2,-
56.2,56.5,cinq
56.5,56.59,cent
56.59,56.76,un
56.76,57.15,millions
57.15,57.27,de
57.27,57.63,quoi
57.63,58.02,?
58.02,58.02,""""
58.02,58.46,répéta
58.46,58.58,le
58.58,58.86,petit
58.86,59.36,prince
59.36,59.61,qui
59.61,60.2,jamais
60.2,60.34,de
60.34,60.6,sa
60.6,60.85,vie
60.85,60.98,n'
60.98,61.16,avait
61.16,61.75,renoncé
61.75,61.78,à
61.78,61.93,une
61.93,62.49,question
62.49,62.76,","
62.76,62.92,une
62.92,63.16,fois
63.16,63.27,qu'
63.27,63.47,il
63.47,63.49,l'
63.49,63.71,avait
63.71,64.15,posée
64.15,65.15584799999999,.
65.15584799999999,65.346357,le
65.346357,66.0,businessman
66.0,66.3,leva
66.3,66.43,la
66.43,66.9,tête
66.9,67.83,:
67.83,67.83,""""
67.83,68.21,depuis
68.3,68.66,cinquante
68.66,68.66,-
68.66,68.94,quatre
68.94,69.04,ans
69.04,69.18,que
69.18,69.26,j'
69.26,69.55,habite
69.55,69.71,cette
69.76,70.1,planète
70.1,70.1,-
70.1,70.42,ci
70.42,70.62,","
70.62,70.77,je
70.77,70.82,n'
70.82,71.0,ai
71.0,71.14,été
71.14,71.71,dérangé
71.71,71.85,que
71.85,72.24,trois
72.24,72.6,fois
72.6,73.38,.
73.38,73.52,la
73.52,73.86,première
73.86,74.09,fois
74.09,74.21,ç'
74.21,74.29,a
74.29,74.82,été
74.82,74.86,","
74.86,74.99,il
74.99,75.1,y
75.1,75.19,a
75.19,75.4,vingt
75.4,75.45,-
75.45,75.68,deux
75.68,75.88,ans
75.88,76.25,","
76.25,76.47,par
76.47,76.59,un
76.59,77.22,hanneton
77.22,77.34,qui
77.34,77.58,était
77.58,77.95,tombé
77.95,78.29,dieu
78.29,78.53,sait
78.53,78.62,d'
78.62,78.73,où
78.73,79.63,.
79.63,79.78,il
79.86,80.35,répandait
80.35,80.52,un
80.52,80.79,bruit
80.86,81.88,épouvantable
81.88,82.02,","
82.02,82.07,et
82.07,82.2,j'
82.2,82.25,ai
82.25,82.52,fait
82.69,83.06,quatre
83.06,83.44,erreurs
83.44,83.73,dans
83.73,83.88,une
83.88,84.38,addition
84.38,85.39,.
85.39,85.49,la
85.55,85.94,seconde
85.94,86.21,fois
86.21,86.32,ç'
86.32,86.43,a
86.43,86.92,été
86.92,86.98,","
86.98,87.15,il
87.15,87.3,y
87.3,87.46,a
87.51,87.83,onze
87.83,88.03,ans
88.03,88.28,","
88.28,88.5,par
88.5,88.66,une
88.66,89.09,crise
89.09,89.24,de
89.24,90.05,rhumatisme
90.05,90.53,.
90.53,90.67,je
90.67,90.94,manque
90.94,91.01,d'
91.01,91.7,exercice
91.7,92.17,.
92.17,92.31,je
92.31,92.37,n'
92.37,92.5,ai
92.5,92.63,pas
92.63,92.8,le
92.8,92.95,temps
92.95,93.06,de
93.06,93.54,flâner
93.54,93.92,.
93.92,94.03,je
94.03,94.24,suis
94.24,94.69,sérieux
94.69,94.69,","
94.69,94.95,moi
94.95,95.87,.
95.87,96.04,la
96.04,96.46,troisième
96.46,96.85,fois
96.85,97.03,...
97.03,97.21,la
97.21,97.7,voici
97.7,98.48,!
98.48,98.61,je
98.61,99.04,disais
99.21,99.44,donc
99.55,99.86,cinq
99.86,100.11,cent
100.11,100.27,un
100.27,100.76,millions
100.76,101.55,...
101.55,101.55,-
101.55,102.06,millions
102.06,102.24,de
102.28,102.69,quoi
102.69,103.7,?
103.7,103.7,""""
103.7,103.82,le
103.82,104.63,businessman
104.68,105.23,comprit
105.23,105.33,qu'
105.33,105.43,il
105.43,105.47,n'
105.47,105.76,était
105.76,105.99,point
105.99,106.05,d'
106.05,106.46,espoir
106.46,106.62,de
106.62,106.88,paix
106.88,107.61,:
107.61,107.61,""""
107.61,108.1,millions
108.1,108.14,de
108.14,108.39,ces
108.39,108.73,petites
108.73,109.11,choses
109.11,109.23,que
109.23,109.28,l'
109.28,109.4,on
109.4,109.59,voit
109.59,110.04,quelquefois
110.04,110.15,dans
110.15,110.25,le
110.25,110.86,ciel
110.86,111.73,.
111.73,111.73,-
111.73,111.93,des
111.93,112.48,mouches
112.48,113.3,?
113.3,113.3,-
113.3,113.59,mais
113.65,113.95,non
113.95,113.95,","
113.95,114.12,des
114.12,114.37,petites
114.37,114.66,choses
114.66,114.82,qui
114.82,115.28,brillent
115.28,116.2,.
116.2,116.2,-
116.2,116.35,des
116.44,116.85,abeilles
116.85,117.48,?
117.48,117.48,-
117.48,117.71,mais
117.76,118.03,non
118.03,118.15,.
118.15,118.38,des
118.38,118.62,petites
118.62,118.93,choses
118.93,119.3,dorées
119.3,119.44,qui
119.44,119.66,font
119.66,120.09,rêvasser
120.09,120.19,les
120.19,120.71,fainéants
120.71,121.08,.
121.08,121.24,mais
121.24,121.34,je
121.34,121.55,suis
121.55,122.0,sérieux
122.0,122.0,","
122.0,122.27,moi
122.27,122.6,!
122.6,122.73,je
122.73,122.81,n'
122.81,122.95,ai
122.95,123.11,pas
123.11,123.25,le
123.25,123.45,temps
123.45,123.55,de
123.55,124.12,rêvasser
124.12,125.07,.
125.07,125.07,-
125.07,125.83,ah
125.83,125.83,!
125.83,126.14,des
126.14,126.65,étoiles
126.65,127.21,?
127.21,127.21,-
127.21,127.33,c'
127.33,127.42,est
127.42,127.6,bien
127.6,127.93,ça
127.93,128.06,.
128.06,128.28,des
128.28,128.76,étoiles
128.76,128.76,.
128.76,128.76,-
128.76,128.79,et
129.1,129.12,que
129.72,130.27,fais
130.27,130.27,-
130.27,130.43,tu
130.43,130.51,de
130.51,130.84,cinq
130.84,130.97,cents
130.97,131.33,millions
131.33,131.39,d'
131.39,131.94,étoiles
131.94,133.09,?
133.09,133.09,-
133.09,133.51,cinq
133.51,133.74,cent
133.74,133.8,un
133.95,134.42,millions
134.42,134.8,six
134.8,134.93,cent
134.93,135.2,vingt
135.2,135.2,-
135.2,135.33,deux
135.33,135.72,mille
135.72,136.0,sept
136.0,136.22,cent
136.22,136.53,trente
136.53,136.68,et
136.68,136.86,un
136.86,137.26,.
137.26,137.43,je
137.43,137.62,suis
137.62,138.03,sérieux
138.03,138.03,","
138.03,138.32,moi
138.32,138.6,","
138.6,138.76,je
138.76,139.01,suis
139.01,139.51,précis
139.51,140.46,.
140.46,140.46,-
140.46,140.53,et
140.53,140.68,que
140.68,140.82,fais
140.82,140.82,-
140.82,140.98,tu
140.98,141.04,de
141.04,141.42,ces
141.42,141.94,étoiles
141.94,142.59,?
142.59,142.59,-
142.59,142.76,ce
142.81,142.87,que
142.87,142.9,j'
142.9,143.08,en
143.08,143.37,fais
143.37,144.3,?
144.3,144.3,-
144.3,144.52,oui
144.52,145.44,.
145.44,145.44,-
145.44,145.86,rien
145.86,146.12,.
146.12,146.14,je
146.14,146.5,les
146.5,147.09,possède
147.09,148.1,.
148.1,148.1,-
148.1,148.26,tu
148.26,148.75,possèdes
148.75,149.0,les
149.0,149.45,étoiles
149.45,150.45,?
150.45,150.45,-
150.45,150.74,oui
150.74,151.84,.
151.84,151.84,-
151.84,152.31,mais
152.31,152.34,j'
152.34,152.37,ai
152.37,152.59,déjà
152.59,152.65,vu
152.65,152.86,un
152.86,153.11,roi
153.11,153.54,qui
153.54,153.86,...
153.86,153.86,-
153.86,153.99,les
153.99,154.25,rois
154.25,154.39,ne
154.39,154.72,possèdent
154.76,154.99,pas
154.99,155.41,.
155.41,155.6,ils
155.6,155.6,""""
155.6,156.14,règnent
156.14,156.14,""""
156.14,156.68,sur
156.68,156.97,.
156.97,157.12,c'
157.12,157.25,est
157.25,157.5,très
157.5,158.04,différent
158.04,159.26,.
159.26,159.26,-
159.26,159.34,et
159.34,159.45,à
159.45,159.63,quoi
159.63,159.87,cela
159.87,159.9,te
159.9,160.39,sert
160.39,160.39,-
160.39,160.56,il
160.56,160.71,de
160.71,161.1,posséder
161.1,161.29,les
161.29,161.79,étoiles
161.79,162.79,?
162.79,162.79,-
162.79,163.04,ça
163.04,163.09,me
163.09,163.54,sert
163.54,163.64,à
163.64,163.93,être
163.93,164.37,riche
164.37,165.61,.
165.61,165.61,-
165.61,165.68,et
165.68,165.79,à
165.79,166.23,quoi
166.32,166.58,cela
166.58,166.67,te
166.67,166.83,sert
166.83,166.83,-
166.83,166.92,il
166.92,166.96,d'
166.96,167.2,être
167.2,167.66,riche
167.66,168.71,?
168.71,168.71,-
168.71,168.81,à
168.96,169.42,acheter
169.42,169.5,d'
169.5,169.84,autres
169.84,170.39,étoiles
170.39,170.39,","
170.39,170.58,si
170.58,170.85,quelqu'
170.85,170.9,un
170.9,171.03,en
171.03,171.54,trouve
171.54,172.1,.
172.1,172.66,""""
172.66,172.66,""""
172.66,173.09,celui
173.09,173.09,-
173.09,173.28,là
173.28,173.47,","
173.47,173.64,se
173.64,173.88,dit
173.88,173.95,en
173.95,174.14,lui
174.14,174.14,-
174.14,174.4,même
174.4,174.51,le
174.51,174.81,petit
174.81,175.36,prince
175.36,175.81,","
175.81,175.98,il
175.98,176.41,raisonne
176.41,176.52,un
176.56,176.73,peu
176.73,176.89,comme
176.94,177.11,mon
177.11,177.65,ivrogne
177.65,178.64,.
178.64,178.64,""""
178.64,179.33,cependant
179.45,179.61,il
179.61,180.01,posa
180.01,180.57,encore
180.57,180.69,des
180.69,181.2,questions
181.2,182.11,:
182.11,182.11,""""
182.11,182.51,comment
182.51,182.74,peut
182.74,182.74,-
182.74,182.93,on
182.93,183.39,posséder
183.39,183.58,les
183.58,184.17,étoiles
184.17,185.11,?
185.11,185.11,-
185.11,185.26,à
