onsets,offsets,word
3.59,3.1,""""
3.1,3.59,bonjour
3.59,4.2,","
4.2,4.3,dit
4.39,4.41,le
4.47,4.73,petit
4.73,5.23,prince
5.23,5.95,.
5.95,5.95,-
5.95,6.32,bonjour
6.32,6.81,""""
6.81,6.81,","
6.81,7.06,dit
7.06,7.18,le
7.18,7.63,marchand
7.63,8.58,.
8.58,8.64,c'
8.64,8.91,était
8.91,9.02,un
9.02,9.47,marchand
9.47,9.64,de
9.64,10.11,pilules
10.11,11.0,perfectionnées
11.25,11.4,qui
11.4,11.92,apaisent
11.92,12.05,la
12.05,12.59,soif
12.59,13.26,.
13.26,13.38,on
13.38,13.53,en
13.53,13.89,avale
13.99,14.24,une
14.24,14.41,par
14.41,14.95,semaine
15.09,15.17,et
15.17,15.22,l'
15.22,15.33,on
15.33,15.38,n'
15.38,15.79,éprouve
15.87,16.09,plus
16.09,16.23,le
16.23,16.58,besoin
16.58,16.7,de
16.7,17.19,boire
17.19,18.09,.
18.09,18.09,""""
18.09,18.43,pourquoi
18.43,18.54,vends
18.54,18.54,-
18.54,18.75,tu
18.75,19.02,ça
19.02,19.42,?
19.42,19.63,dit
19.63,19.68,le
19.68,19.99,petit
19.99,20.51,prince
20.51,21.16,.
21.16,21.16,-
21.16,21.22,c'
21.22,21.35,est
21.35,21.48,une
21.48,21.78,grosse
21.78,22.24,économie
22.24,22.38,de
22.38,22.67,temps
22.67,23.02,","
23.02,23.23,dit
23.23,23.31,le
23.31,23.76,marchand
23.76,24.24,.
24.24,24.39,les
24.39,24.91,experts
24.91,25.02,ont
25.02,25.16,fait
25.16,25.26,des
25.26,25.86,calculs
25.86,26.42,.
26.42,26.63,on
26.63,27.15,épargne
27.15,27.69,cinquante
27.69,27.69,-
27.69,27.9,trois
27.9,28.31,minutes
28.31,28.5,par
28.5,29.09,semaine
29.09,30.05,.
30.05,30.05,-
30.05,30.13,et
30.13,30.37,que
30.37,30.69,fait
30.69,30.69,-
30.69,30.83,on
30.83,30.97,de
30.97,31.13,ces
31.13,31.62,cinquante
31.62,31.62,-
31.62,31.8,trois
31.8,32.41,minutes
32.41,33.29,?
33.29,33.29,-
33.29,33.440913,on
33.485152,33.6,en
33.6,33.83,fait
33.83,33.95,ce
33.95,34.08,que
34.08,34.14,l'
34.14,34.29,on
34.29,34.52,veut
34.52,35.11,...
35.11,35.7,""""
35.7,35.7,""""
35.7,36.05,moi
36.05,36.32,","
36.32,36.49,se
36.49,36.74,dit
36.74,36.78,le
36.78,37.04,petit
37.04,37.54,prince
37.54,37.9,","
37.9,38.12,si
38.12,38.21,j'
38.21,38.45,avais
38.45,38.99,cinquante
38.99,38.99,-
38.99,39.22,trois
39.22,39.56,minutes
39.56,39.62,à
39.62,40.25,dépenser
40.25,40.62,","
40.62,40.79,je
40.79,41.32,marcherais
41.56,41.8,tout
41.8,42.37,doucement
42.37,42.55,vers
42.55,42.65,une
42.65,43.31,fontaine
43.31,46.631221,...
46.631221,46.631221,""""
46.631221,46.76,nous
46.82,46.89,en
46.89,47.312694,étions
47.312694,47.46,au
47.56,48.03,huitième
48.03,48.31,jour
48.31,48.44,de
48.44,48.59,ma
48.59,48.93,panne
48.93,49.06,dans
49.06,49.2,le
49.2,49.81,désert
49.81,50.06,","
50.06,50.11,et
50.11,50.22,j'
50.22,50.52,avais
50.52,50.92,écouté
50.92,50.97,l'
50.97,51.35,histoire
51.35,51.46,du
51.46,52.17,marchand
52.17,52.19,en
52.19,52.53,buvant
52.53,52.7,la
52.76,53.22,dernière
53.22,53.53,goutte
53.58,53.67,de
53.67,53.8,ma
53.8,54.38,provision
54.38,54.49,d'
54.49,54.66,eau
54.66,55.41,:
55.41,55.41,""""
55.41,55.95,ah
55.95,56.2,!
56.2,56.43,dis
56.43,56.43,-
56.43,56.53,je
56.53,56.58,au
56.58,56.86,petit
56.86,57.43,prince
57.43,57.85,","
57.85,58.03,ils
58.03,58.18,sont
58.18,58.49,bien
58.49,58.82,jolis
58.82,58.82,","
58.82,58.96,tes
58.96,59.57,souvenirs
59.57,59.82,","
59.82,59.94,mais
59.94,60.06,je
60.06,60.16,n'
60.16,60.27,ai
60.27,60.48,pas
60.48,60.88,encore
60.88,61.21,réparé
61.21,61.4,mon
61.4,61.72,avion
61.72,61.92,","
61.92,62.08,je
62.08,62.12,n'
62.12,62.27,ai
62.27,62.45,plus
62.45,62.88,rien
62.88,62.95,à
62.95,63.31,boire
63.31,63.78,","
63.78,63.83,et
63.83,63.97,je
63.97,64.43,serais
64.43,64.78,heureux
64.78,64.91,","
64.91,65.1,moi
65.1,65.52,aussi
65.52,65.83,","
65.83,66.01,si
66.01,66.19,je
66.19,66.44,pouvais
66.44,66.85,marcher
66.85,66.97,tout
66.97,67.37,doucement
67.37,67.55,vers
67.55,67.65,une
67.65,68.21,fontaine
68.21,69.31,!
69.31,69.31,-
69.31,69.53,mon
69.53,69.8,ami
69.8,69.93,le
69.93,70.49,renard
70.49,70.74,","
70.74,70.89,me
70.89,71.16,dit
71.16,71.16,-
71.16,71.48,il
71.48,72.14,...
72.14,72.14,-
72.14,72.31,mon
72.31,72.63,petit
72.63,73.15,bonhomme
73.15,73.34,","
73.34,73.49,il
73.49,73.58,ne
73.58,73.73,s'
73.73,74.05,agit
74.05,74.36,plus
74.36,74.49,du
74.49,75.07,renard
75.07,75.89,!
75.89,75.89,-
75.89,76.36,pourquoi
76.36,77.07,?
77.07,77.07,-
77.07,77.33,parce
77.33,77.36,qu'
77.4,77.45,on
77.45,77.61,va
77.67,78.0,mourir
78.0,78.13,de
78.13,78.57,soif
78.57,79.817415,...
79.817415,79.817415,""""
79.817415,79.958853,ll
79.958853,80.05,ne
80.05,80.42,comprit
80.42,80.56,pas
80.56,80.74,mon
80.74,81.3,raisonnement
81.3,81.5,","
81.5,81.69,il
81.69,81.79,me
81.79,82.43,répondit
82.43,83.12,:
83.12,83.12,""""
83.12,83.26,c'
83.26,83.34,est
83.34,83.63,bien
83.63,83.68,d'
83.68,84.0,avoir
84.0,84.05,eu
84.05,84.21,un
84.21,84.52,ami
84.52,84.82,","
84.82,85.05,même
85.05,85.25,si
85.25,85.29,l'
85.29,85.39,on
85.39,85.53,va
85.53,86.02,mourir
86.02,86.68,.
86.68,86.92,moi
86.92,87.13,","
87.13,87.27,je
87.27,87.55,suis
87.55,87.8,bien
87.8,88.2,content
88.2,88.26,d'
88.26,88.6,avoir
88.6,88.69,eu
88.69,88.82,un
88.82,89.05,ami
89.05,89.54,renard
89.54,90.11000000000001,...
90.11000000000001,90.68,""""
90.68,90.68,""""
90.68,90.88,il
90.88,90.91,ne
90.97,91.27,mesure
91.27,91.44,pas
91.44,91.56,le
91.56,92.04,danger
92.04,92.21,","
92.21,92.39,me
92.39,92.63,dis
92.63,92.63,-
92.63,92.84,je
92.84,93.29,.
93.29,93.48,il
93.48,93.56,n'
93.56,93.64,a
93.64,94.07,jamais
94.07,94.29,ni
94.29,94.59,faim
94.59,94.79,ni
94.79,95.34,soif
95.34,95.86,.
95.86,96.08,un
96.08,96.24,peu
96.24,96.36,de
96.36,96.8,soleil
96.8,96.96,lui
96.96,97.43,suffit
97.43,98.35,...
98.35,98.35,""""
98.35,98.67,mais
98.67,98.74,il
98.74,98.84,me
98.84,99.41,regarda
99.64,99.69,et
99.69,100.24,répondit
100.24,100.31,à
100.31,100.44,ma
100.44,100.99,pensée
