word,onsets,offsets
mais,3.12,3.24
il,3.3,3.38
arriva,3.44,3.85
que,3.91,3.93
le,4.11,4.17
petit,4.17,4.51
prince,4.51,5.1
ayant,5.26,5.63
longtemps,5.63,6.27
marché,6.27,6.69
à,6.69,6.77
travers,6.77,7.11
les,7.11,7.25
sables,7.25,7.79
les,8.05,8.23
rocs,8.23,8.67
et,8.8,8.89
les,8.89,9.01
neiges,9.01,9.53
découvrit,9.92,10.58
enfin,10.58,11.13
une,11.13,11.4
route,11.4,11.94
Et,12.43,12.5
les,12.5,12.63
routes,12.63,13.15
vont,13.15,13.38
toutes,13.54,13.95
chez,14.02,14.22
les,14.22,14.47
hommes,14.47,14.76
Bonjour,15.81,16.39
dit,16.62,16.88
il,16.88,17.27
C',17.78,17.93
était,17.93,18.17
un,18.17,18.3
jardin,18.3,18.86
fleuri,18.86,19.46
de,19.46,19.61
roses,19.61,20.11
Bonjour,21.04,22.07
dirent,22.26,22.47
les,22.47,22.6
roses,22.6,23.11
Le,23.88,24.07
petit,24.07,24.43
prince,24.43,24.91
les,24.91,25.07
regarda,25.07,25.64
Elles,26.23,26.36
ressemblaient,26.36,27.01
toutes,27.15,27.5
à,27.56,27.68
sa,27.68,27.87
fleur,27.87,28.41
Qui,29.41,29.73
êtes,29.73,29.85
vous,29.85,30.17
leur,30.57,30.81
demanda,30.81,31.19
t,31.19,31.43
il,31.43,31.62
stupéfait,31.79,32.59
Nous,33.32,33.52
sommes,33.52,33.8
des,33.8,33.99
roses,33.99,34.68
dirent,35.26,35.5
les,35.5,35.63
roses,35.63,36.1
Ah,37.04,37.17
fit,37.87,38.07
le,38.07,38.17
petit,38.17,38.47
prince,38.47,39.07
Et,39.81,39.93
il,39.93,40.0
se,40.0,40.36
sentit,40.36,40.82
très,40.82,41.27
malheureux,41.27,41.87
Sa,42.55,42.81
fleur,42.81,43.16
lui,43.16,43.36
avait,43.36,43.56
raconté,43.56,44.08
qu',44.08,44.18
elle,44.18,44.27
était,44.27,44.52
seule,44.52,44.93
de,44.93,44.99
son,44.99,45.26
espèce,45.26,45.68
dans,45.68,45.83
l',45.83,45.87
univers,45.87,46.49
Et,47.03,47.17
voici,47.17,47.71
qu',47.71,47.81
il,47.81,47.92
en,47.92,48.08
était,48.08,48.38
cinq,48.38,48.72
mille,48.72,49.14
toutes,49.42,49.67
semblables,49.67,50.38
dans,50.67,51.08
un,51.08,51.25
seul,51.25,51.68
jardin,51.68,52.21
Elle,53.38,53.71
serait,53.71,53.89
bien,53.89,54.13
vexée,54.13,54.64
se,54.82,55.01
dit,55.01,55.27
il,55.27,55.54
si,56.03,56.24
elle,56.24,56.4
voyait,56.4,56.7
ça,56.7,56.99
elle,57.6,57.8
tousserait,57.8,58.45
énormément,58.45,59.1
et,59.1,59.17
ferait,59.17,59.48
semblant,59.48,59.92
de,59.92,60.06
mourir,60.06,60.71
pour,60.71,60.93
échapper,60.93,61.46
au,61.46,61.5
ridicule,61.5,62.24
Et,62.75,62.77
je,62.77,62.92
serais,62.92,63.25
bien,63.25,63.5
obligé,63.5,63.85
de,63.85,63.92
faire,63.92,64.15
semblant,64.15,64.63
de,64.63,64.73
la,64.73,64.86
soigner,64.86,65.44
car,65.73,66.1
sinon,66.23,66.71
pour,67.12,67.27
m',67.27,67.38
humilier,67.38,67.86
moi,67.86,68.14
aussi,68.14,68.56
elle,69.01,69.17
se,69.17,69.3
laisserait,69.3,69.67
vraiment,69.67,70.23
mourir,70.23,70.79
Puis,71.7,72.03
il,72.03,72.06
se,72.06,72.22
dit,72.22,72.47
encore,72.47,73.03
Je,73.67,73.9
me,73.9,74.03
croyais,74.03,74.48
riche,74.48,74.8
d',74.8,74.85
une,74.85,75.05
fleur,75.05,75.43
unique,75.5,76.1
et,76.25,76.34
je,76.34,76.46
ne,76.46,76.63
possède,76.63,77.01
qu',77.01,77.18
une,77.18,77.38
rose,77.38,77.71
ordinaire,77.71,78.38
Ça,79.05,79.42
et,79.56,79.61
mes,79.61,79.76
trois,79.76,80.06
volcans,80.06,80.47
qui,80.47,80.6
m',80.6,80.67
arrivent,80.67,81.02
au,81.02,81.09
genou,81.09,81.46
et,81.7,81.77
dont,81.77,81.96
l',81.96,82.06
un,82.06,82.19
peut,82.27,82.5
être,82.5,82.84
est,82.94,83.15
éteint,83.15,83.45
pour,83.45,83.63
toujours,83.63,84.15
ça,84.61,84.73
ne,84.73,84.86
fait,84.86,85.01
pas,85.01,85.15
de,85.15,85.29
moi,85.29,85.46
un,85.46,85.58
bien,85.58,85.82
grand,85.82,86.03
prince,86.03,86.57
et,87.47,87.61
couché,88.03,88.31
dans,88.31,88.46
l',88.46,88.52
herbe,88.52,88.89
il,89.22,89.41
pleura,89.41,89.83
c',93.32,93.41
est,93.48,93.57
alors,93.65,94.08
qu',94.08,94.17
apparut,94.17,94.62
le,94.62,94.77
renard,94.77,95.48
Bonjour,96.56,97.56
dit,97.84,98.04
le,98.04,98.14
renard,98.14,98.73
Bonjour,99.41,100.09
répondit,100.45,100.94
poliment,100.94,101.35
le,101.35,101.44
petit,101.44,101.73
prince,101.73,102.28
qui,102.47,102.6
se,102.6,102.76
retourna,102.76,103.36
mais,103.49,103.66
ne,103.66,103.85
vit,103.85,104.0
rien,104.0,104.28
Je,105.41,105.56
suis,105.56,106.0
là,106.0,106.48
dit,106.87,107.1
la,107.1,107.26
voix,107.26,107.51
sous,107.8,108.05
le,108.05,108.23
pommier,108.23,108.74
Qui,109.53,109.75
es,109.75,109.84
Tu,109.84,110.22
dit,110.5,110.74
le,110.74,110.79
petit,110.79,111.07
prince,111.07,111.61
Tu,111.96,112.09
es,112.09,112.2
bien,112.2,112.43
joli,112.43,112.85
Je,113.88,114.02
suis,114.02,114.41
un,114.41,114.52
renard,114.52,115.24
dit,115.61,115.81
le,115.81,115.91
renard,115.91,116.47
Viens,117.31,117.61
jouer,117.61,117.85
avec,117.85,118.11
moi,118.11,118.3
lui,118.66,118.86
proposa,118.86,119.35
le,119.35,119.44
petit,119.44,119.73
prince,119.73,120.28
Je,120.64,120.76
suis,120.76,121.01
tellement,121.01,121.52
triste,121.52,122.14
Je,123.2,123.5
ne,123.5,123.53
puis,123.53,123.73
pas,123.73,123.9
jouer,123.9,124.23
avec,124.23,124.46
toi,124.46,124.72
dit,125.14,125.28
le,125.28,125.38
renard,125.38,125.88
Je,126.3,126.48
ne,126.48,126.6
suis,126.6,126.79
pas,126.79,127.0
apprivoisé,127.0,127.69
Ah,128.9,129.2
pardon,129.35,129.81
fit,130.29,130.49
le,130.49,130.52
petit,130.52,130.83
prince,130.83,131.36
Mais,131.99,132.35
après,132.52,132.9
réflexion,132.9,133.6
il,133.82,134.0
ajouta,134.0,134.51
Qu',135.18,135.26
est,135.26,135.39
ce,135.39,135.42
que,135.42,135.5
signifie,135.5,136.17
apprivoiser,136.17,136.91
Tu,138.05,138.21
n',138.21,138.26
es,138.26,138.35
pas,138.35,138.46
d',138.46,138.5
ici,138.5,138.97
dit,139.26,139.46
le,139.46,139.58
renard,139.58,140.1
que,140.48,140.59
cherches,140.59,141.04
tu,141.04,141.31
Je,142.22,142.35
cherche,142.35,142.78
les,142.83,142.88
hommes,142.95,143.35
dit,143.72,143.94
le,143.94,144.01
petit,144.01,144.3
prince,144.3,144.85
Qu',145.45,145.51
est,145.51,145.58
ce,145.58,145.67
que,145.67,145.75
signifie,145.75,146.46
apprivoiser,146.58,147.42
Les,148.59,148.81
hommes,148.81,149.26
dit,149.55,149.7
le,149.7,149.81
renard,149.81,150.33
ils,150.7,150.94
ont,150.94,151.02
des,151.02,151.16
fusils,151.16,151.62
et,151.62,151.8
ils,151.8,151.87
chassent,151.87,152.41
C',152.73,152.88
est,152.88,152.99
bien,152.99,153.28
gênant,153.28,153.74
Ils,154.35,154.45
élèvent,154.45,154.87
aussi,154.87,155.12
des,155.12,155.3
