word,onsets,offsets
bonjour,3.1,3.59
dit,4.2,4.3
le,4.39,4.41
petit,4.47,4.73
prince,4.73,5.23
bonjour,5.95,6.32
dit,6.81,7.06
le,7.06,7.18
marchand,7.18,7.63
c',8.58,8.64
était,8.64,8.91
un,8.91,9.02
marchand,9.02,9.47
de,9.47,9.64
pilules,9.64,10.11
perfectionnées,10.11,11.0
qui,11.25,11.4
apaisent,11.4,11.92
la,11.92,12.05
soif,12.05,12.59
on,13.26,13.38
en,13.38,13.53
avale,13.53,13.89
une,13.99,14.24
par,14.24,14.41
semaine,14.41,14.95
et,15.09,15.17
l',15.17,15.22
on,15.22,15.33
n',15.33,15.38
éprouve,15.38,15.79
plus,15.87,16.09
le,16.09,16.23
besoin,16.23,16.58
de,16.58,16.7
boire,16.7,17.19
pourquoi,18.09,18.43
vends,18.43,18.54
tu,18.54,18.75
ça,18.75,19.02
dit,19.42,19.63
le,19.63,19.68
petit,19.68,19.99
prince,19.99,20.51
c',21.16,21.22
est,21.22,21.35
une,21.35,21.48
grosse,21.48,21.78
économie,21.78,22.24
de,22.24,22.38
temps,22.38,22.67
dit,23.02,23.23
le,23.23,23.31
marchand,23.31,23.76
les,24.24,24.39
experts,24.39,24.91
ont,24.91,25.02
fait,25.02,25.16
des,25.16,25.26
calculs,25.26,25.86
on,26.42,26.63
épargne,26.63,27.15
cinquante,27.15,27.69
trois,27.69,27.9
minutes,27.9,28.31
par,28.31,28.5
semaine,28.5,29.09
et,30.05,30.13
que,30.13,30.37
fait,30.37,30.69
on,30.69,30.83
de,30.83,30.97
ces,30.97,31.13
cinquante,31.13,31.62
trois,31.62,31.8
minutes,31.8,32.41
on,33.29,33.440913
en,33.485152,33.6
fait,33.6,33.83
ce,33.83,33.95
que,33.95,34.08
l',34.08,34.14
on,34.14,34.29
veut,34.29,34.52
moi,35.7,36.05
se,36.32,36.49
dit,36.49,36.74
le,36.74,36.78
petit,36.78,37.04
prince,37.04,37.54
si,37.9,38.12
j',38.12,38.21
avais,38.21,38.45
cinquante,38.45,38.99
trois,38.99,39.22
minutes,39.22,39.56
à,39.56,39.62
dépenser,39.62,40.25
je,40.62,40.79
marcherais,40.79,41.32
tout,41.56,41.8
doucement,41.8,42.37
vers,42.37,42.55
une,42.55,42.65
fontaine,42.65,43.31
nous,46.631221000000004,46.76
en,46.82,46.89
étions,46.89,47.312694
au,47.312694,47.46
huitième,47.56,48.03
jour,48.03,48.31
de,48.31,48.44
ma,48.44,48.59
panne,48.59,48.93
dans,48.93,49.06
le,49.06,49.2
désert,49.2,49.81
et,50.06,50.11
j',50.11,50.22
avais,50.22,50.52
écouté,50.52,50.92
l',50.92,50.97
histoire,50.97,51.35
du,51.35,51.46
marchand,51.46,52.17
en,52.17,52.19
buvant,52.19,52.53
la,52.53,52.7
dernière,52.76,53.22
goutte,53.22,53.53
de,53.58,53.67
ma,53.67,53.8
provision,53.8,54.38
d',54.38,54.49
eau,54.49,54.66
ah,55.41,55.95
dis,56.2,56.43
je,56.43,56.53
au,56.53,56.58
petit,56.58,56.86
prince,56.86,57.43
ils,57.85,58.03
sont,58.03,58.18
bien,58.18,58.49
jolis,58.49,58.82
tes,58.82,58.96
souvenirs,58.96,59.57
mais,59.82,59.94
je,59.94,60.06
n',60.06,60.16
ai,60.16,60.27
pas,60.27,60.48
encore,60.48,60.88
réparé,60.88,61.21
mon,61.21,61.4
avion,61.4,61.72
je,61.92,62.08
n',62.08,62.12
ai,62.12,62.27
plus,62.27,62.45
rien,62.45,62.88
à,62.88,62.95
boire,62.95,63.31
et,63.78,63.83
je,63.83,63.97
serais,63.97,64.43
heureux,64.43,64.78
moi,64.91,65.1
aussi,65.1,65.52
si,65.83,66.01
je,66.01,66.19
pouvais,66.19,66.44
marcher,66.44,66.85
tout,66.85,66.97
doucement,66.97,67.37
vers,67.37,67.55
une,67.55,67.65
fontaine,67.65,68.21
mon,69.31,69.53
ami,69.53,69.8
le,69.8,69.93
renard,69.93,70.49
me,70.74,70.89
dit,70.89,71.16
il,71.16,71.48
mon,72.14,72.31
petit,72.31,72.63
bonhomme,72.63,73.15
il,73.34,73.49
ne,73.49,73.58
s',73.58,73.73
agit,73.73,74.05
plus,74.05,74.36
du,74.36,74.49
renard,74.49,75.07
pourquoi,75.89,76.36
parce,77.07,77.33
qu',77.33,77.36
on,77.4,77.45
va,77.45,77.61
mourir,77.67,78.0
de,78.0,78.13
soif,78.13,78.57
ll,79.817415,79.958853
ne,79.958853,80.05
comprit,80.05,80.42
pas,80.42,80.56
mon,80.56,80.74
raisonnement,80.74,81.3
il,81.5,81.69
me,81.69,81.79
répondit,81.79,82.43
c',83.12,83.26
est,83.26,83.34
bien,83.34,83.63
d',83.63,83.68
avoir,83.68,84.0
eu,84.0,84.05
