onsets,offsets,word
3.11,3.14,j'
3.22,3.43,avais
3.52,3.91,ainsi
4.02,4.44,appris
4.48,4.75,une
4.75,5.39,seconde
5.39,5.83,chose
5.83,6.32,très
6.32,7.05,importante
7.05,7.55,:
7.55,7.66,c'
7.66,7.73,est
7.73,7.83,que
7.83,8.1,sa
8.1,8.55,planète
8.55,8.6,d'
8.6,9.08,origine
9.2,9.59,était
9.59,9.74,à
9.86,10.17,peine
10.17,10.34,plus
10.34,10.81,grande
10.85,10.93,qu'
10.93,11.12,une
11.12,11.56,maison
11.56,12.27,!
12.27,12.46,ça
12.46,12.58,ne
12.58,12.88,pouvait
12.88,13.03,pas
13.03,13.08,m'
13.08,13.42,étonner
13.42,13.86,beaucoup
13.86,14.5,.
14.5,14.63,je
14.63,14.98,savais
14.98,15.28,bien
15.28,15.35,qu'
15.35,15.43,en
15.43,15.71,dehors
15.71,15.82,des
15.82,16.13,grosses
16.13,16.58,planètes
16.58,16.79,comme
16.79,16.92,la
16.92,17.42,terre
17.42,17.51,","
17.51,18.33,jupiter
18.33,18.4,","
18.4,18.98,mars
18.98,19.1,","
19.1,19.7,vénus
19.7,19.96,","
19.96,20.29,auxquelles
20.29,20.43,on
20.43,20.52,a
20.52,20.78,donné
20.78,20.92,des
20.92,21.19,noms
21.19,21.63,","
21.63,21.76,il
21.76,21.9,y
21.9,22.02,en
22.02,22.13,a
22.13,22.25,des
22.25,22.82,centaines
22.82,22.89,d'
22.89,23.18,autres
23.18,23.35,qui
23.35,23.53,sont
23.53,24.11,quelquefois
24.11,24.36,si
24.49,25.03,petites
25.37,25.45,qu'
25.45,25.58,on
25.58,25.68,a
25.68,26.15,beaucoup
26.15,26.27,de
26.27,26.62,mal
26.62,26.75,à
26.75,26.97,les
26.97,27.64,apercevoir
27.64,27.71,au
27.71,28.41,télescope
28.41,29.45,.
29.45,29.76,quand
29.83,29.89,un
29.89,30.56,astronome
30.56,31.13,découvre
31.13,31.21,l'
31.21,31.39,une
31.39,31.45,d'
31.45,31.81,elles
31.81,32.06,","
32.06,32.27,il
32.27,32.43,lui
32.43,32.73,donne
32.73,32.96,pour
32.96,33.29,nom
33.29,33.45,un
33.45,34.04,numéro
34.04,34.77,.
34.77,35.0,il
35.0,35.02,l'
35.02,35.37,appelle
35.37,35.53,par
35.53,36.14,exemple
36.14,36.45,:
36.45,36.45,""""
36.45,36.6,l'
36.6,37.41,astéroïde
37.41,39.095174,325
39.095174,40.18323400000001,""""
40.18323400000001,40.18323400000001,.
40.18323400000001,40.3,j'
40.3,40.340668,ai
40.340668,40.44,de
40.44,41.05,sérieuses
41.05,41.4,raisons
41.4,41.52,de
41.52,41.91,croire
41.91,42.01,que
42.01,42.17,la
42.17,42.66,planète
42.66,42.74,d'
42.74,42.85,où
42.85,43.14,venait
43.14,43.26,le
43.26,43.6,petit
43.6,44.09,prince
44.44,44.61,est
44.61,44.68,l'
44.68,45.54,astéroïde
45.58,45.94,b
46.04,46.94,612
46.94,47.9,.
47.9,48.13,cet
48.13,48.86,astéroïde
48.86,49.01,n'
49.01,49.05,a
49.11,49.34,été
49.34,49.96,aperçu
50.02,50.12,qu'
50.12,50.3,une
50.3,50.54,fois
50.54,50.63,au
50.63,51.39,télescope
51.39,51.59,","
51.59,51.71,en
51.71,52.73,1909
52.73,52.97,","
52.97,53.16,par
53.16,53.29,un
53.29,53.96,astronome
53.96,54.57,turc
54.57,55.36,.
55.36,55.51,il
55.51,55.76,avait
55.76,55.98,fait
55.98,56.36,alors
56.36,56.52,une
56.52,57.13,grande
57.13,57.89,démonstration
57.89,58.0,de
58.0,58.18,sa
58.18,58.9,découverte
58.9,58.93,à
58.93,59.23,un
59.28,59.85,congrès
59.85,60.73,international
60.73,60.83,d'
60.83,61.49,astronomie
61.49,62.16,.
62.16,62.41,mais
