word,onsets,offsets
lorsque,3.05,3.42
j',3.42,3.44
avais,3.53,3.76
six,3.93,4.18
ans,4.18,4.36
j',4.4,4.54
ai,4.54,4.774013
vu,4.859433,5.149862000000001
une,5.149862000000001,5.5
fois,5.5,5.83
une,6.14,6.6
magnifique,6.6,7.21
image,7.21,7.71
dans,7.86,8.18
un,8.18,8.38
livre,8.38,8.65
sur,8.65,8.85
la,8.85,8.95
forêt,8.95,9.33
vierge,9.33,9.81
qui,9.81,9.99
s',9.99,10.12
appelait,10.12,10.56
histoires,10.81,11.35
vécues,11.35,11.79
ça,12.64,12.95
représentait,12.95,13.54
un,13.54,13.67
serpent,13.67,14.16
boa,14.16,14.54
qui,14.77,14.95
avalait,14.95,15.41
un,15.41,15.55
fauve,15.55,16.13
voilà,16.72,17.13
la,17.13,17.26
copie,17.26,17.65
du,17.65,17.8
dessin,17.8,18.2
on,19.47,19.53
disait,19.53,19.94
dans,19.94,20.11
le,20.11,20.26
livre,20.26,20.77
les,20.98,21.17
serpents,21.17,21.65
boas,21.65,22.08
avalent,22.14,22.69
leur,22.69,22.88
proie,22.88,23.24
tout,23.4,23.65
entière,23.65,24.31
sans,24.31,24.66
la,24.66,24.79
mâcher,24.79,25.28
ensuite,25.81,26.33
ils,26.33,26.43
ne,26.43,26.57
peuvent,26.57,26.8
plus,26.8,27.06
bouger,27.06,27.524240000000002
et,27.704903,27.876058
ils,27.876058,28.02
dorment,28.02,28.44
pendant,28.44,28.77
les,28.77,28.91
six,28.91,29.23
mois,29.23,29.51
de,29.51,29.61
leur,29.61,29.78
digestion,29.78,30.38
j',32.195161,32.340959999999995
ai,32.340959999999995,32.442384999999994
alors,32.442384999999994,32.8
beaucoup,32.8,33.41
réfléchi,33.41,34.08
sur,34.08,34.25
les,34.25,34.47
aventures,34.47,34.97
de,34.97,35.09
la,35.09,35.23
jungle,35.23,35.71
et,36.23,36.4
à,36.6,36.73
mon,36.73,36.93
tour,36.93,37.27
j',37.48,37.62
ai,37.62,37.74
réussi,37.74,38.31
avec,38.52,38.84
un,38.84,38.94
crayon,38.94,39.31
de,39.31,39.44
couleur,39.44,40.03
à,40.47,40.6
tracer,40.6,41.13
mon,41.13,41.32
premier,41.36,41.85
dessin,41.85,42.2
mon,42.79,43.01
dessin,43.01,43.43
numéro,43.43,43.92
1,44.02,44.19
il,44.92,45.08
était,45.08,45.4
comme,45.4,45.69
ça,45.69,45.95
j',47.49,47.58
ai,47.58,47.73
montré,47.73,48.1
mon,48.1,48.21
chef,48.21,48.51
d',48.51,48.59
oeuvre,48.59,48.91
aux,48.91,49.03
grandes,49.03,49.33
personnes,49.37,50.0
et,50.33,50.35
je,50.35,50.5
leur,50.5,50.76
ai,50.76,50.83
demandé,50.83,51.26
si,51.26,51.43
mon,51.43,51.57
dessin,51.57,51.96
leur,51.96,52.12
faisait,52.12,52.48
peur,52.48,52.92
elles,54.32,54.51
m',54.51,54.56
ont,54.67,54.69
répondu,54.69,55.32
pourquoi,55.81,56.3
un,56.3,56.43
chapeau,56.43,56.82
ferait,56.82,57.2
il,57.2,57.34
peur,57.34,57.75
mon,58.82,58.97
dessin,58.97,59.27
ne,59.35,59.46
représentait,59.46,60.08
pas,60.08,60.32
un,60.32,60.41
chapeau,60.41,60.82
il,61.36,61.5
représentait,61.5,62.18
un,62.18,62.27
serpent,62.27,62.69
boa,62.69,63.09
qui,63.09,63.3
digérait,63.3,63.94
un,63.94,64.1
éléphant,64.1,64.58
j',65.53,65.66
ai,65.66,65.83
alors,65.83,66.17
dessiné,66.17,66.69
l',66.69,66.75
intérieur,66.75,67.29
du,67.29,67.4
serpent,67.4,67.8
boa,67.8,68.16
afin,68.47,68.78
que,68.78,68.89
les,68.89,69.01
grandes,69.01,69.26
personnes,69.26,69.66
puissent,69.66,69.88
comprendre,69.88,70.52
elles,71.14,71.49
ont,71.49,71.68
toujours,71.83,72.49
besoin,72.49,72.85
d',72.85,72.91
explications,72.91,73.6
mon,74.43,74.65
dessin,74.65,75.04
numéro,75.04,75.52
2,75.52,75.79
était,75.97,76.23
comme,76.23,76.47
ça,76.47,76.69
les,78.11,78.3
grandes,78.3,78.6
personnes,78.6,79.05
m',79.1,79.13
ont,79.13,79.23
conseillé,79.23,79.85
de,79.85,80.04
laisser,80.04,80.43
de,80.43,80.56
côté,80.56,81.01
les,81.08,81.27
dessins,81.27,81.69
de,81.69,81.8
serpents,81.8,82.27
boas,82.27,82.66
ouverts,82.8,83.32
ou,83.43,83.47
fermés,83.51,83.99
et,84.32,84.38
de,84.38,84.48
m',84.48,84.55
intéresser,84.55,85.13
plutôt,85.13,85.54
à,85.54,85.63
la,85.63,85.76
géographie,85.76,86.55
à,86.79,86.87
l',86.87,86.92
histoire,86.92,87.51
au,87.61,87.71
calcul,87.71,88.37
et,88.56,88.66
à,88.66,88.73
la,88.73,88.88
grammaire,88.88,89.55
c',90.52,90.65
est,90.65,90.84
ainsi,90.84,91.25
que,91.25,91.37
j',91.37,91.5
ai,91.5,91.54
abandonné,91.54,92.22
à,92.42,92.54
l',92.54,92.62
âge,92.62,92.87
de,92.87,92.98
six,92.98,93.42
ans,93.42,93.59
une,93.96,94.23
magnifique,94.23,95.07
carrière,95.11,95.48
de,95.48,95.65
peintre,95.65,96.07
j',96.74,96.89
avais,96.96,97.23
été,97.23,97.46
découragé,97.46,98.39
par,98.39,98.59
l',98.59,98.69
insuccès,98.69,99.31
de,99.31,99.42
mon,99.42,99.59
dessin,99.59,99.96
numéro,99.96,100.46
1,100.46,100.7
et,101.08,101.17
de,101.17,101.31
mon,101.31,101.47
dessin,101.47,101.82
numéro,101.82,102.29
2,102.36,102.55
les,103.58,103.74
grandes,103.74,104.03
personnes,104.03,104.65
ne,104.65,104.71
comprennent,104.71,105.19
jamais,105.19,105.68
rien,105.68,105.91
toutes,105.91,106.13
seules,106.13,106.47
et,106.85,106.9
c',106.9,107.02
est,107.02,107.09
fatigant,107.09,107.75
