word,onsets,offsets
il,3.4,3.46
y,3.52,3.67
avait,3.73,4.04
à,4.37,4.41
côté,4.49,4.95
du,4.95,5.05
puits,5.05,5.31
une,5.62,5.82
ruine,5.82,6.33
de,6.33,6.52
vieux,6.52,6.81
mur,6.81,7.11
de,7.11,7.28
pierre,7.28,7.83
lorsque,8.45,8.9
je,8.9,9.06
revins,9.06,9.42
de,9.42,9.53
mon,9.53,9.67
travail,9.67,10.32
le,10.57,10.73
lendemain,10.73,11.25
soir,11.25,11.82
j',12.3,12.47
aperçus,12.47,13.01
de,13.01,13.13
loin,13.13,13.42
mon,13.42,13.59
petit,13.59,13.9
prince,13.9,14.4
assis,14.4,14.91
là,14.91,15.08
haut,15.08,15.24
les,15.49,15.69
jambes,15.69,16.1
pendantes,16.1,16.77
et,17.53,17.6
je,17.6,17.71
l',17.71,17.78
entendis,17.78,18.29
qui,18.29,18.44
parlait,18.44,18.87
tu,20.04,20.29
ne,20.29,20.32
t',20.32,20.36
en,20.36,20.43
souviens,20.43,20.74
donc,20.74,20.98
pas,20.98,21.23
disait,21.58,22.03
il,22.03,22.37
ce,22.86,23.04
n',23.04,23.1
est,23.1,23.21
pas,23.21,23.34
tout,23.34,23.54
à,23.54,23.6
fait,23.6,23.84
ici,23.84,24.22
une,25.19,25.42
autre,25.42,25.71
voix,25.71,25.91
lui,25.91,26.07
répondit,26.07,26.6
sans,26.6,26.78
doute,26.78,27.14
puisqu',27.29,27.57
il,27.57,27.64
répliqua,27.64,28.14
si,28.71,29.0
si,29.1,29.36
c',29.56,29.68
est,29.68,29.81
bien,29.81,29.96
le,29.96,30.08
jour,30.08,30.47
mais,30.53,30.67
ce,30.67,30.82
n',30.82,30.89
est,30.89,30.98
pas,30.98,31.17
ici,31.17,31.49
l',31.49,31.53
endroit,31.53,31.85
je,33.18,33.44
poursuivis,33.44,33.93
ma,33.93,34.08
marche,34.08,34.47
vers,34.47,34.62
le,34.62,34.74
mur,34.74,35.15
je,35.73,35.9
ne,35.9,36.05
voyais,36.05,36.44
ni,36.44,36.61
n',36.61,36.69
entendais,36.69,37.16
toujours,37.16,37.64
personne,37.64,38.07
pourtant,39.05,39.43
le,39.43,39.59
petit,39.59,39.86
prince,39.86,40.26
répliqua,40.26,40.78
de,40.78,40.9
nouveau,40.9,41.25
bien,42.01,42.21
sûr,42.21,42.69
tu,43.02,43.19
verras,43.23,43.52
où,43.52,43.63
commence,43.63,44.0
ma,44.0,44.11
trace,44.11,44.44
dans,44.44,44.55
le,44.55,44.63
sable,44.63,45.13
tu,45.63,45.77
n',45.77,45.83
as,45.83,45.88
qu',45.88,46.01
à,46.01,46.06
m',46.06,46.13
y,46.13,46.21
attendre,46.21,46.71
j',47.06,47.19
y,47.19,47.27
serai,47.27,47.61
cette,47.61,47.97
nuit,47.97,48.25
j',49.778713,49.881127
étais,49.881127,50.24
à,50.24,50.29
vingt,50.35,50.51
mètres,50.51,50.8
du,50.8,50.95
mur,50.95,51.29
et,51.38,51.44
je,51.44,51.59
ne,51.59,51.72
voyais,51.72,52.1
toujours,52.23,52.87
rien,52.87,53.05
le,54.01,54.18
petit,54.18,54.49
prince,54.49,54.83
dit,54.83,55.01
encore,55.01,55.56
après,55.56,55.98
un,55.98,56.07
silence,56.07,56.73
tu,57.3,57.43
as,57.43,57.51
du,57.55,57.65
bon,57.65,57.81
venin,57.81,58.21
tu,58.69,58.86
es,58.86,58.98
sûr,58.98,59.44
de,59.44,59.53
ne,59.53,59.72
pas,59.72,59.86
me,59.86,59.98
faire,59.98,60.21
souffrir,60.21,60.75
longtemps,60.75,61.22
je,62.54,62.75
fis,62.75,63.07
halte,63.07,63.52
le,63.7,63.88
coeur,63.88,64.17
serré,64.17,64.63
mais,64.97,65.12
je,65.12,65.24
ne,65.24,65.38
comprenais,65.38,65.89
toujours,66.03,66.45
pas,66.45,66.64
maintenant,67.63,68.13
va,68.13,68.28
t',68.32,68.41
en,68.41,68.59
dit,68.8,69.1
il,69.1,69.42
je,69.71,69.89
veux,69.89,70.06
redescendre,70.06,70.75
alors,71.57,71.98
j',71.98,72.1
abaissai,72.1,72.57
moi,72.57,72.82
même,72.82,73.09
les,73.09,73.39
yeux,73.39,73.57
vers,73.57,73.72
le,73.72,73.85
pied,73.85,74.12
du,74.12,74.25
mur,74.25,74.66
et,74.8,74.91
je,74.91,75.11
fis,75.11,75.44
un,75.44,75.61
bond,75.76,75.94
il,76.85,77.04
était,77.04,77.4
là,77.4,77.65
dressé,77.87,78.43
vers,78.43,78.58
le,78.58,78.7
petit,78.7,78.97
prince,78.97,79.55
un,79.81,79.97
de,79.97,80.08
ces,80.08,80.24
serpents,80.24,80.68
jaunes,80.68,81.11
qui,81.11,81.26
vous,81.26,81.46
exécutent,81.46,82.05
en,82.05,82.21
trente,82.27,82.65
secondes,82.65,83.27
tout,84.4,84.62
en,84.62,84.72
fouillant,84.72,85.06
ma,85.06,85.22
poche,85.22,85.51
pour,85.51,85.64
en,85.64,85.74
tirer,85.74,86.08
mon,86.08,86.22
revolver,86.22,86.88
je,87.19,87.42
pris,87.42,87.64
le,87.64,87.8
pas,87.8,87.99
de,87.99,88.13
course,88.13,88.65
mais,88.85,89.16
au,89.41,89.55
bruit,89.55,89.85
que,89.85,89.97
je,89.97,90.16
fis,90.16,90.47
le,90.77,90.94
serpent,90.94,91.37
se,91.37,91.52
laissa,91.52,91.92
doucement,91.92,92.52
couler,92.52,92.89
dans,92.89,93.02
le,93.02,93.12
sable,93.12,93.64
comme,93.87,94.11
un,94.11,94.19
jet,94.19,94.41
d',94.41,94.46
eau,94.46,94.54
qui,94.61,94.75
meurt,94.75,95.19
et,95.54,95.79
sans,96.02,96.28
trop,96.28,96.51
se,96.51,96.66
presser,96.66,97.18
se,97.49,97.69
faufila,97.69,98.19
entre,98.19,98.45
les,98.45,98.63
pierres,98.63,99.07
avec,99.07,99.39
un,99.39,99.47
léger,99.47,99.87
bruit,99.87,100.14
de,100.14,100.26
métal,100.26,100.84
je,101.88,102.12
parvins,102.12,102.42
au,102.42,102.64
mur,102.64,102.96
juste,102.96,103.47
à,103.47,103.58
temps,103.58,103.75
pour,103.75,103.96
y,103.96,104.05
recevoir,104.05,104.64
dans,104.64,104.77
les,104.77,104.93
bras,104.93,105.17
mon,105.26,105.4
petit,105.4,105.72
bonhomme,105.72,106.02
de,106.07,106.21
prince,106.21,106.81
pâle,107.09,107.47
comme,107.47,107.71
la,107.71,107.83
neige,107.83,108.35
quelle,109.35,109.58
est,109.58,109.72
cette,109.72,109.9
histoire,109.94,110.27
là,110.27,110.44
tu,110.89,111.05
parles,111.05,111.3
maintenant,111.3,111.71
avec,111.71,111.92
les,111.92,112.01
serpents,112.01,112.6
j',113.843502,113.977814
avais,113.977814,114.16
défait,114.16,114.53
son,114.53,114.72
éternel,114.76,115.24
cache,115.24,115.63
nez,115.63,115.78
d',115.78,115.86
or,115.86,116.29
je,116.91,117.0
lui,117.0,117.23
avais,117.23,117.41
mouillé,117.41,117.72
les,117.72,117.91
tempes,117.91,118.29
et,118.46,118.54
l',118.54,118.59
avais,118.59,118.78
fait,118.78,118.95
boire,118.95,119.44
et,120.15,120.25
maintenant,120.25,120.81
je,120.96,121.11
n',121.11,121.18
osais,121.18,121.51
plus,121.51,121.73
rien,121.73,122.14
lui,122.14,122.27
demander,122.27,122.79
il,123.57,123.76
me,123.76,123.86
regarda,123.86,124.42
gravement,124.42,125.12
et,125.38,125.45
m',125.45,125.53
entoura,125.53,125.97
le,125.97,126.09
cou,126.09,126.33
de,126.33,126.46
ses,126.46,126.67
bras,126.67,126.92
je,127.76,127.92
sentais,127.92,128.41
battre,128.46,128.77
son,128.77,129.06
coeur,129.06,129.33
comme,129.33,129.61
celui,129.61,129.94
d',129.94,129.99
un,129.99,130.14
oiseau,130.14,130.46
qui,130.46,130.65
meurt,130.65,131.0
quand,131.23,131.48
on,131.48,131.56
l',131.56,131.61
a,131.61,131.68
tiré,131.68,132.06
à,132.06,132.11
la,132.11,132.2
carabine,132.2,132.89
il,133.83,134.04
me,134.04,134.2
dit,134.2,134.52
je,135.09,135.19
suis,135.19,135.45
content,135.45,135.87
que,135.87,136.01
tu,136.01,136.15
aies,136.15,136.21
trouvé,136.21,136.57
ce,136.57,136.72
qui,136.72,136.88
manquait,136.88,137.23
à,137.23,137.31
ta,137.31,137.45
machine,137.45,137.98
tu,138.31,138.44
vas,138.44,138.58
pouvoir,138.58,139.03
rentrer,139.03,139.28
chez,139.28,139.48
toi,139.48,139.71
comment,141.01,141.46
sais,141.46,141.76
tu,141.76,142.06
je,142.81,143.06
venais,143.06,143.4
justement,143.4,143.98
lui,143.98,144.16
annoncer,144.16,144.66
que,144.66,144.98
contre,145.33,145.72
toute,145.72,146.01
espérance,146.01,146.69
j',146.76,146.9
avais,146.9,147.09
réussi,147.09,147.62
mon,147.62,147.75
travail,147.75,148.363524
il,149.760368,149.8517
ne,149.8517,149.95
répondit,149.95,150.46
rien,150.46,150.73
à,150.73,150.79
ma,150.79,150.91
question,150.91,151.39
mais,151.63,151.94
il,151.94,152.02
ajouta,152.02,152.48
moi,153.41,153.59
aussi,153.59,153.95
aujourd',153.95,154.24
hui,154.24,154.48
je,154.48,154.62
rentre,154.62,154.95
chez,154.95,155.14
moi,155.14,155.35
puis,156.37,156.7
mélancolique,156.84,157.68
c',158.43,158.61
est,158.61,158.73
bien,158.73,159.01
plus,159.01,159.18
loin,159.18,159.55
c',159.95,160.13
est,160.13,160.24
bien,160.24,160.5
plus,160.5,160.67
difficile,160.67,161.42
je,162.77,162.9
sentais,162.9,163.42
bien,163.42,163.66
qu',163.66,163.75
il,163.75,163.88
