word,onsets,offsets
j',3.11,3.14
avais,3.22,3.43
ainsi,3.52,3.91
appris,4.02,4.44
une,4.48,4.75
seconde,4.75,5.39
chose,5.39,5.83
très,5.83,6.32
importante,6.32,7.05
c',7.55,7.66
est,7.66,7.73
que,7.73,7.83
sa,7.83,8.1
planète,8.1,8.55
d',8.55,8.6
origine,8.6,9.08
était,9.2,9.59
à,9.59,9.74
peine,9.86,10.17
plus,10.17,10.34
grande,10.34,10.81
qu',10.85,10.93
une,10.93,11.12
maison,11.12,11.56
ça,12.27,12.46
ne,12.46,12.58
pouvait,12.58,12.88
pas,12.88,13.03
m',13.03,13.08
étonner,13.08,13.42
beaucoup,13.42,13.86
je,14.5,14.63
savais,14.63,14.98
bien,14.98,15.28
qu',15.28,15.35
en,15.35,15.43
dehors,15.43,15.71
des,15.71,15.82
grosses,15.82,16.13
planètes,16.13,16.58
comme,16.58,16.79
la,16.79,16.92
terre,16.92,17.42
jupiter,17.51,18.33
mars,18.4,18.98
vénus,19.1,19.7
auxquelles,19.96,20.29
on,20.29,20.43
a,20.43,20.52
donné,20.52,20.78
des,20.78,20.92
noms,20.92,21.19
il,21.63,21.76
y,21.76,21.9
en,21.9,22.02
a,22.02,22.13
des,22.13,22.25
centaines,22.25,22.82
d',22.82,22.89
autres,22.89,23.18
qui,23.18,23.35
sont,23.35,23.53
quelquefois,23.53,24.11
si,24.11,24.36
petites,24.49,25.03
qu',25.37,25.45
on,25.45,25.58
a,25.58,25.68
beaucoup,25.68,26.15
de,26.15,26.27
mal,26.27,26.62
à,26.62,26.75
les,26.75,26.97
apercevoir,26.97,27.64
au,27.64,27.71
télescope,27.71,28.41
quand,29.45,29.76
un,29.83,29.89
astronome,29.89,30.56
découvre,30.56,31.13
l',31.13,31.21
une,31.21,31.39
d',31.39,31.45
elles,31.45,31.81
il,32.06,32.27
lui,32.27,32.43
donne,32.43,32.73
pour,32.73,32.96
nom,32.96,33.29
un,33.29,33.45
numéro,33.45,34.04
il,34.77,35.0
l',35.0,35.02
appelle,35.02,35.37
par,35.37,35.53
exemple,35.53,36.14
l',36.45,36.6
astéroïde,36.6,37.41
325,37.41,39.095174
j',40.183234000000006,40.3
ai,40.3,40.340668
de,40.340668,40.44
sérieuses,40.44,41.05
raisons,41.05,41.4
de,41.4,41.52
croire,41.52,41.91
que,41.91,42.01
la,42.01,42.17
planète,42.17,42.66
d',42.66,42.74
où,42.74,42.85
venait,42.85,43.14
le,43.14,43.26
petit,43.26,43.6
prince,43.6,44.09
est,44.44,44.61
l',44.61,44.68
astéroïde,44.68,45.54
b,45.58,45.94
612,46.04,46.94
cet,47.9,48.13
astéroïde,48.13,48.86
n',48.86,49.01
a,49.01,49.05
été,49.11,49.34
aperçu,49.34,49.96
qu',50.02,50.12
une,50.12,50.3
fois,50.3,50.54
au,50.54,50.63
télescope,50.63,51.39
en,51.59,51.71
1909,51.71,52.73
par,52.97,53.16
un,53.16,53.29
astronome,53.29,53.96
turc,53.96,54.57
il,55.36,55.51
avait,55.51,55.76
fait,55.76,55.98
alors,55.98,56.36
une,56.36,56.52
grande,56.52,57.13
démonstration,57.13,57.89
de,57.89,58.0
sa,58.0,58.18
découverte,58.18,58.9
à,58.9,58.93
un,58.93,59.23
congrès,59.28,59.85
international,59.85,60.73
d',60.73,60.83
astronomie,60.83,61.49
mais,62.16,62.41
personne,62.41,62.98
ne,62.98,63.0
l',63.0,63.1
avait,63.1,63.28
cru,63.28,63.62
à,63.83,63.95
cause,63.95,64.17
de,64.17,64.27
son,64.27,64.45
