word,onsets,offsets
le,3.06,3.08
cinquième,3.27,3.65
jour,3.71,4.0
toujours,4.4,4.76
grâce,4.82,5.03
au,5.09,5.14
mouton,5.21,5.52
ce,5.96,6.08
secret,6.14,6.51
de,6.57,6.64
la,6.7,6.8
vie,6.86,7.0
du,7.06,7.12
petit,7.18,7.41
prince,7.48,7.91
me,7.97,8.06
fut,8.06,8.29
révélé,8.29,8.87
il,9.65,9.89
me,9.89,10.06
demanda,10.13,10.68
avec,10.68,10.92
brusquerie,10.92,11.62
sans,11.81,12.09
préambule,12.09,12.78
comme,12.98,13.2
le,13.2,13.4
fruit,13.4,13.7
d',13.7,13.76
un,13.76,13.88
problème,13.88,14.38
longtemps,14.38,14.95
médité,14.95,15.49
en,15.49,15.6
silence,15.6,16.35
un,17.17,17.28
mouton,17.28,17.67
s',17.9,18.03
il,18.03,18.15
mange,18.15,18.41
les,18.41,18.54
arbustes,18.54,19.1
il,19.44,19.61
mange,19.61,19.8
aussi,19.8,20.01
les,20.01,20.12
fleurs,20.12,20.52
un,21.35,21.52
mouton,21.52,21.91
mange,21.91,22.19
tout,22.19,22.37
ce,22.37,22.53
qu',22.53,22.61
il,22.61,22.69
rencontre,22.69,23.28
même,24.33,24.53
les,24.53,24.63
fleurs,24.63,24.95
qui,24.95,25.07
ont,25.07,25.15
des,25.15,25.46
épines,25.46,25.78
oui,26.71,27.06
même,27.35,27.52
les,27.52,27.66
fleurs,27.71,27.95
qui,27.95,28.07
ont,28.07,28.16
des,28.16,28.45
épines,28.45,28.76
alors,29.86,30.14
les,30.14,30.48
épines,30.48,30.84
à,31.07,31.17
quoi,31.17,31.33
servent,31.33,31.76
elles,31.76,32.09
je,33.28,33.41
ne,33.45,33.47
le,33.47,33.5
savais,33.61,34.02
pas,34.02,34.21
j',34.86,34.97
étais,34.97,35.3
alors,35.3,35.68
très,35.68,36.08
occupé,36.08,36.62
à,36.69,36.85
essayer,36.85,37.25
de,37.25,37.4
dévisser,37.4,37.93
un,37.93,38.01
boulon,38.01,38.4
trop,38.4,38.66
serré,38.66,39.06
de,39.06,39.17
mon,39.17,39.31
moteur,39.31,39.89
j',40.66,40.77
étais,40.77,41.05
très,41.05,41.37
soucieux,41.37,41.92
car,42.27,42.44
ma,42.44,42.64
panne,42.64,42.98
commençait,42.98,43.46
de,43.46,43.58
m',43.58,43.65
apparaître,43.65,44.21
comme,44.21,44.47
très,44.47,44.76
grave,44.76,45.32
et,45.63,45.72
l',45.72,45.77
eau,45.77,45.92
à,45.92,46.02
boire,46.02,46.4
qui,46.4,46.58
s',46.58,46.73
épuisait,46.73,47.3
me,47.5,47.69
faisait,47.69,47.99
craindre,47.99,48.45
le,48.45,48.54
pire,48.54,49.1
les,49.88,50.32
épines,50.32,50.77
à,50.84,50.97
quoi,50.97,51.12
servent,51.12,51.61
elles,51.61,51.94
le,52.75,52.89
petit,52.89,53.18
prince,53.18,53.58
ne,53.58,53.72
renonçait,53.72,54.25
jamais,54.25,54.9
à,54.9,54.97
une,54.97,55.13
question,55.13,55.6
une,55.78,55.94
fois,55.94,56.14
qu',56.14,56.26
il,56.26,56.45
l',56.45,56.47
avait,56.47,56.69
posée,56.69,57.14
j',57.88,57.97
étais,57.97,58.18
irrité,58.18,58.7
par,58.7,58.85
mon,58.85,58.97
boulon,58.97,59.32
et,59.59,59.63
je,59.63,59.72
répondis,59.72,60.24
n',60.24,60.33
importe,60.33,60.73
quoi,60.73,60.95
les,61.46,61.81
épines,61.81,62.11
ça,62.11,62.28
ne,62.28,62.35
sert,62.35,62.58
à,62.58,62.62
rien,62.62,62.97
c',63.23,63.36
est,63.36,63.41
de,63.41,63.52
la,63.52,63.69
pure,63.69,63.92
méchanceté,63.92,64.44
de,64.44,64.53
la,64.53,64.67
part,64.67,64.85
des,64.85,64.95
fleurs,64.95,65.48
oh,66.45,66.8
mais,67.78,68.07
après,68.07,68.37
un,68.37,68.4
silence,68.44,69.02
il,69.02,69.25
me,69.25,69.36
lança,69.36,69.79
avec,70.09,70.41
une,70.41,70.62
sorte,70.62,71.04
de,71.04,71.17
rancune,71.17,71.79
je,72.64,72.81
ne,72.81,72.92
te,72.92,73.04
crois,73.04,73.28
pas,73.28,73.49
les,74.06,74.25
fleurs,74.25,74.56
sont,74.56,74.71
faibles,74.71,75.25
elles,75.51,75.69
sont,75.69,75.88
naïves,75.88,76.4
elles,76.83,76.99
se,76.99,77.1
rassurent,77.1,77.54
comme,77.54,77.74
elles,77.74,77.88
peuvent,77.88,78.32
elles,78.98,79.07
se,79.07,79.25
croient,79.25,79.45
terribles,79.45,79.93
avec,79.93,80.14
leurs,80.14,80.36
épines,80.36,80.85
je,81.97,82.18
ne,82.18,82.22
répondis,82.29,82.75
rien,82.75,83.09
à,83.68,83.79
cet,83.79,84.02
instant,84.02,84.29
là,84.29,84.49
je,84.49,84.63
me,84.63,84.76
disais,84.76,85.18
si,85.64,85.88
ce,85.88,86.09
boulon,86.09,86.56
résiste,86.56,87.01
encore,87.01,87.47
je,87.99,88.14
le,88.14,88.29
ferai,88.29,88.61
sauter,88.61,89.2
d',89.2,89.24
un,89.24,89.36
coup,89.41,89.55
de,89.55,89.66
marteau,89.66,90.07
le,91.32,91.43
petit,91.43,91.79
prince,91.79,92.16
dérangea,92.16,92.66
de,92.66,92.79
nouveau,92.79,93.13
mes,93.13,93.26
réflexions,93.26,93.87
et,94.999353,95.119155
tu,95.119155,95.28
crois,95.28,95.62
toi,95.62,96.01
que,96.07,96.17
les,96.17,96.31
fleurs,96.31,96.76
mais,97.2,97.35
non,97.35,97.65
mais,97.87,98.09
non,98.09,98.42
je,98.5,98.69
ne,98.69,98.78
crois,98.78,99.01
rien,99.01,99.32
j',99.63,99.76
ai,99.76,99.79
répondu,99.79,100.21
n',100.21,100.28
importe,100.28,100.68
quoi,100.68,100.88
je,101.35,101.52
m',101.52,101.58
occupe,101.58,101.97
moi,101.97,102.27
de,102.27,102.39
choses,102.39,102.68
sérieuses,102.68,103.31
il,104.34,104.54
me,104.54,104.64
regarda,104.64,105.19
stupéfait,105.19,105.95
de,106.72,106.83
choses,106.93,107.36
sérieuses,107.6,108.4
il,109.57,109.8
me,109.8,109.86
voyait,109.98,110.19
mon,110.19,110.4
marteau,110.51,111.05
à,111.05,111.15
la,111.15,111.3
main,111.3,111.5
et,111.9,111.95
les,111.95,112.1
doigts,112.1,112.38
noirs,112.38,112.86
de,112.86,113.0
cambouis,113.0,113.46
penché,113.85,114.3
sur,114.3,114.52
un,114.52,114.66
objet,114.66,114.97
qui,114.97,115.15
lui,115.15,115.25
semblait,115.25,115.68
très,115.68,115.95
laid,115.95,116.17
tu,117.46,117.63
parles,117.63,117.86
comme,117.86,118.02
les,118.02,118.1
grandes,118.1,118.31
personnes,118.31,118.91
ça,119.76,119.94
me,119.94,120.09
fit,120.09,120.26
un,120.26,120.41
peu,120.41,120.55
honte,120.55,120.92
mais,121.4,121.77
impitoyable,121.88,122.82
il,123.0,123.17
ajouta,123.17,123.69
tu,124.17,124.34
confonds,124.34,124.73
tout,124.73,125.17
tu,125.22,125.43
mélanges,125.43,125.92
tout,125.92,126.23
il,127.15,127.22
était,127.22,127.62
vraiment,127.62,127.97
très,127.97,128.29
irrité,128.29,128.78
il,129.48,129.65
secouait,129.65,130.23
au,130.23,130.33
vent,130.33,130.56
des,130.56,130.7
cheveux,130.7,131.15
tout,131.15,131.47
dorés,131.47,131.94
je,132.92,133.11
connais,133.11,133.35
une,133.35,133.6
planète,133.6,134.17
où,134.17,134.29
il,134.29,134.41
y,134.41,134.5
a,134.5,134.53
un,134.53,134.68
monsieur,134.68,135.13
cramoisi,135.13,135.87
il,136.47,136.62
n',136.62,136.7
a,136.7,136.81
jamais,136.81,137.32
respiré,137.32,137.93
une,138.08,138.26
fleur,138.26,138.71
il,139.14,139.33
n',139.33,139.38
a,139.38,139.5
jamais,139.5,140.06
regardé,140.06,140.65
une,140.71,140.95
étoile,140.95,141.5
il,141.91,142.1
n',142.1,142.17
a,142.17,142.25
jamais,142.25,142.78
aimé,142.78,143.01
personne,143.01,143.66
il,144.3,144.48
n',144.52,144.57
a,144.57,144.71
jamais,144.71,145.2
rien,145.2,145.42
fait,145.42,145.58
d',145.58,145.65
autre,145.65,145.91
que,145.91,146.04
des,146.04,146.27
additions,146.27,146.8
et,147.67,147.82
toute,147.82,148.13
la,148.13,148.25
journée,148.25,148.69
il,148.69,148.8
répète,148.8,149.2
comme,149.2,149.44
toi,149.51,149.76
je,150.16,150.25
suis,150.25,150.53
un,150.53,150.7
homme,150.7,150.83
sérieux,150.83,151.3
je,151.56,151.7
suis,151.7,151.96
un,151.96,152.14
homme,152.14,152.27
sérieux,152.27,152.8
et,153.3,153.34
ça,153.34,153.51
le,153.51,153.66
fait,153.66,153.78
gonfler,153.78,154.29
d',154.29,154.36
orgueil,154.36,154.94
mais,155.66,155.79
ce,155.79,155.94
n',155.94,155.98
est,155.98,156.08
pas,156.08,156.26
un,156.26,156.47
homme,156.53,156.7
c',156.93,157.03
est,157.03,157.16
un,157.16,157.24
champignon,157.24,157.94
un,158.68,158.94
quoi,159.16,159.46
un,160.3,160.45
champignon,160.45,161.29
le,162.19,162.29
petit,162.29,162.72
prince,162.72,163.08
était,163.15,163.47
maintenant,163.47,164.07
tout,164.07,164.35
pâle,164.35,164.9
de,164.9,165.03
colère,165.03,165.65
il,166.57,166.73
y,166.73,166.86
a,166.91,166.94
des,166.94,167.14
millions,167.14,167.58
d',167.58,167.63
années,167.63,167.91
que,167.91,168.03
les,168.03,168.18
fleurs,168.18,168.55
fabriquent,168.55,168.91
des,168.91,169.11
épines,169.11,169.62
il,170.12,170.24
y,170.24,170.4
a,170.4,170.51
des,170.51,170.67
millions,170.67,171.34
d',171.34,171.4
années,171.4,171.69
que,171.69,171.76
les,171.76,171.92
moutons,171.92,172.27
mangent,172.27,172.59
quand,172.67,172.85
même,172.85,173.1
les,173.1,173.2
fleurs,173.2,173.68
et,174.19,174.26
ce,174.26,174.42
n',174.42,174.5
est,174.5,174.61
pas,174.61,174.73
sérieux,174.73,175.28
de,175.42,175.51
chercher,175.51,175.88
à,175.88,175.96
comprendre,175.96,176.52
pourquoi,176.52,176.92
elles,176.92,177.05
se,177.05,177.24
donnent,177.24,177.43
tant,177.54,177.78
de,177.78,177.91
mal,177.91,178.26
pour,178.49,178.66
se,178.66,178.78
fabriquer,178.78,179.21
des,179.21,179.38
épines,179.38,179.82
qui,179.82,179.96
ne,179.96,180.07
servent,180.07,180.36
jamais,180.36,180.67
à,180.74,180.81
rien,180.81,181.14
ce,182.09,182.25
n',182.25,182.28
est,182.28,182.38
pas,182.38,182.44
important,182.44,183.0
la,183.0,183.13
guerre,183.13,183.36
des,183.36,183.47
moutons,183.47,183.81
et,183.81,183.86
des,183.86,183.98
fleurs,183.98,184.46
ce,185.32,185.46
n',185.46,185.49
est,185.49,185.63
pas,185.63,185.77
plus,185.77,185.89
sérieux,185.89,186.37
et,186.37,186.46
plus,186.46,186.72
important,186.72,187.3
que,187.41,187.48
les,187.48,187.68
additions,187.68,188.17
d',188.17,188.22
un,188.22,188.36
gros,188.36,188.65
monsieur,188.65,188.97
rouge,188.97,189.42
et,190.44398999999999,190.570097
si,190.570097,190.77
je,190.77,190.92
connais,190.92,191.28
moi,191.28,191.66
une,191.92,192.15
fleur,192.15,192.64
unique,192.68,193.21
au,193.21,193.32
monde,193.32,193.76
qui,194.08,194.22
n',194.22,194.27
existe,194.27,194.78
nulle,194.78,195.15
part,195.15,195.53
sauf,195.81,196.18
dans,196.18,196.34
ma,196.34,196.47
planète,196.47,197.05
et,197.44,197.54
qu',197.54,197.64
un,197.64,197.75
petit,197.75,198.04
mouton,198.04,198.48
peut,198.48,198.64
anéantir,198.64,199.3
d',199.3,199.42
un,199.42,199.58
seul,199.58,199.86
coup,199.86,200.16
comme,200.39,200.67
ça,200.67,200.9
un,201.16,201.31
matin,201.31,201.75
sans,201.95,202.23
se,202.23,202.38
rendre,202.38,202.67
compte,202.67,203.0
de,203.0,203.13
ce,203.13,203.32
qu',203.32,203.36
il,203.36,203.49
fait,203.49,203.74
ce,204.17,204.26
n',204.26,204.3
est,204.3,204.4
pas,204.4,204.57
important,204.57,205.17
ça,205.17,205.49
il,206.96,207.07
rougit,207.07,207.61
puis,207.82,208.13
reprit,208.13,208.63
si,209.45,209.71
quelqu',209.71,210.03
un,210.03,210.21
aime,210.26,210.47
une,210.47,210.59
fleur,210.59,210.93
qui,210.93,211.08
n',211.08,211.16
existe,211.16,211.62
qu',211.62,211.75
à,211.75,211.9
un,211.99,212.33
exemplaire,212.33,212.93
dans,212.93,213.06
les,213.06,213.23
millions,213.23,213.84
et,213.84,213.9
les,213.9,214.05
millions,214.05,214.38
d',214.38,214.44
étoiles,214.44,214.95
ça,215.46,215.7
suffit,215.7,216.17
pour,216.17,216.29
qu',216.29,216.37
il,216.37,216.44
soit,216.44,216.75
heureux,216.75,217.04
quand,217.04,217.3
il,217.3,217.46
les,217.46,217.52
regarde,217.52,218.11
il,218.62,218.79
se,218.79,218.97
dit,218.97,219.26
ma,219.8,219.95
fleur,219.95,220.29
est,220.29,220.37
là,220.37,220.55
quelque,220.55,220.92
part,220.92,221.37
mais,222.2,222.37
si,222.43,222.54
le,222.54,222.65
mouton,222.69,223.06
mange,223.06,223.46
la,223.46,223.6
fleur,223.6,224.06
c',224.49,224.61
est,224.61,224.69
pour,224.69,224.84
lui,224.84,225.1
comme,225.1,225.36
si,225.36,225.74
brusquement,225.99,226.79
toutes,227.07,227.4
les,227.4,227.69
étoiles,227.69,227.94
s',227.94,228.06
éteignaient,228.06,228.5
et,228.5,228.55
ce,229.29,229.53
n',229.53,229.58
est,229.58,229.66
pas,229.66,229.84
important,229.84,230.34
ça,230.46,230.79
il,232.34,232.64
ne,232.64,232.67
put,232.67,232.8
rien,232.8,233.15
dire,233.15,233.39
de,233.39,233.51
plus,233.51,234.03
il,234.49,234.68
éclata,234.68,235.18
brusquement,235.18,236.11
en,236.11,236.13
sanglots,236.13,236.64
la,237.6,237.79
nuit,237.83,238.01
était,238.01,238.34
tombée,238.34,238.82
j',239.36,239.48
avais,239.48,239.67
lâché,239.67,240.03
mes,240.03,240.25
outils,240.25,240.64
je,241.28,241.49
me,241.49,241.56
moquais,241.63,241.97
bien,241.97,242.31
de,242.31,242.44
mon,242.44,242.59
marteau,242.59,243.02
de,243.14,243.35
mon,243.35,243.54
boulon,243.54,243.93
de,244.07,244.23
la,244.23,244.39
soif,244.39,244.86
et,245.07,245.19
de,245.19,245.3
la,245.3,245.43
mort,245.43,245.86
il,246.6,246.78
y,246.78,246.92
avait,246.92,247.3
sur,247.45,247.75
une,247.75,247.83
étoile,247.83,248.35
une,248.57,248.8
planète,248.8,249.33
la,249.6,249.76
mienne,249.76,250.26
la,250.67,250.84
terre,250.88,251.27
un,251.87,252.07
petit,252.07,252.4
prince,252.4,252.85
à,252.85,252.99
consoler,252.99,253.63
je,254.59,254.78
le,254.78,254.93
pris,254.93,255.16
dans,255.16,255.31
les,255.31,255.44
bras,255.44,255.71
je,256.22,256.38
le,256.38,256.52
berçai,256.52,257.07
je,257.56,257.68
lui,257.68,257.86
disais,257.86,258.43
la,259.12,259.28
fleur,259.28,259.6
que,259.6,259.74
tu,259.74,259.91
aimes,259.91,260.07
n',260.07,260.12
est,260.12,260.24
pas,260.24,260.46
en,260.46,260.54
danger,260.54,261.01
je,261.29,261.4
lui,261.4,261.57
dessinerai,261.57,262.14
une,262.14,262.24
muselière,262.24,262.82
à,262.82,262.89
ton,262.89,263.07
mouton,263.07,263.41
je,263.91,264.09
te,264.09,264.22
dessinerai,264.22,264.73
une,264.73,264.83
armure,264.83,265.18
pour,265.18,265.31
ta,265.31,265.45
fleur,265.45,265.8
je,266.34,266.75
je,267.49,267.6
ne,267.65,267.72
savais,267.72,268.08
pas,268.08,268.19
trop,268.19,268.36
quoi,268.36,268.54
dire,268.54,268.91
je,269.19,269.42
me,269.42,269.54
sentais,269.54,269.97
très,269.97,270.37
maladroit,270.37,270.91
je,271.73,271.9
ne,271.9,271.99
savais,271.99,272.46
comment,272.46,272.8
l',272.8,272.87
atteindre,272.87,273.43
où,273.75,273.9
le,273.9,274.04
rejoindre,274.04,274.69
c',275.4,275.51
est,275.51,275.67
tellement,275.67,276.27
mystérieux,276.27,276.89
le,276.89,276.99
pays,276.99,277.3
des,277.3,277.43
larmes,277.43,277.87
j',283.9915,284.1
appris,284.1,284.38
bien,284.46,284.69
vite,284.8,285.05
à,285.11,285.13
mieux,285.26,285.48
connaître,285.54,286.02
cette,286.08,286.37
fleur,286.37,286.93
il,287.69,287.95
avait,287.95,288.21
toujours,288.21,288.77
eu,288.77,288.97
sur,289.17,289.39
la,289.39,289.53
planète,289.53,290.05
du,290.05,290.19
petit,290.19,290.53
prince,290.53,291.13
des,291.33,291.54
fleurs,291.54,292.04
très,292.04,292.31
simples,292.31,292.86
ornées,293.39,293.83
d',293.83,293.95
un,293.95,294.1
seul,294.1,294.39
rang,294.39,294.6
de,294.6,294.71
pétales,294.71,295.34
et,295.74,295.81
qui,295.81,295.98
ne,295.98,296.07
tenaient,296.07,296.4
point,296.4,296.66
de,296.66,296.83
place,296.83,297.35
et,297.6,297.67
qui,297.67,297.8
ne,297.8,297.94
dérangeaient,297.94,298.48
personne,298.48,299.19
elles,300.32,300.56
apparaissaient,300.56,301.23
un,301.23,301.31
matin,301.31,301.72
dans,301.72,301.88
l',301.88,301.96
herbe,301.96,302.29
et,302.69,302.78
puis,302.78,303.07
elles,303.07,303.19
s',303.19,303.28
éteignaient,303.28,303.68
le,303.68,303.83
soir,303.83,304.39
mais,305.17,305.34
celle,305.34,305.73
là,305.73,306.03
avait,306.11,306.36
germé,306.36,306.82
un,306.82,306.94
jour,306.94,307.41
d',307.58,307.68
une,307.68,307.91
graine,307.91,308.37
apportée,308.37,308.93
d',308.93,309.06
