word,onsets,offsets
mouches,111.93,112.48
mais,113.3,113.59
non,113.65,113.95
des,113.95,114.12
petites,114.12,114.37
choses,114.37,114.66
qui,114.66,114.82
brillent,114.82,115.28
des,116.2,116.35
abeilles,116.44,116.85
mais,117.48,117.71
non,117.76,118.03
des,118.15,118.38
petites,118.38,118.62
choses,118.62,118.93
dorées,118.93,119.3
qui,119.3,119.44
font,119.44,119.66
rêvasser,119.66,120.09
les,120.09,120.19
fainéants,120.19,120.71
mais,121.08,121.24
je,121.24,121.34
suis,121.34,121.55
sérieux,121.55,122.0
moi,122.0,122.27
je,122.6,122.73
n',122.73,122.81
ai,122.81,122.95
pas,122.95,123.11
le,123.11,123.25
temps,123.25,123.45
de,123.45,123.55
rêvasser,123.55,124.12
ah,125.07,125.83
des,125.83,126.14
étoiles,126.14,126.65
c',127.21,127.33
est,127.33,127.42
bien,127.42,127.6
ça,127.6,127.93
des,128.06,128.28
étoiles,128.28,128.76
et,128.76,128.79
que,129.1,129.12
fais,129.72,130.27
tu,130.27,130.43
de,130.43,130.51
cinq,130.51,130.84
cents,130.84,130.97
millions,130.97,131.33
d',131.33,131.39
étoiles,131.39,131.94
cinq,133.09,133.51
cent,133.51,133.74
un,133.74,133.8
millions,133.95,134.42
six,134.42,134.8
cent,134.8,134.93
vingt,134.93,135.2
deux,135.2,135.33
mille,135.33,135.72
sept,135.72,136.0
cent,136.0,136.22
trente,136.22,136.53
et,136.53,136.68
un,136.68,136.86
je,137.26,137.43
suis,137.43,137.62
sérieux,137.62,138.03
moi,138.03,138.32
je,138.6,138.76
suis,138.76,139.01
précis,139.01,139.51
et,140.46,140.53
que,140.53,140.68
fais,140.68,140.82
tu,140.82,140.98
de,140.98,141.04
ces,141.04,141.42
étoiles,141.42,141.94
ce,142.59,142.76
que,142.81,142.87
j',142.87,142.9
en,142.9,143.08
fais,143.08,143.37
oui,144.3,144.52
rien,145.44,145.86
je,146.12,146.14
les,146.14,146.5
possède,146.5,147.09
tu,148.1,148.26
possèdes,148.26,148.75
les,148.75,149.0
étoiles,149.0,149.45
oui,150.45,150.74
mais,151.84,152.31
j',152.31,152.34
ai,152.34,152.37
déjà,152.37,152.59
vu,152.59,152.65
un,152.65,152.86
roi,152.86,153.11
qui,153.11,153.54
les,153.86,153.99
rois,153.99,154.25
ne,154.25,154.39
possèdent,154.39,154.72
pas,154.76,154.99
ils,155.41,155.6
règnent,155.6,156.14
sur,156.14,156.68
c',156.97,157.12
est,157.12,157.25
très,157.25,157.5
différent,157.5,158.04
et,159.26,159.34
à,159.34,159.45
quoi,159.45,159.63
cela,159.63,159.87
te,159.87,159.9
sert,159.9,160.39
il,160.39,160.56
de,160.56,160.71
posséder,160.71,161.1
les,161.1,161.29
étoiles,161.29,161.79
ça,162.79,163.04
me,163.04,163.09
sert,163.09,163.54
à,163.54,163.64
être,163.64,163.93
riche,163.93,164.37
et,165.61,165.68
à,165.68,165.79
