onsets,offsets,word
3.12,3.24,mais
3.3,3.38,il
3.44,3.85,arriva
3.91,3.93,que
4.11,4.17,le
4.17,4.51,petit
4.51,5.1,prince
5.1,5.26,","
5.26,5.63,ayant
5.63,6.27,longtemps
6.27,6.69,marché
6.69,6.77,à
6.77,7.11,travers
7.11,7.25,les
7.25,7.79,sables
7.79,8.05,","
8.05,8.23,les
8.23,8.67,rocs
8.8,8.89,et
8.89,9.01,les
9.01,9.53,neiges
9.53,9.92,","
9.92,10.58,découvrit
10.58,11.13,enfin
11.13,11.4,une
11.4,11.94,route
11.94,12.43,.
12.43,12.5,Et
12.5,12.63,les
12.63,13.15,routes
13.15,13.38,vont
13.54,13.95,toutes
14.02,14.22,chez
14.22,14.47,les
14.47,14.76,hommes
14.76,15.81,.
15.81,15.81,«
15.81,16.39,Bonjour
16.39,16.62,»
16.62,16.62,","
16.62,16.88,dit
16.88,16.88,-
16.88,17.27,il
17.27,17.78,.
17.78,17.93,C'
17.93,18.17,était
18.17,18.3,un
18.3,18.86,jardin
18.86,19.46,fleuri
19.46,19.61,de
19.61,20.11,roses
20.11,21.04,.
21.04,21.04,«
21.04,22.07,Bonjour
22.07,22.26,»
22.26,22.26,","
22.26,22.47,dirent
22.47,22.6,les
22.6,23.11,roses
23.11,23.88,.
23.88,24.07,Le
24.07,24.43,petit
24.43,24.91,prince
24.91,25.07,les
25.07,25.64,regarda
25.64,26.23,.
26.23,26.36,Elles
26.36,27.01,ressemblaient
27.15,27.5,toutes
27.56,27.68,à
27.68,27.87,sa
27.87,28.41,fleur
28.41,29.41,.
29.41,29.41,«
29.41,29.73,Qui
29.73,29.85,êtes
29.85,29.85,-
29.85,30.17,vous
30.17,30.57,?
30.57,30.81,leur
30.81,31.19,demanda
31.19,31.19,-
31.19,31.43,t
31.43,31.43,-
31.43,31.62,il
31.62,31.79,","
31.79,32.59,stupéfait
32.59,33.32,.
33.32,33.52,Nous
33.52,33.8,sommes
33.8,33.99,des
33.99,34.68,roses
34.68,35.26,","
35.26,35.5,dirent
35.5,35.63,les
35.63,36.1,roses
36.1,37.04,.
37.04,37.17,Ah
37.17,37.87,!
37.87,37.87,»
37.87,38.07,fit
38.07,38.17,le
38.17,38.47,petit
38.47,39.07,prince
39.07,39.81,...
39.81,39.93,Et
39.93,40.0,il
40.0,40.36,se
40.36,40.82,sentit
40.82,41.27,très
41.27,41.87,malheureux
41.87,42.55,.
42.55,42.81,Sa
42.81,43.16,fleur
43.16,43.36,lui
43.36,43.56,avait
43.56,44.08,raconté
44.08,44.18,qu'
44.18,44.27,elle
44.27,44.52,était
44.52,44.93,seule
44.93,44.99,de
44.99,45.26,son
45.26,45.68,espèce
45.68,45.83,dans
45.83,45.87,l'
45.87,46.49,univers
46.49,47.03,.
47.03,47.17,Et
47.17,47.71,voici
47.71,47.81,qu'
47.81,47.92,il
47.92,48.08,en
48.08,48.38,était
48.38,48.72,cinq
48.72,49.14,mille
49.14,49.42,","
49.42,49.67,toutes
49.67,50.38,semblables
50.38,50.67,","
50.67,51.08,dans
51.08,51.25,un
51.25,51.68,seul
51.68,52.21,jardin
52.21,53.38,!
53.38,53.38,«
53.38,53.71,Elle
53.71,53.89,serait
53.89,54.13,bien
54.13,54.64,vexée
54.64,54.82,","
54.82,55.01,se
55.01,55.27,dit
55.27,55.27,-
55.27,55.54,il
55.54,56.03,","
56.03,56.24,si
56.24,56.4,elle
56.4,56.7,voyait
56.7,56.99,ça
56.99,57.6,...
57.6,57.8,elle
57.8,58.45,tousserait
58.45,59.1,énormément
59.1,59.17,et
59.17,59.48,ferait
59.48,59.92,semblant
59.92,60.06,de
60.06,60.71,mourir
60.71,60.93,pour
60.93,61.46,échapper
61.46,61.5,au
61.5,62.24,ridicule
62.24,62.75,.
62.75,62.77,Et
62.77,62.92,je
