onsets,offsets,word
3.06,3.08,le
3.27,3.65,cinquième
3.71,4.0,jour
4.0,4.4,","
4.4,4.76,toujours
4.82,5.03,grâce
5.09,5.14,au
5.21,5.52,mouton
5.52,5.96,","
5.96,6.08,ce
6.14,6.51,secret
6.57,6.64,de
6.7,6.8,la
6.86,7.0,vie
7.06,7.12,du
7.18,7.41,petit
7.48,7.91,prince
7.97,8.06,me
8.06,8.29,fut
8.29,8.87,révélé
8.87,9.65,.
9.65,9.89,il
9.89,10.06,me
10.13,10.68,demanda
10.68,10.92,avec
10.92,11.62,brusquerie
11.62,11.81,","
11.81,12.09,sans
12.09,12.78,préambule
12.78,12.98,","
12.98,13.2,comme
13.2,13.4,le
13.4,13.7,fruit
13.7,13.76,d'
13.76,13.88,un
13.88,14.38,problème
14.38,14.95,longtemps
14.95,15.49,médité
15.49,15.6,en
15.6,16.35,silence
16.35,17.17,:
17.17,17.17,""""
17.17,17.28,un
17.28,17.67,mouton
17.67,17.9,","
17.9,18.03,s'
18.03,18.15,il
18.15,18.41,mange
18.41,18.54,les
18.54,19.1,arbustes
19.1,19.44,","
19.44,19.61,il
19.61,19.8,mange
19.8,20.01,aussi
20.01,20.12,les
20.12,20.52,fleurs
20.52,21.35,?
21.35,21.35,-
21.35,21.52,un
21.52,21.91,mouton
21.91,22.19,mange
22.19,22.37,tout
22.37,22.53,ce
22.53,22.61,qu'
22.61,22.69,il
22.69,23.28,rencontre
23.28,24.33,.
24.33,24.33,-
24.33,24.53,même
24.53,24.63,les
24.63,24.95,fleurs
24.95,25.07,qui
25.07,25.15,ont
25.15,25.46,des
25.46,25.78,épines
25.78,26.71,?
26.71,26.71,-
26.71,27.06,oui
27.06,27.35,.
27.35,27.52,même
27.52,27.66,les
27.71,27.95,fleurs
27.95,28.07,qui
28.07,28.16,ont
28.16,28.45,des
28.45,28.76,épines
28.76,29.86,.
29.86,29.86,-
29.86,30.14,alors
30.14,30.48,les
30.48,30.84,épines
30.84,31.07,","
31.07,31.17,à
31.17,31.33,quoi
31.33,31.76,servent
31.76,31.76,-
31.76,32.09,elles
32.09,33.28,?
33.28,33.28,""""
33.28,33.41,je
33.45,33.47,ne
33.47,33.5,le
33.61,34.02,savais
34.02,34.21,pas
34.21,34.86,.
34.86,34.97,j'
34.97,35.3,étais
35.3,35.68,alors
35.68,36.08,très
36.08,36.62,occupé
36.69,36.85,à
36.85,37.25,essayer
37.25,37.4,de
37.4,37.93,dévisser
37.93,38.01,un
38.01,38.4,boulon
38.4,38.66,trop
38.66,39.06,serré
39.06,39.17,de
39.17,39.31,mon
39.31,39.89,moteur
39.89,40.66,.
40.66,40.77,j'
40.77,41.05,étais
41.05,41.37,très
41.37,41.92,soucieux
42.27,42.44,car
42.44,42.64,ma
42.64,42.98,panne
42.98,43.46,commençait
43.46,43.58,de
43.58,43.65,m'
43.65,44.21,apparaître
44.21,44.47,comme
44.47,44.76,très
44.76,45.32,grave
45.32,45.63,","
45.63,45.72,et
45.72,45.77,l'
45.77,45.92,eau
45.92,46.02,à
46.02,46.4,boire
46.4,46.58,qui
46.58,46.73,s'
46.73,47.3,épuisait
47.5,47.69,me
47.69,47.99,faisait
47.99,48.45,craindre
48.45,48.54,le
48.54,49.1,pire
49.1,49.88,.
49.88,49.88,""""
49.88,50.32,les
50.32,50.77,épines
50.77,50.84,","
50.84,50.97,à
50.97,51.12,quoi
51.12,51.61,servent
51.61,51.61,-
51.61,51.94,elles
51.94,52.75,?
52.75,52.75,""""
52.75,52.89,le
52.89,53.18,petit
53.18,53.58,prince
53.58,53.72,ne
53.72,54.25,renonçait
54.25,54.9,jamais
54.9,54.97,à
54.97,55.13,une
55.13,55.6,question
55.6,55.78,","
55.78,55.94,une
55.94,56.14,fois
56.14,56.26,qu'
56.26,56.45,il
56.45,56.47,l'
56.47,56.69,avait
56.69,57.14,posée
57.14,57.88,.
57.88,57.97,j'
57.97,58.18,étais
58.18,58.7,irrité
58.7,58.85,par
58.85,58.97,mon
58.97,59.32,boulon
59.59,59.63,et
59.63,59.72,je
59.72,60.24,répondis
60.24,60.33,n'
60.33,60.73,importe
60.73,60.95,quoi
60.95,61.46,:
61.46,61.46,""""
61.46,61.81,les
61.81,62.11,épines
62.11,62.11,","
62.11,62.28,ça
62.28,62.35,ne
62.35,62.58,sert
62.58,62.62,à
62.62,62.97,rien
62.97,63.23,","
63.23,63.36,c'
63.36,63.41,est
63.41,63.52,de
63.52,63.69,la
63.69,63.92,pure
63.92,64.44,méchanceté
64.44,64.53,de
64.53,64.67,la
64.67,64.85,part
64.85,64.95,des
64.95,65.48,fleurs
65.48,66.45,!
66.45,66.45,-
66.45,66.8,oh
66.8,67.78,!
67.78,67.78,""""
67.78,68.07,mais
68.07,68.37,après
68.37,68.4,un
68.44,69.02,silence
69.02,69.25,il
69.25,69.36,me
69.36,69.79,lança
69.79,70.09,","
70.09,70.41,avec
70.41,70.62,une
70.62,71.04,sorte
71.04,71.17,de
71.17,71.79,rancune
71.79,72.64,:
72.64,72.64,""""
72.64,72.81,je
72.81,72.92,ne
72.92,73.04,te
73.04,73.28,crois
73.28,73.49,pas
73.49,74.06,!
74.06,74.25,les
74.25,74.56,fleurs
74.56,74.71,sont
74.71,75.25,faibles
75.25,75.51,.
75.51,75.69,elles
75.69,75.88,sont
75.88,76.4,naïves
76.4,76.83,.
76.83,76.99,elles
76.99,77.1,se
77.1,77.54,rassurent
77.54,77.74,comme
77.74,77.88,elles
77.88,78.32,peuvent
78.32,78.98,.
78.98,79.07,elles
79.07,79.25,se
79.25,79.45,croient
79.45,79.93,terribles
79.93,80.14,avec
80.14,80.36,leurs
80.36,80.85,épines
