onsets,offsets,word
3.05,3.42,lorsque
3.42,3.44,j'
3.53,3.76,avais
3.93,4.18,six
4.18,4.36,ans
4.36,4.4,","
4.4,4.54,j'
4.54,4.774013,ai
4.859433,5.1498620000000015,vu
5.1498620000000015,5.1498620000000015,","
5.1498620000000015,5.5,une
5.5,5.83,fois
5.83,6.14,","
6.14,6.6,une
6.6,7.21,magnifique
7.21,7.71,image
7.71,7.86,","
7.86,8.18,dans
8.18,8.38,un
8.38,8.65,livre
8.65,8.85,sur
8.85,8.95,la
8.95,9.33,forêt
9.33,9.81,vierge
9.81,9.99,qui
9.99,10.12,s'
10.12,10.56,appelait
10.81,11.35,histoires
11.35,11.79,vécues
11.79,12.64,.
12.64,12.95,ça
12.95,13.54,représentait
13.54,13.67,un
13.67,14.16,serpent
14.16,14.54,boa
14.77,14.95,qui
14.95,15.41,avalait
15.41,15.55,un
15.55,16.13,fauve
16.13,16.72,.
16.72,17.13,voilà
17.13,17.26,la
17.26,17.65,copie
17.65,17.8,du
17.8,18.2,dessin
18.2,19.47,.
19.47,19.53,on
19.53,19.94,disait
19.94,20.11,dans
20.11,20.26,le
20.26,20.77,livre
20.77,20.98,:
20.98,20.98,""""
20.98,21.17,les
21.17,21.65,serpents
21.65,22.08,boas
22.14,22.69,avalent
22.69,22.88,leur
22.88,23.24,proie
23.4,23.65,tout
23.65,24.31,entière
24.31,24.31,","
24.31,24.66,sans
24.66,24.79,la
24.79,25.28,mâcher
25.28,25.81,.
25.81,26.33,ensuite
26.33,26.43,ils
26.43,26.57,ne
26.57,26.8,peuvent
26.8,27.06,plus
27.06,27.52424,bouger
27.704903,27.876058,et
27.876058,28.02,ils
28.02,28.44,dorment
28.44,28.77,pendant
28.77,28.91,les
28.91,29.23,six
29.23,29.51,mois
29.51,29.61,de
29.61,29.78,leur
29.78,30.38,digestion
30.38,32.195161,.
32.195161,32.195161,""""
32.195161,32.340959999999995,j'
32.340959999999995,32.442384999999994,ai
32.442384999999994,32.8,alors
32.8,33.41,beaucoup
33.41,34.08,réfléchi
34.08,34.25,sur
34.25,34.47,les
34.47,34.97,aventures
34.97,35.09,de
35.09,35.23,la
35.23,35.71,jungle
36.23,36.4,et
36.4,36.6,","
36.6,36.73,à
36.73,36.93,mon
36.93,37.27,tour
37.27,37.48,","
37.48,37.62,j'
37.62,37.74,ai
37.74,38.31,réussi
38.31,38.52,","
38.52,38.84,avec
38.84,38.94,un
38.94,39.31,crayon
39.31,39.44,de
39.44,40.03,couleur
40.03,40.47,","
40.47,40.6,à
40.6,41.13,tracer
41.13,41.32,mon
41.36,41.85,premier
41.85,42.2,dessin
42.2,42.79,.
42.79,43.01,mon
43.01,43.43,dessin
43.43,43.92,numéro
44.02,44.19,1
44.19,44.92,.
44.92,45.08,il
45.08,45.4,était
45.4,45.69,comme
45.69,45.95,ça
45.95,47.49,:
47.49,47.58,j'
47.58,47.73,ai
47.73,48.1,montré
48.1,48.21,mon
48.21,48.51,chef
48.51,48.51,-
48.51,48.59,d'
48.59,48.91,oeuvre
48.91,49.03,aux
49.03,49.33,grandes
49.37,50.0,personnes
50.33,50.35,et
50.35,50.5,je
50.5,50.76,leur
50.76,50.83,ai
50.83,51.26,demandé
51.26,51.43,si
51.43,51.57,mon
51.57,51.96,dessin
51.96,52.12,leur
52.12,52.48,faisait
52.48,52.92,peur
52.92,54.32,.
54.32,54.51,elles
54.51,54.56,m'
54.67,54.69,ont
54.69,55.32,répondu
55.32,55.81,:
55.81,55.81,""""
55.81,56.3,pourquoi
56.3,56.43,un
56.43,56.82,chapeau
56.82,57.2,ferait
57.2,57.2,-
57.2,57.34,il
57.34,57.75,peur
57.75,58.82,?
58.82,58.82,""""
58.82,58.97,mon
58.97,59.27,dessin
59.35,59.46,ne
59.46,60.08,représentait
60.08,60.32,pas
60.32,60.41,un
60.41,60.82,chapeau
60.82,61.36,.
61.36,61.5,il
61.5,62.18,représentait
62.18,62.27,un
62.27,62.69,serpent
62.69,63.09,boa
63.09,63.3,qui
63.3,63.94,digérait
63.94,64.1,un
64.1,64.58,éléphant
64.58,65.53,.
65.53,65.66,j'
65.66,65.83,ai
65.83,66.17,alors
66.17,66.69,dessiné
66.69,66.75,l'
66.75,67.29,intérieur
67.29,67.4,du
67.4,67.8,serpent
67.8,68.16,boa
68.16,68.47,","
68.47,68.78,afin
68.78,68.89,que
68.89,69.01,les
69.01,69.26,grandes
69.26,69.66,personnes
69.66,69.88,puissent
69.88,70.52,comprendre
70.52,71.14,.
71.14,71.49,elles
71.49,71.68,ont
71.83,72.49,toujours
72.49,72.85,besoin
72.85,72.91,d'
72.91,73.6,explications
73.6,74.43,.
74.43,74.65,mon
74.65,75.04,dessin
75.04,75.52,numéro
75.52,75.79,2
75.97,76.23,était
76.23,76.47,comme
76.47,76.69,ça
76.69,78.11,:
78.11,78.3,les
78.3,78.6,grandes
78.6,79.05,personnes
79.1,79.13,m'
79.13,79.23,ont
79.23,79.85,conseillé
79.85,80.04,de
80.04,80.43,laisser
80.43,80.56,de
80.56,81.01,côté
81.08,81.27,les
81.27,81.69,dessins
81.69,81.8,de
81.8,82.27,serpents
82.27,82.66,boas
82.8,83.32,ouverts
83.43,83.47,ou
83.51,83.99,fermés
83.99,84.32,","
84.32,84.38,et
84.38,84.48,de
84.48,84.55,m'
84.55,85.13,intéresser
85.13,85.54,plutôt
85.54,85.63,à
85.63,85.76,la
85.76,86.55,géographie
86.55,86.79,","
86.79,86.87,à
86.87,86.92,l'
86.92,87.51,histoire
87.51,87.61,","
87.61,87.71,au
87.71,88.37,calcul
88.56,88.66,et
88.66,88.73,à
88.73,88.88,la
88.88,89.55,grammaire
89.55,90.52,.
90.52,90.65,c'
90.65,90.84,est
90.84,91.25,ainsi
91.25,91.37,que
91.37,91.5,j'
91.5,91.54,ai
91.54,92.22,abandonné
92.22,92.42,","
92.42,92.54,à
92.54,92.62,l'
92.62,92.87,âge
92.87,92.98,de
92.98,93.42,six
93.42,93.59,ans
93.59,93.96,","
93.96,94.23,une
94.23,95.07,magnifique
95.11,95.48,carrière
95.48,95.65,de
95.65,96.07,peintre
96.07,96.74,.
96.74,96.89,j'
96.96,97.23,avais
97.23,97.46,été
97.46,98.39,découragé
98.39,98.59,par
98.59,98.69,l'
98.69,99.31,insuccès
99.31,99.42,de
99.42,99.59,mon
99.59,99.96,dessin
99.96,100.46,numéro
100.46,100.7,1
101.08,101.17,et
101.17,101.31,de
101.31,101.47,mon
101.47,101.82,dessin
101.82,102.29,numéro
102.36,102.55,2
102.55,103.58,.
103.58,103.74,les
103.74,104.03,grandes
104.03,104.65,personnes
104.65,104.71,ne
104.71,105.19,comprennent
105.19,105.68,jamais
105.68,105.91,rien
105.91,106.13,toutes
106.13,106.47,seules
106.47,106.85,","
106.85,106.9,et
106.9,107.02,c'
107.02,107.09,est
107.09,107.75,fatigant
107.75,107.86,","
107.86,108.03,pour
108.03,108.27,les
108.27,108.58,enfants
108.58,108.97,","
108.97,109.16,de
109.16,109.79,toujours
109.79,109.92,et
109.92,110.6,toujours
110.6,110.83,leur
110.83,111.12,donner
111.12,111.32,des
111.32,112.06,explications
112.06,113.17,...
113.17,113.29,j'
113.29,113.41,ai
113.41,113.62,donc
113.62,113.72,dû
113.78,114.27,choisir
114.27,114.46,un
114.46,114.74,autre
114.74,115.18,métier
115.58,115.62,et
115.62,115.74,j'
115.74,115.83,ai
115.83,116.19,appris
116.19,116.27,à
116.32,116.76,piloter
116.76,116.97,des
116.97,117.31,avions
117.31,118.31,.
118.31,118.4,j'
118.4,118.55,ai
118.55,118.86,volé
118.86,119.0,un
119.0,119.13,peu
119.13,119.49,partout
119.49,119.65,dans
119.65,119.75,le
119.75,120.17,monde
120.17,120.67,.
120.67,120.7,et
120.7,120.85,la
120.85,121.72,géographie
121.72,121.72,","
121.72,121.84,c'
121.84,121.98,est
121.98,122.51,exact
122.51,122.67,","
122.67,122.8,m'
122.8,122.86,a
122.86,123.26,beaucoup
123.26,123.72,servi
123.72,124.32,.
124.32,124.45,je
124.45,124.82,savais
124.82,125.5,reconnaître
125.5,125.5,","
125.5,125.65,du
125.65,126.21,premier
126.21,126.39,coup
126.39,126.44,d'
126.44,126.81,oeil
126.81,127.03,","
127.03,127.16,la
127.16,127.63,chine
127.63,127.77,de
127.77,127.83,l'
127.83,128.44,arizona
128.44,128.98,.
128.98,129.1,c'
129.1,129.17,est
129.17,129.57,très
129.57,130.03,utile
130.03,130.1,","
130.1,130.34,si
130.34,130.38,l'
130.38,130.46,on
130.46,130.49,s'
130.49,130.65,est
130.65,131.05,égaré
131.05,131.32,pendant
131.32,131.45,la
131.45,131.72,nuit
131.72,132.87,.
132.87,132.96,j'
132.96,133.09,ai
133.09,133.53,ainsi
133.53,133.78,eu
133.78,133.89,","
133.89,134.02,au
134.02,134.26,cours
134.26,134.37,de
134.37,134.57,ma
134.57,134.79,vie
134.79,135.09,","
135.09,135.34,des
135.39,135.65,tas
135.65,135.78,de
135.78,136.32,contacts
136.32,136.61,avec
136.61,136.82,des
136.82,137.11,tas
137.11,137.21,de
137.21,137.42,gens
137.42,137.95,sérieux
137.95,138.45,.
138.45,138.65,j'
138.65,138.71,ai
138.71,139.31,beaucoup
139.31,139.62,vécu
139.62,139.81,chez
139.81,139.92,les
139.92,140.2,grandes
140.2,140.81,personnes
140.81,141.01,.
141.01,141.21,je
141.21,141.43,les
141.43,141.53,ai
141.53,141.7,vues
141.7,141.87,de
141.87,142.22,très
142.22,142.48,près
142.48,143.22,.
143.22,143.42,ça
143.42,143.49,n'
143.49,143.64,a
143.75,143.91,pas
143.91,144.2,trop
144.2,144.72,amélioré
144.72,144.91,mon
144.91,145.38,opinion
145.38,146.51,.
146.51,146.69,quand
146.69,146.78,j'
146.78,146.92,en
146.92,147.79,rencontrais
147.79,147.98,une
147.98,148.18,qui
148.18,148.34,me
148.34,148.92,paraissait
148.92,149.14,un
149.14,149.35,peu
149.35,149.95,lucide
149.95,150.27,","
150.27,150.47,je
150.47,150.83,faisais
150.83,150.9,l'
150.9,151.63,expérience
151.63,151.8,sur
151.8,152.03,elle
152.03,152.14,de
152.14,152.29,mon
152.29,152.63,dessin
152.63,153.05,numéro
153.12,153.36,1
153.69,153.8,que
153.8,153.96,j'
153.96,154.09,ai
154.22,154.8,toujours
154.8,155.46,conservé
156.11,156.31,je
156.31,156.56,voulais
156.56,157.01,savoir
157.01,157.18,si
157.18,157.3,elle
157.3,157.57,était
157.57,158.08,vraiment
158.08,159.02,compréhensive
159.02,159.84,.
159.84,160.16,mais
160.16,160.85,toujours
160.93,161.09,elle
161.09,161.2,me
161.2,161.78,répondait
161.78,162.4,:
162.4,162.4,""""
162.4,162.51,c'
162.51,162.66,est
162.66,162.71,un
162.71,163.18,chapeau
163.18,164.37,.
164.37,164.37,""""
164.37,165.11,alors
165.11,165.14,je
165.14,165.17,ne
165.17,165.4,lui
165.4,165.76,parlais
165.76,166.04,ni
166.04,166.16,de
166.16,166.57,serpents
166.57,166.99,boas
166.99,167.29,","
167.29,167.51,ni
167.51,167.62,de
167.62,167.96,forêts
167.96,168.47,vierges
168.47,168.73,","
168.73,168.95,ni
168.95,169.0,d'
169.0,169.56,étoiles
169.56,170.18,.
170.18,170.38,je
170.38,170.61,me
170.61,170.94,mettais
170.94,171.01,à
171.01,171.2,sa
171.2,171.68,portée
171.68,172.17,.
172.17,172.35,je
172.35,172.49,lui
172.49,172.77,parlais
172.77,172.89,de
172.89,173.37,bridge
173.37,173.62,","
173.62,173.8,de
173.8,174.35,golf
174.35,174.47,","
174.47,174.6,de
174.6,175.2,politique
175.43,175.47,et
175.47,175.6,de
175.6,176.27,cravates
176.27,177.09,.
177.09,177.14,et
177.14,177.28,la
177.28,177.55,grande
177.55,178.06,personne
178.15,178.35,était
178.35,178.65,bien
178.65,179.21,contente
179.21,179.24,de
179.24,179.64,connaître
179.64,179.78,un
179.78,180.0,homme
180.15,180.66,aussi
180.66,181.43,raisonnable
181.43,184.59,...
184.59,184.63,j'
184.76,184.83,ai
184.93,185.23,ainsi
185.31,185.62,vécu
185.78,186.2,seul
186.2,186.4,","
186.4,186.68,sans
186.72,187.3,personne
187.3,187.62,avec
187.62,187.7,qui
187.7,188.08,parler
188.08,188.96,véritablement
188.96,189.28,","
189.28,189.88,jusqu'
189.88,189.98,à
189.98,190.22,une
190.22,190.5,panne
190.5,190.69,dans
190.69,190.81,le
190.81,191.24,désert
191.24,191.35,du
191.35,191.99,sahara
191.99,192.21,","
192.21,192.33,il
192.33,192.51,y
192.51,192.6,a
192.6,193.03,six
193.03,193.13,ans
193.13,194.07,.
194.07,194.39,quelque
194.39,194.7,chose
194.7,194.74,s'
194.81,195.04,était
195.04,195.46,cassé
195.46,195.59,dans
195.59,195.72,mon
195.72,196.31,moteur
196.31,196.85,.
196.85,196.97,et
196.97,197.23,comme
197.23,197.37,je
197.37,197.43,n'
197.43,197.71,avais
197.71,198.0,avec
198.0,198.25,moi
198.25,198.54,ni
198.54,199.47,mécanicien
199.47,199.73,","
199.73,200.02,ni
200.02,200.67,passagers
200.67,201.08,","
201.08,201.25,je
201.25,201.36,me
201.42,201.94,préparai
201.94,202.03,à
202.03,202.5,essayer
202.5,202.66,de
202.66,203.38,réussir
203.38,203.59,","
203.59,203.75,tout
203.75,204.18,seul
204.18,204.6,","
204.6,204.8,une
204.8,205.63,réparation
205.63,206.36,difficile
206.36,207.21,.
207.21,207.28,c'
207.28,207.62,était
207.62,207.8,pour
207.8,208.06,moi
208.06,208.26,une
208.26,208.75,question
208.75,208.97,de
209.08,209.27,vie
209.27,209.39,ou
209.39,209.54,de
209.54,209.96,mort
209.96,210.4,.
210.4,210.53,j'
210.53,210.8,avais
210.85,211.01,à
211.01,211.36,peine
211.36,211.49,de
211.49,211.56,l'
211.56,211.7,eau
211.7,211.8,à
211.8,212.17,boire
212.22,212.47,pour
212.47,212.78,huit
212.78,213.23,jours
213.23,214.17,.
214.17,214.34,le
214.34,214.69,premier
214.69,215.17,soir
215.17,215.33,je
215.33,215.43,me
215.43,215.66,suis
215.66,215.95,donc
215.95,216.51,endormi
216.51,216.73,sur
216.73,216.85,le
216.85,217.41,sable
217.54,217.68,à
217.68,218.07,mille
218.07,218.51,milles
218.51,218.65,de
218.65,219.01,toute
219.01,219.34,terre
219.34,219.85,habitée
219.85,220.53,.
220.53,220.59,j'
220.59,220.97,étais
220.97,221.36,bien
221.36,221.62,plus
221.62,222.07,isolé
222.07,222.17,qu'
222.17,222.25,un
222.25,222.86,naufragé
222.86,223.08,sur
223.08,223.22,un
223.22,223.68,radeau
223.68,223.7,au
223.7,224.0,milieu
224.0,224.11,de
224.11,224.15,l'
224.15,224.61,océan
224.61,225.44,.
225.44,225.98,alors
226.06,226.24,vous
226.24,226.83,imaginez
226.83,226.99,ma
226.99,227.75,surprise
227.75,228.17,","
228.17,228.32,au
228.32,228.64,lever
228.64,228.77,du
228.77,229.24,jour
229.24,229.67,","
229.67,229.89,quand
229.89,230.1,une
230.1,230.53,drôle
230.53,230.68,de
230.68,231.06,petite
231.06,231.29,voix
231.49,231.59,m'
231.59,231.68,a
231.68,232.35,réveillé
232.35,233.2,.
233.2,233.42,elle
233.42,233.93,disait
233.93,234.59,:
234.59,234.59,""""
234.59,234.77,s'
234.77,234.9,il
234.94,235.08,vous
235.08,235.48,plaît
235.48,235.86,...
235.86,236.27,dessine
236.27,236.27,-
236.27,236.38,moi
236.38,236.55,un
236.55,237.07,mouton
237.07,238.01,!
238.01,238.01,-
238.01,238.42,hein
238.42,239.6,!
239.6,239.6,-
239.6,240.05,dessine
240.05,240.05,-
240.05,240.39,moi
240.39,240.44,un
240.44,240.93,mouton
240.93,242.02,...
242.02,242.02,""""
242.02,242.11,j'
242.11,242.23,ai
242.23,242.73,sauté
242.73,242.96,sur
242.96,243.1,mes
243.1,243.29,pieds
243.29,243.51,comme
243.51,243.64,si
243.64,243.74,j'
243.74,243.93,avais
243.93,244.23,été
244.23,244.85,frappé
244.85,244.98,par
244.98,245.13,la
245.13,245.62,foudre
245.62,246.1,.
246.1,246.23,j'
246.23,246.39,ai
246.39,246.73,bien
246.73,247.14,frotté
247.14,247.42,mes
247.42,247.61,yeux
247.61,247.92,.
247.92,248.06,j'
248.06,248.19,ai
248.19,248.57,bien
248.57,249.18,regardé
249.18,249.73,.
249.73,249.82,et
249.82,250.02,j'
250.02,250.14,ai
250.14,250.42,vu
250.56,250.77,un
250.77,251.23,petit
251.23,251.7,bonhomme
251.87,252.18,tout
252.18,252.28,à
252.28,252.61,fait
252.61,253.86,extraordinaire
254.0,254.15,qui
254.15,254.32,me
254.32,255.03,considérait
255.03,255.73,gravement
255.73,256.53,.
256.53,257.01,voilà
257.01,257.23,le
257.23,257.65,meilleur
257.65,258.12,portrait
258.12,258.45,que
258.45,258.67,","
258.67,258.9,plus
258.9,259.39,tard
259.39,259.48,","
259.48,259.59,j'
259.59,259.68,ai
259.68,260.19,réussi
260.19,260.26,à
260.26,260.46,faire
260.46,260.59,de
260.59,260.87,lui
260.87,261.55,.
261.55,261.75,mais
261.75,261.91,mon
261.91,262.31,dessin
262.31,262.31,","
262.31,262.53,bien
262.53,262.97,sûr
262.97,263.28,","
263.28,263.43,est
263.43,263.89,beaucoup
263.89,264.13,moins
264.13,264.75,ravissant
264.75,264.85,que
264.85,264.99,le
264.99,265.44,modèle
265.44,266.44,.
266.44,266.52,ce
266.57,266.6,n'
266.6,266.7,est
266.7,266.83,pas
266.83,266.98,ma
266.98,267.43,faute
