onsets,offsets,word
3.4,3.46,il
3.52,3.67,y
3.73,4.04,avait
4.04,4.37,","
4.37,4.41,à
4.49,4.95,côté
4.95,5.05,du
5.05,5.31,puits
5.31,5.62,","
5.62,5.82,une
5.82,6.33,ruine
6.33,6.52,de
6.52,6.81,vieux
6.81,7.11,mur
7.11,7.28,de
7.28,7.83,pierre
7.83,8.45,.
8.45,8.9,lorsque
8.9,9.06,je
9.06,9.42,revins
9.42,9.53,de
9.53,9.67,mon
9.67,10.32,travail
10.32,10.57,","
10.57,10.73,le
10.73,11.25,lendemain
11.25,11.82,soir
11.82,12.3,","
12.3,12.47,j'
12.47,13.01,aperçus
13.01,13.13,de
13.13,13.42,loin
13.42,13.59,mon
13.59,13.9,petit
13.9,14.4,prince
14.4,14.91,assis
14.91,15.08,là
15.08,15.08,-
15.08,15.24,haut
15.24,15.49,","
15.49,15.69,les
15.69,16.1,jambes
16.1,16.77,pendantes
16.77,17.53,.
17.53,17.6,et
17.6,17.71,je
17.71,17.78,l'
17.78,18.29,entendis
18.29,18.44,qui
18.44,18.87,parlait
18.87,20.04,:
20.04,20.04,""""
20.04,20.29,tu
20.29,20.32,ne
20.32,20.36,t'
20.36,20.43,en
20.43,20.74,souviens
20.74,20.98,donc
20.98,21.23,pas
21.23,21.58,?
21.58,22.03,disait
22.03,22.03,-
22.03,22.37,il
22.37,22.86,.
22.86,23.04,ce
23.04,23.1,n'
23.1,23.21,est
23.21,23.34,pas
23.34,23.54,tout
23.54,23.6,à
23.6,23.84,fait
23.84,24.22,ici
24.22,25.19,!
25.19,25.19,""""
25.19,25.42,une
25.42,25.71,autre
25.71,25.91,voix
25.91,26.07,lui
26.07,26.6,répondit
26.6,26.78,sans
26.78,27.14,doute
27.14,27.29,","
27.29,27.57,puisqu'
27.57,27.64,il
27.64,28.14,répliqua
28.14,28.71,:
28.71,28.71,""""
28.71,29.0,si
29.0,29.1,!
29.1,29.36,si
29.36,29.56,!
29.56,29.68,c'
29.68,29.81,est
29.81,29.96,bien
29.96,30.08,le
30.08,30.47,jour
30.47,30.53,","
30.53,30.67,mais
30.67,30.82,ce
30.82,30.89,n'
30.89,30.98,est
30.98,31.17,pas
31.17,31.49,ici
31.49,31.53,l'
31.53,31.85,endroit
31.85,33.18,...
33.18,33.18,""""
33.18,33.44,je
33.44,33.93,poursuivis
33.93,34.08,ma
34.08,34.47,marche
34.47,34.62,vers
34.62,34.74,le
34.74,35.15,mur
35.15,35.73,.
35.73,35.9,je
35.9,36.05,ne
36.05,36.44,voyais
36.44,36.61,ni
36.61,36.69,n'
36.69,37.16,entendais
37.16,37.64,toujours
37.64,38.07,personne
38.07,39.05,.
39.05,39.43,pourtant
39.43,39.59,le
39.59,39.86,petit
39.86,40.26,prince
40.26,40.78,répliqua
40.78,40.9,de
40.9,41.25,nouveau
41.25,41.629999999999995,:
41.629999999999995,42.01,""""
42.01,42.01,...
42.01,42.21,bien
42.21,42.69,sûr
42.69,43.02,.
43.02,43.19,tu
43.23,43.52,verras
43.52,43.63,où
43.63,44.0,commence
44.0,44.11,ma
44.11,44.44,trace
44.44,44.55,dans
44.55,44.63,le
44.63,45.13,sable
45.13,45.63,.
45.63,45.77,tu
45.77,45.83,n'
45.83,45.88,as
45.88,46.01,qu'
46.01,46.06,à
46.06,46.13,m'
46.13,46.21,y
46.21,46.71,attendre
46.71,47.06,.
47.06,47.19,j'
47.19,47.27,y
47.27,47.61,serai
47.61,47.97,cette
47.97,48.25,nuit
48.25,49.778713,.
49.778713,49.778713,""""
49.778713,49.881127,j'
49.881127,50.24,étais
50.24,50.29,à
50.35,50.51,vingt
50.51,50.8,mètres
50.8,50.95,du
50.95,51.29,mur
51.38,51.44,et
51.44,51.59,je
51.59,51.72,ne
51.72,52.1,voyais
52.23,52.87,toujours
52.87,53.05,rien
53.05,54.01,.
54.01,54.18,le
54.18,54.49,petit
54.49,54.83,prince
54.83,55.01,dit
55.01,55.56,encore
55.56,55.56,","
55.56,55.98,après
55.98,56.07,un
56.07,56.73,silence
56.73,57.3,:
57.3,57.3,""""
57.3,57.43,tu
57.43,57.51,as
57.55,57.65,du
57.65,57.81,bon
57.81,58.21,venin
58.21,58.69,?
58.69,58.86,tu
58.86,58.98,es
58.98,59.44,sûr
59.44,59.53,de
59.53,59.72,ne
59.72,59.86,pas
59.86,59.98,me
59.98,60.21,faire
60.21,60.75,souffrir
60.75,61.22,longtemps
61.22,62.54,?
62.54,62.54,""""
62.54,62.75,je
62.75,63.07,fis
63.07,63.52,halte
63.52,63.7,","
63.7,63.88,le
63.88,64.17,coeur
64.17,64.63,serré
64.63,64.97,","
64.97,65.12,mais
65.12,65.24,je
65.24,65.38,ne
65.38,65.89,comprenais
66.03,66.45,toujours
66.45,66.64,pas
66.64,67.63,.
67.63,67.63,""""
67.63,68.13,maintenant
68.13,68.13,","
68.13,68.28,va
68.28,68.32,-
68.32,68.41,t'
68.41,68.59,en
68.59,68.8,","
68.8,69.1,dit
69.1,69.1,-
69.1,69.42,il
69.42,69.71,...
69.71,69.89,je
69.89,70.06,veux
70.06,70.75,redescendre
70.75,71.57,!
71.57,71.57,""""
71.57,71.98,alors
71.98,72.1,j'
72.1,72.57,abaissai
72.57,72.82,moi
72.82,72.82,-
72.82,73.09,même
73.09,73.39,les
73.39,73.57,yeux
73.57,73.72,vers
73.72,73.85,le
73.85,74.12,pied
74.12,74.25,du
74.25,74.66,mur
74.66,74.8,","
74.8,74.91,et
74.91,75.11,je
75.11,75.44,fis
75.44,75.61,un
75.76,75.94,bond
75.94,76.85,!
76.85,77.04,il
77.04,77.4,était
77.4,77.65,là
77.65,77.87,","
77.87,78.43,dressé
78.43,78.58,vers
78.58,78.7,le
78.7,78.97,petit
78.97,79.55,prince
79.55,79.81,","
79.81,79.97,un
79.97,80.08,de
80.08,80.24,ces
80.24,80.68,serpents
80.68,81.11,jaunes
81.11,81.26,qui
81.26,81.46,vous
81.46,82.05,exécutent
82.05,82.21,en
82.27,82.65,trente
82.65,83.27,secondes
83.27,84.4,.
84.4,84.62,tout
84.62,84.72,en
84.72,85.06,fouillant
85.06,85.22,ma
85.22,85.51,poche
85.51,85.64,pour
85.64,85.74,en
85.74,86.08,tirer
86.08,86.22,mon
86.22,86.88,revolver
86.88,87.19,","
87.19,87.42,je
87.42,87.64,pris
87.64,87.8,le
87.8,87.99,pas
87.99,88.13,de
88.13,88.65,course
88.65,88.85,","
88.85,89.16,mais
89.16,89.41,","
89.41,89.55,au
89.55,89.85,bruit
89.85,89.97,que
89.97,90.16,je
90.16,90.47,fis
90.47,90.77,","
90.77,90.94,le
90.94,91.37,serpent
91.37,91.52,se
91.52,91.92,laissa
91.92,92.52,doucement
92.52,92.89,couler
92.89,93.02,dans
93.02,93.12,le
93.12,93.64,sable
93.64,93.87,","
93.87,94.11,comme
94.11,94.19,un
94.19,94.41,jet
94.41,94.46,d'
94.46,94.54,eau
94.61,94.75,qui
94.75,95.19,meurt
95.19,95.54,","
95.54,95.79,et
95.79,96.02,","
96.02,96.28,sans
96.28,96.51,trop
96.51,96.66,se
96.66,97.18,presser
97.18,97.49,","
97.49,97.69,se
97.69,98.19,faufila
98.19,98.45,entre
98.45,98.63,les
98.63,99.07,pierres
99.07,99.39,avec
99.39,99.47,un
99.47,99.87,léger
99.87,100.14,bruit
100.14,100.26,de
100.26,100.84,métal
100.84,101.88,.
101.88,102.12,je
102.12,102.42,parvins
102.42,102.64,au
102.64,102.96,mur
102.96,103.47,juste
103.47,103.58,à
103.58,103.75,temps
103.75,103.96,pour
103.96,104.05,y
104.05,104.64,recevoir
104.64,104.77,dans
104.77,104.93,les
104.93,105.17,bras
105.26,105.4,mon
105.4,105.72,petit
105.72,106.02,bonhomme
106.07,106.21,de
106.21,106.81,prince
106.81,107.09,","
107.09,107.47,pâle
107.47,107.71,comme
107.71,107.83,la
107.83,108.35,neige
108.35,109.35,.
109.35,109.35,""""
109.35,109.58,quelle
109.58,109.72,est
109.72,109.9,cette
109.94,110.27,histoire
110.27,110.27,-
110.27,110.44,là
110.44,110.89,!
110.89,111.05,tu
111.05,111.3,parles
111.3,111.71,maintenant
111.71,111.92,avec
111.92,112.01,les
112.01,112.6,serpents
112.6,113.843502,!
113.843502,113.843502,""""
113.843502,113.977814,j'
113.977814,114.16,avais
114.16,114.53,défait
114.53,114.72,son
114.76,115.24,éternel
115.24,115.63,cache
115.63,115.63,-
115.63,115.78,nez
115.78,115.86,d'
115.86,116.29,or
116.29,116.91,.
116.91,117.0,je
117.0,117.23,lui
117.23,117.41,avais
117.41,117.72,mouillé
117.72,117.91,les
117.91,118.29,tempes
118.46,118.54,et
118.54,118.59,l'
118.59,118.78,avais
118.78,118.95,fait
118.95,119.44,boire
119.44,120.15,.
120.15,120.25,et
120.25,120.81,maintenant
120.96,121.11,je
121.11,121.18,n'
121.18,121.51,osais
121.51,121.73,plus
121.73,122.14,rien
122.14,122.27,lui
122.27,122.79,demander
122.79,123.57,.
123.57,123.76,il
123.76,123.86,me
123.86,124.42,regarda
124.42,125.12,gravement
125.38,125.45,et
125.45,125.53,m'
125.53,125.97,entoura
125.97,126.09,le
126.09,126.33,cou
126.33,126.46,de
126.46,126.67,ses
126.67,126.92,bras
126.92,127.76,.
127.76,127.92,je
127.92,128.41,sentais
128.46,128.77,battre
128.77,129.06,son
129.06,129.33,coeur
129.33,129.61,comme
129.61,129.94,celui
129.94,129.99,d'
129.99,130.14,un
130.14,130.46,oiseau
130.46,130.65,qui
130.65,131.0,meurt
131.0,131.23,","
131.23,131.48,quand
131.48,131.56,on
131.56,131.61,l'
131.61,131.68,a
131.68,132.06,tiré
132.06,132.11,à
132.11,132.2,la
132.2,132.89,carabine
132.89,133.83,.
133.83,134.04,il
134.04,134.2,me
134.2,134.52,dit
134.52,135.09,:
135.09,135.09,""""
135.09,135.19,je
135.19,135.45,suis
135.45,135.87,content
135.87,136.01,que
136.01,136.15,tu
136.15,136.21,aies
136.21,136.57,trouvé
136.57,136.72,ce
136.72,136.88,qui
136.88,137.23,manquait
