word,onsets,offsets
il,3.07,3.19
se,3.27,3.29
trouvait,3.47,3.72
dans,3.78,3.87
la,3.87,3.94
région,4.0,4.47
des,4.47,4.7
astéroïdes,4.7,5.42
325,5.42,6.59
326,6.69,7.89
327,8.06,9.09
328,9.27,10.48
329,10.62,11.71
et,11.97,12.06
330,12.06,13.1
il,13.98,14.17
commença,14.17,14.59
donc,14.59,14.91
par,14.91,15.08
les,15.08,15.23
visiter,15.23,15.84
pour,15.84,16.1
y,16.1,16.14
chercher,16.14,16.63
une,16.63,16.74
occupation,16.74,17.46
et,17.7,17.79
pour,17.79,17.97
s',17.97,18.07
instruire,18.07,18.74
le,19.64,19.84
premier,19.84,20.32
était,20.32,20.66
habité,20.66,21.06
par,21.06,21.22
un,21.22,21.4
roi,21.4,21.68
le,22.27,22.48
roi,22.48,22.73
siégeait,22.73,23.45
habillé,23.62,24.08
de,24.08,24.25
pourpre,24.25,24.63
et,24.71,24.79
d',24.79,24.85
hermine,24.85,25.4
sur,25.64,25.89
un,25.89,26.03
trône,26.03,26.41
très,26.41,26.74
simple,26.74,27.33
et,27.5,27.56
cependant,27.56,28.15
majestueux,28.15,28.92
ah,30.06,30.36
voilà,30.53,30.74
un,30.84,30.86
sujet,30.86,31.3
s',31.77,31.9
écria,31.9,32.27
le,32.27,32.39
roi,32.39,32.7
quand,32.7,32.96
il,32.96,33.04
aperçut,33.04,33.44
le,33.44,33.57
petit,33.57,33.85
prince,33.85,34.4
et,35.14,35.2
le,35.2,35.33
petit,35.33,35.59
prince,35.59,36.07
se,36.07,36.14
demanda,36.14,36.6
comment,37.23,37.68
peut,37.68,37.82
il,37.82,37.96
me,37.96,38.04
reconnaître,38.04,38.68
puisqu',38.68,38.99
il,38.99,39.08
ne,39.08,39.15
m',39.15,39.23
a,39.23,39.27
encore,39.27,39.65
jamais,39.65,40.2
vu,40.2,40.38
il,41.44,41.57
ne,41.57,41.64
savait,41.64,42.03
pas,42.03,42.23
que,42.23,42.55
pour,42.72,42.88
les,42.88,43.04
rois,43.04,43.32
le,43.67,43.86
monde,43.86,44.22
est,44.22,44.38
très,44.38,44.71
simplifié,44.71,45.49
tous,45.89,46.05
les,46.05,46.32
hommes,46.32,46.5
sont,46.5,46.73
des,46.73,46.85
sujets,46.85,47.32
approche,48.25,48.6
toi,48.6,48.81
que,48.86,48.89
je,48.89,49.04
te,49.04,49.11
voie,49.11,49.3
mieux,49.3,49.63
lui,49.95,50.17
dit,50.17,50.31
le,50.31,50.45
roi,50.45,50.77
qui,50.86,51.17
était,51.17,51.44
tout,51.44,51.82
fier,51.82,52.24
d',52.24,52.3
être,52.3,52.54
enfin,52.54,52.97
roi,52.97,53.27
pour,53.27,53.5
quelqu',53.5,53.84
un,53.84,53.95
le,55.08,55.19
petit,55.19,55.57
prince,55.57,55.74
chercha,55.84,56.43
des,56.43,56.68
yeux,56.68,56.87
où,56.95,57.04
s',57.04,57.16
asseoir,57.16,57.68
mais,58.01,58.18
la,58.18,58.32
planète,58.32,58.82
était,58.93,59.16
tout,59.16,59.48
encombrée,59.48,60.01
par,60.01,60.19
le,60.19,60.3
magnifique,60.3,60.99
manteau,60.99,61.33
d',61.33,61.39
hermine,61.39,61.92
il,62.9,63.04
resta,63.04,63.4
donc,63.4,63.64
debout,63.64,64.08
et,64.48,64.65
comme,64.84,65.03
il,65.03,65.13
était,65.13,65.38
fatigué,65.38,65.98
il,66.21,66.38
bâilla,66.38,66.86
il,67.94,67.99
est,67.99,68.19
contraire,68.19,68.44
à,68.44,68.67
l',68.71,68.74
étiquette,68.74,69.16
de,69.16,69.27
bâiller,69.27,69.61
en,69.61,69.7
présence,69.7,70.12
d',70.12,70.15
un,70.15,70.24
roi,70.24,70.59
lui,70.81,70.98
dit,70.98,71.17
le,71.17,71.2
monarque,71.2,71.74
je,72.15,72.32
te,72.32,72.38
l',72.38,72.46
interdis,72.46,73.04
je,74.16,74.29
ne,74.29,74.43
peux,74.43,74.53
pas,74.53,74.67
m',74.67,74.72
en,74.72,74.79
empêcher,74.83,75.37
répondit,75.66,76.07
le,76.07,76.21
petit,76.21,76.48
prince,76.48,76.83
tout,76.83,76.97
confus,76.97,77.42
j',78.03,78.16
ai,78.16,78.19
fait,78.19,78.35
un,78.35,78.49
long,78.49,78.61
voyage,78.61,79.16
et,79.25,79.28
je,79.28,79.41
n',79.41,79.5
ai,79.5,79.59
pas,79.59,79.72
dormi,79.72,80.14
alors,80.99,81.2
lui,81.71,81.94
dit,81.94,82.07
le,82.07,82.18
roi,82.18,82.43
je,82.85,82.98
t',82.98,83.03
ordonne,83.03,83.46
de,83.46,83.52
bâiller,83.52,83.9
je,84.44,84.59
n',84.59,84.63
ai,84.63,84.84
vu,84.84,84.98
personne,84.98,85.68
bailler,85.68,86.01
depuis,86.01,86.3
des,86.3,86.68
années,86.68,86.98
les,87.23,87.35
bâillements,87.35,87.77
sont,87.77,87.96
pour,87.96,88.12
